"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",0,338.09,-142.02,86.87,15.25,6.89,1.01,0.79,0.16,0.25,0.31,0.33,0,0,-224.87,86.75,10.88,5.76,-0.45,0.26,0.16,0.25,0.31,0.33,0,968.56,-76.48,86.95,20.78,8.09,2.66,1.48,0.16,0.25,0.31,0.33,0.19,7.72,0.02
"1981-01-02",0,347.21,-149.97,86.96,17.2,6.74,0.72,1.05,0.15,0.25,0.31,0.33,0,0,-246.04,86.87,11.38,3.69,-0.9,0.25,0.15,0.25,0.31,0.33,0,991.5,-78.42,87.04,23.44,9.32,2.31,2.05,0.16,0.25,0.31,0.33,0.02,8.2,0.02
"1981-01-03",0,351.5,-161.04,86.83,18.1,5.5,0.74,0.79,0.15,0.25,0.3,0.33,0,0,-257.75,86.77,12.53,-1.1,-1.12,0.12,0.15,0.25,0.3,0.33,0,1002.12,-88.93,86.89,24.23,9.68,2.69,1.55,0.15,0.25,0.31,0.33,0.11,8.09,0.02
"1981-01-04",0,340.9,-151.83,86.75,17.5,8.42,0.89,0.47,0.15,0.25,0.3,0.33,0,0,-242.95,86.66,12.26,5.82,-0.95,0.01,0.15,0.25,0.3,0.33,0,987.09,-75.41,86.82,23.61,10.84,2.66,1.06,0.15,0.25,0.3,0.33,0.02,7.6,0.02
"1981-01-05",0,318.03,-132.73,86.9,16.16,8.97,1.09,0.5,0.15,0.25,0.3,0.33,0,0,-234.56,86.75,12.42,5.13,-0.17,-0.25,0.15,0.25,0.3,0.33,0,950.22,-52.45,87,22.03,10.86,2.74,1.32,0.15,0.25,0.3,0.33,0.06,7.34,0.02
"1981-01-06",0,342.92,-148.51,86.72,18.01,8.53,0.8,0.94,0.15,0.25,0.3,0.33,0,0,-243.26,86.65,12.85,6.22,-1.11,0.13,0.15,0.25,0.3,0.33,0,980.83,-78.16,86.86,24.18,10.45,2.64,1.64,0.15,0.25,0.3,0.33,0,8.04,0.02
"1981-01-07",0,343.67,-150.68,86.66,18.46,8.93,0.99,0.32,0.15,0.25,0.3,0.33,0,0,-245.17,86.49,14.05,7.05,-0.86,-0.39,0.15,0.25,0.3,0.33,0,983.76,-76.62,86.8,23.85,10.4,2.78,0.95,0.15,0.25,0.3,0.33,0,7.87,0.01
"1981-01-08",0,322.48,-133.51,86.83,16.86,9.7,1.21,0.24,0.15,0.25,0.3,0.33,0,0,-231.01,86.69,12.76,8.72,-0.08,-0.46,0.15,0.25,0.3,0.33,0,956.71,-46.55,86.93,21.9,10.43,2.74,1.02,0.15,0.25,0.3,0.33,0.16,7.49,0.01
"1981-01-09",0,327.3,-137.81,86.86,17.94,10.04,1.1,0.36,0.15,0.25,0.3,0.33,0,0,-221.24,86.79,13.35,8.6,-0.37,-0.33,0.15,0.25,0.3,0.33,0,915.36,-69.11,86.94,23.54,11.53,2.6,1.18,0.15,0.25,0.3,0.33,0.12,7.67,0.01
"1981-01-10",0,333.9,-142.07,86.93,18.1,9.63,0.99,0.79,0.15,0.25,0.3,0.33,0,0,-231.96,86.83,13.73,8.33,-0.57,0.13,0.15,0.25,0.3,0.33,0,955.73,-73.34,87.03,23.56,11.6,2.66,1.67,0.15,0.25,0.3,0.33,0.09,7.88,0.01
"1981-01-11",0,337.3,-147.12,86.82,17.21,8.74,1.04,0.73,0.15,0.25,0.3,0.33,0,0,-237.04,86.71,13.48,7.26,-0.63,0.21,0.15,0.25,0.3,0.33,0,958.22,-80.73,86.91,22.46,10.59,2.81,1.27,0.15,0.25,0.3,0.33,0.03,7.62,0.01
"1981-01-12",0,327.96,-137.49,86.75,17.12,8.62,1.04,0.73,0.15,0.25,0.3,0.33,0,0,-233.72,86.7,12.35,5.7,-0.35,0.22,0.15,0.25,0.3,0.33,0,974.81,-57.03,86.79,22.54,10.58,2.57,1.46,0.15,0.25,0.3,0.33,0.19,7.79,0.01
"1981-01-13",0,323.86,-142.32,86.77,18.19,8.85,0.84,0.47,0.16,0.25,0.3,0.33,0,0,-227.82,86.64,14.18,6.44,-0.81,0.06,0.15,0.25,0.3,0.33,0,903.77,-73.6,86.9,23.52,10.57,2.63,1,0.16,0.25,0.3,0.33,1.1,7.57,0
"1981-01-14",0,294.22,-120.66,86.86,16.85,10.27,1,0.06,0.16,0.25,0.3,0.33,0,0,-198.77,86.72,13.73,9.62,-0.63,-0.47,0.16,0.25,0.3,0.33,0,867.24,-51.66,87,20.79,10.88,2.69,0.54,0.16,0.25,0.3,0.33,0.58,6.8,0
"1981-01-15",0.02,273.42,-110.55,86.91,14.81,8.41,1.17,0.23,0.17,0.25,0.3,0.33,0,0,-174.73,86.75,11.58,6.18,-0.03,-0.45,0.16,0.25,0.3,0.33,0.06,780.18,-44.53,87,18.38,10.67,2.68,0.76,0.17,0.25,0.3,0.33,0.99,6.75,0
