"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,120.14,-28.29,98.2,21.61,18.37,-2.47,0.04,0.38,0.39,0.27,0.2,0,0,-59.62,97.98,19.08,15.99,-3.07,-0.3,0.36,0.37,0.26,0.2,0,519.16,-1.06,98.37,25.95,20.22,-1.11,0.36,0.4,0.4,0.28,0.2,10.84,13.69,3.17
"1981-01-03",0,195.66,-47.77,98.27,22.41,16.67,-2.51,0.3,0.35,0.36,0.28,0.2,0,0,-74.1,98.07,19.41,14.02,-3.56,-0.31,0.34,0.35,0.28,0.2,0,682.2,-16.08,98.43,26.9,18.23,-1.61,0.76,0.36,0.37,0.28,0.2,0.66,24.72,6.3
"1981-01-04",0,228.47,-53.64,98.29,22.75,17.94,-2.24,0.15,0.34,0.34,0.29,0.2,0,0,-70.65,98.1,18.98,17.16,-3.13,-0.6,0.33,0.34,0.29,0.2,0,683.04,-19.96,98.45,26.99,18.7,-0.97,1.07,0.34,0.35,0.29,0.2,1.19,22.39,1.92
"1981-01-05",0,212.26,-50.22,98.37,22.97,18.27,-2.34,0.41,0.33,0.33,0.29,0.2,0,0,-64.84,98.18,19.3,17.08,-3.12,-0.01,0.33,0.33,0.29,0.2,0,681.61,-10.33,98.49,27.17,18.91,-1.16,1.08,0.33,0.34,0.29,0.2,1.92,21.9,0.55
"1981-01-06",0,151.99,-52.78,98.3,21.59,16.07,-2.12,0.56,0.32,0.33,0.29,0.2,0,0,-76.41,98.12,18.37,14.22,-2.87,0.16,0.31,0.32,0.29,0.2,0,457.02,-27.78,98.43,24.94,18.56,-1.08,0.9,0.33,0.33,0.29,0.2,0.11,20.72,0.3
"1981-01-07",0,234.89,-72.6,98.24,21.99,15.27,-2.26,0.57,0.31,0.32,0.29,0.2,0,0,-86.92,98.05,16.89,13.24,-3.32,-0.04,0.3,0.31,0.28,0.2,0,714.46,-56.62,98.44,27.25,16.69,-0.65,1.18,0.31,0.32,0.29,0.2,0.03,28.4,0.21
"1981-01-08",0,178.56,-50.87,98.37,22.3,16.58,-2.57,0.89,0.3,0.31,0.28,0.2,0,0,-77.32,98.16,18.05,15.27,-4.02,0.42,0.29,0.31,0.28,0.2,0,497.92,-36.23,98.5,26.64,18.35,-1.25,1.43,0.3,0.31,0.28,0.2,0.44,24.78,0.15
"1981-01-09",0,215.01,-53.76,98.32,22.23,16.8,-2.84,1.29,0.29,0.3,0.28,0.2,0,0,-93.06,98.1,19.04,14.66,-4.15,0.88,0.29,0.3,0.28,0.2,0,650.05,-5.9,98.46,26.12,18.41,-1.64,1.96,0.3,0.31,0.28,0.2,1,27.04,0.11
"1981-01-10",0,185.72,-61.33,98.24,21.75,15.74,-2.45,0.81,0.29,0.3,0.28,0.2,0,0,-91.98,98.03,18.04,14.26,-3.56,0.07,0.28,0.29,0.28,0.2,0,509.79,-36.98,98.35,26.39,16.89,-1.2,1.38,0.29,0.3,0.28,0.2,0.66,24.86,0.09
"1981-01-11",0,234.18,-72.59,98.14,22.28,15.38,-1.65,0.4,0.28,0.29,0.28,0.2,0,0,-98.76,97.87,16.57,13.81,-2.86,-0.54,0.27,0.29,0.28,0.2,0,670.88,-37.87,98.31,28.89,16.45,-0.13,1.48,0.28,0.29,0.28,0.2,0.05,27.01,0.08
"1981-01-12",0,256.41,-78.4,98.24,22.01,14.66,-2.14,0.58,0.27,0.28,0.28,0.2,0,0,-109.14,97.98,16.73,13.51,-3.54,-0.11,0.26,0.28,0.28,0.2,0,848.48,-37.18,98.44,28.42,16.45,-0.5,1.4,0.27,0.29,0.28,0.2,0.03,30.88,0.07
"1981-01-13",0,210.89,-63.34,98.21,22.27,15.86,-2.35,0.88,0.26,0.28,0.28,0.2,0,0,-75.45,97.93,17.63,14.79,-3.57,0.15,0.26,0.28,0.28,0.2,0,637.51,-49.71,98.4,28.1,17.66,-1.03,1.35,0.27,0.28,0.28,0.2,0.15,26.15,0.06
"1981-01-14",0,287.21,-90.38,98.03,22.4,14.22,-2.13,0.66,0.25,0.27,0.28,0.2,0,0,-116.48,97.7,16.99,12.26,-3.18,-0.35,0.25,0.27,0.28,0.2,0,899.94,-74.1,98.18,29.44,15.5,-0.87,1.34,0.26,0.28,0.28,0.2,0,33.26,0.05
"1981-01-15",0,302.74,-91.18,97.92,22.74,13.91,-1.81,0.5,0.25,0.27,0.27,0.2,0,0,-127.77,97.62,16.98,12.1,-2.98,-0.38,0.24,0.26,0.27,0.2,0,940.13,-61.62,98.13,29.84,15.36,-0.79,1.07,0.25,0.27,0.28,0.2,0,34.42,0.04
"1981-01-16",0,152.57,-57.32,97.96,22.08,15.6,-1.58,0.73,0.24,0.26,0.27,0.2,0,0,-71.7,97.8,17.15,14.27,-2.96,0.12,0.24,0.26,0.27,0.2,0,489.11,-43.41,98.12,26.62,16.99,0.43,1.53,0.24,0.26,0.27,0.2,0.09,21.57,0.04
"1981-01-17",0,177.26,-45.82,97.97,22.88,17.57,-1.57,0.86,0.24,0.26,0.27,0.2,0,0,-61.68,97.74,18.93,17,-2.02,0.21,0.24,0.26,0.27,0.2,0,625.62,-29.36,98.13,27.06,18.78,-0.33,1.6,0.25,0.26,0.27,0.2,2.21,20.32,0.04
