"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",126.79,21.49,-56.86,97.84,-7.37,-10.64,1.79,-2.37,0.22,0.22,0.2,0.29,126.73,0,-83.93,96.34,-11.64,-14.34,-1.1,-4.09,0.22,0.22,0.2,0.29,126.9,113.24,-22.48,98.89,-4.18,-5.85,5.11,3.72,0.22,0.22,0.2,0.29,0.42,0.65,NA
"1981-01-02",126.8,13.41,-45.37,98.58,-10.55,-12.85,-1.57,-2.37,0.22,0.22,0.2,0.29,126.73,0,-70.22,97.92,-12.28,-14.93,-3.68,-2.88,0.22,0.22,0.2,0.29,126.88,61.22,-13.43,98.87,-8.34,-10.44,-0.52,-1.68,0.22,0.22,0.2,0.29,0.11,-0.02,NA
"1981-01-03",134.78,6.36,-11.43,95.84,-5.34,-7.12,-2.47,3.74,0.22,0.22,0.2,0.29,126.89,0,-26.15,95.06,-9.2,-12.32,-9.57,-3.26,0.22,0.22,0.2,0.29,140.81,33.65,-0.14,97.75,-1.18,-2.68,6.18,10.02,0.22,0.22,0.2,0.29,14.09,0.65,NA
"1981-01-04",141.94,13.46,-36.16,96.72,-11.64,-15.7,5.8,5.35,0.22,0.22,0.2,0.29,140.98,0,-58.93,95.79,-14.55,-17.24,1.66,-0.09,0.22,0.22,0.2,0.29,142.41,65.15,-21.42,97.15,-9.82,-13.17,7.94,8.23,0.22,0.22,0.2,0.29,2.25,1.56,NA
"1981-01-05",144.16,13.73,-37.53,96.59,-14.85,-17.87,1.98,0.37,0.22,0.22,0.2,0.28,142.42,0,-73.34,96.25,-17.23,-21.18,-0.06,-2.16,0.22,0.22,0.2,0.28,145.31,63.47,1.03,97.14,-12.99,-15.67,5.26,2.72,0.22,0.22,0.2,0.29,2.96,0.13,NA
"1981-01-06",145.32,25.56,-67.22,97.84,-15.23,-18.82,3.59,1,0.22,0.22,0.2,0.28,145.31,0,-81.62,96.49,-16.41,-19.8,2.36,0.11,0.22,0.22,0.2,0.28,145.32,125.4,-44.19,98.62,-13.57,-17.68,5.37,2.11,0.22,0.22,0.2,0.28,0.02,0.14,NA
"1981-01-07",145.82,14.41,-12.08,98.91,-9.97,-12.71,-0.53,1.13,0.22,0.22,0.19,0.28,145.32,0,-33.96,98.62,-14.89,-18.83,-4.33,-1.23,0.22,0.22,0.19,0.28,146.55,83.64,4.34,99.14,-4,-5.56,2.91,3.15,0.22,0.22,0.2,0.28,1.16,-0.02,NA
"1981-01-08",152.3,4.47,-17.2,97.11,-1.48,-3.65,-1.49,5.94,0.22,0.21,0.19,0.28,146.7,0,-78.11,96.38,-6.3,-10.6,-6.83,3.04,0.22,0.21,0.19,0.28,157.53,31.7,-0.68,98.5,1.7,0.3,5.12,8.78,0.22,0.22,0.19,0.28,11.43,1.27,NA
"1981-01-09",157.82,21.75,-63.98,98.27,-10.31,-14.13,4.98,3.61,0.22,0.21,0.19,0.28,157.47,0,-85.18,96.8,-14.65,-17.83,3.1,0.09,0.22,0.21,0.19,0.28,158.05,108.2,-36.27,99.81,-6.31,-9.61,6.03,7.11,0.22,0.21,0.19,0.28,1.21,1.22,NA
"1981-01-10",158.25,19.12,-31.18,100.15,-11.17,-14.27,-2.19,-0.31,0.21,0.21,0.19,0.28,158.03,0,-80.65,99.41,-15.75,-19.24,-8.27,-1.6,0.21,0.21,0.19,0.28,159.25,97.63,-3.31,100.46,-5.44,-7.67,2.85,1.34,0.22,0.21,0.19,0.28,1.23,0.19,NA
"1981-01-11",168.05,7.04,-26.34,97.41,-0.69,-3,-3.04,4.4,0.25,0.22,0.19,0.28,159.58,0,-75.67,96.67,-5.68,-9.35,-11.67,-1.81,0.21,0.21,0.19,0.28,172.05,40.39,8.16,99.09,5.25,4.12,4.52,9.59,0.3,0.22,0.19,0.28,17.48,1.22,NA
"1981-01-12",170.5,17.48,-41.85,98.8,-7.09,-11.95,4.83,7.07,0.26,0.23,0.19,0.28,169.99,0,-72.38,97.83,-9.34,-13.23,4.26,2.87,0.25,0.23,0.19,0.28,170.67,83.03,-23.18,99.47,-6.01,-9.76,5.38,9.18,0.27,0.23,0.19,0.28,2.14,2.94,NA
"1981-01-13",171.64,12.45,-24.84,98.85,-12.4,-16.25,-1.74,-2.9,0.24,0.23,0.19,0.28,170.56,0,-87.31,97.27,-15.62,-18.97,-6.36,-6.06,0.24,0.23,0.19,0.28,175.75,58.4,9.14,99.53,-8.48,-10.96,4.72,1.75,0.25,0.23,0.19,0.28,5.4,0.69,NA
