"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",1.35,50.48,-77.35,86.97,-2.18,-5.57,0.05,1.98,0.35,0.35,0.27,0.26,1.32,0,-105.45,86.42,-5.54,-7.78,-0.65,0.72,0.35,0.35,0.27,0.26,1.37,234.7,-54.82,87.46,3.62,-3.17,1.82,2.71,0.35,0.35,0.27,0.26,0,1.26,NA
"1981-01-02",1.3,52.99,-91.37,86.65,-1.43,-9.12,1.46,0.86,0.35,0.35,0.27,0.26,1.27,0,-124.51,86.39,-4.13,-13.65,0.09,-0.45,0.35,0.34,0.27,0.26,1.33,252.29,-74.7,86.89,4.3,-4.66,2.47,2.56,0.35,0.35,0.27,0.26,0,1.85,NA
"1981-01-03",1.26,49.14,-80.84,86.46,-1.05,-7.41,2.34,1.72,0.34,0.34,0.27,0.26,1.24,0,-115.14,86.35,-4.12,-8.07,2,0.89,0.34,0.34,0.27,0.26,1.27,239.45,-52.82,86.56,4.39,-6.64,2.66,2.22,0.35,0.34,0.27,0.26,0.01,3.31,NA
"1981-01-04",1.24,46.37,-70.59,86.59,-2.04,-8.02,2.83,1.55,0.34,0.34,0.27,0.26,1.23,0,-103.66,86.48,-4.03,-8.5,2.08,1.07,0.34,0.34,0.27,0.26,1.24,222.9,-49.78,86.72,2.08,-7.37,3.82,1.96,0.34,0.34,0.27,0.26,0.01,3.58,NA
"1981-01-05",1.22,50.83,-78.86,86.86,-2.47,-7.84,2.32,0.87,0.34,0.34,0.27,0.26,1.21,0,-106.88,86.65,-5.29,-8.74,1.47,-0.1,0.34,0.34,0.27,0.26,1.23,241.11,-49.63,87.06,2.37,-6.33,3.28,1.55,0.34,0.34,0.27,0.26,0,2.68,NA
"1981-01-06",1.2,39.02,-64.45,86.36,-1.58,-7.14,2.86,2.02,0.34,0.33,0.27,0.26,1.19,0,-88.83,85.75,-5.48,-8.85,1.08,0.84,0.34,0.33,0.27,0.26,1.21,213.85,-37.47,87.04,3.06,-5.11,6.28,3.2,0.34,0.34,0.27,0.26,0.31,3.84,NA
"1981-01-07",1.18,49.46,-70.91,86.31,-1.24,-7.18,1.55,1.44,0.34,0.33,0.27,0.26,1.17,0,-111.34,86.14,-3.44,-8.76,-0.59,0.78,0.34,0.33,0.27,0.26,1.19,236.83,-48.28,86.55,2.83,-5.92,4.57,2.5,0.34,0.33,0.27,0.26,0,2.78,NA
"1981-01-08",1.17,47.81,-57.9,86.28,-1.68,-7.5,1.18,0.1,0.33,0.33,0.27,0.26,1.16,0,-97.33,85.93,-3.85,-8.43,-0.35,-1.78,0.33,0.33,0.27,0.26,1.19,227.09,-23.71,86.69,1.57,-6.62,2.28,1.7,0.34,0.33,0.28,0.26,0.04,2.16,NA
"1981-01-09",1.19,36.42,-49.98,86.61,-1,-5.05,2.38,1.48,0.33,0.33,0.28,0.26,1.18,0,-60.84,86.47,-4.08,-6.46,0.16,-0.01,0.33,0.33,0.28,0.26,1.19,162.52,-31.54,86.97,2.9,-3.8,4.7,2.35,0.33,0.33,0.28,0.26,0.01,2.64,NA
"1981-01-10",1.17,55.05,-84.43,87.2,-1.69,-7,1.64,1.68,0.33,0.33,0.28,0.26,1.15,0,-123.08,86.94,-4.25,-8.16,0.95,0.89,0.33,0.33,0.28,0.26,1.18,267.88,-50.79,87.38,3.49,-5.32,3.1,2.49,0.33,0.33,0.28,0.26,0,2.39,NA
"1981-01-11",1.12,54.47,-80.75,87.1,-0.16,-9.82,1.68,1.93,0.33,0.33,0.28,0.26,1.07,0,-116.1,86.87,-3.64,-14.85,1.2,1.37,0.33,0.33,0.28,0.26,1.15,263.7,-61.15,87.25,7.56,-7.18,2.12,2.22,0.33,0.33,0.28,0.26,0,3.64,NA
"1981-01-12",1.05,44.88,-77.47,86.71,0.93,-10.99,2.54,1.56,0.33,0.33,0.28,0.26,1.03,0,-102.46,86.54,-3.47,-14.88,1.54,0.08,0.33,0.32,0.28,0.26,1.07,199.47,-49.02,86.99,6.37,-7.9,3.6,2.32,0.33,0.33,0.28,0.26,0,5.6,NA
"1981-01-13",1,53.78,-69.46,87.01,-1.1,-7.8,1.22,1.33,0.33,0.32,0.28,0.26,0.96,0,-107.99,86.98,-4.22,-10.18,0.7,0.53,0.33,0.32,0.28,0.26,1.03,237.88,-36.07,87.07,5.79,-4.91,1.48,1.85,0.33,0.32,0.28,0.26,0,2.06,NA
"1981-01-14",0.93,54.67,-69.04,86.97,-1.06,-7.54,0.77,0.32,0.33,0.32,0.28,0.26,0.89,0,-106.57,86.9,-4.76,-9.02,-1.31,-1.51,0.33,0.32,0.28,0.26,0.96,241.45,-34.49,87.16,4.72,-5.57,1.84,1.7,0.33,0.32,0.28,0.26,0,1.53,NA
"1981-01-15",0.87,52.98,-67.75,87.04,-3.19,-6.56,-0.25,0.77,0.32,0.32,0.28,0.26,0.86,0,-101.21,86.94,-5.19,-7.84,-2.17,-0.69,0.32,0.32,0.28,0.26,0.89,264.44,-37.58,87.17,0.35,-5.26,1.66,3.24,0.33,0.32,0.28,0.26,0.02,1.31,NA
"1981-01-16",0.87,62.31,-92.79,86.79,-4.81,-10.27,-1,3.07,0.32,0.32,0.28,0.26,0.86,0,-131.33,86.62,-7.54,-12.4,-1.62,2.46,0.32,0.32,0.28,0.26,0.88,279.01,-43.42,87.04,0.08,-6.59,-0.5,3.46,0.32,0.32,0.28,0.26,0.01,3.02,NA
"1981-01-17",0.84,61.18,-89.14,86.27,-2.85,-10.89,0.91,2.71,0.32,0.32,0.28,0.26,0.82,0,-103.89,86.16,-7.94,-15.75,-0.28,2.35,0.32,0.32,0.28,0.26,0.86,278.24,-66.89,86.5,4.75,-5.65,2.74,3.01,0.32,0.32,0.28,0.26,0,3.72,NA
"1981-01-18",0.81,57.07,-76.94,86.48,0.52,-4.87,3.7,1.88,0.32,0.32,0.28,0.26,0.8,0,-100.87,86.23,-1.42,-5.45,2.98,1.52,0.32,0.32,0.28,0.26,0.82,260.72,-48.27,86.72,4.08,-4.29,4.88,2.12,0.32,0.32,0.28,0.26,0,4.5,NA
