"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",122.57,28.89,-65.56,97.47,-9.23,-12.36,0.93,-2.38,0.22,0.23,0.22,0.28,122.43,0,-84.16,95.88,-14.1,-16.15,-0.68,-3.08,0.22,0.23,0.22,0.28,122.75,151.75,-24.53,98.43,-4.68,-6.08,1.94,-0.81,0.22,0.23,0.22,0.29,0.43,3.17,NA
"1981-01-02",122.47,19.43,-46.98,98.11,-12.36,-14.37,-0.99,-1.45,0.22,0.23,0.22,0.28,122.42,0,-72.85,97.42,-14.69,-16.73,-1.78,-1.76,0.22,0.22,0.21,0.28,122.52,91.41,-21.01,98.4,-9.6,-12.09,-0.5,-1.13,0.22,0.23,0.22,0.28,0.06,0.17,NA
"1981-01-03",130.03,7.33,-13.87,95.11,-5.99,-7.96,-2.45,1.61,0.22,0.22,0.21,0.28,122.52,0,-32.17,94.05,-10.07,-13.83,-5.29,-2.19,0.22,0.22,0.21,0.28,136.24,36.02,-5.59,97.21,-2.55,-4.05,2.07,5.4,0.22,0.22,0.21,0.28,13.75,3.26,NA
"1981-01-04",136.65,26.77,-59.51,96.12,-15.68,-19.71,2.08,3.34,0.22,0.22,0.21,0.28,136.33,0,-84.11,95.07,-20.32,-23.18,0.99,0.6,0.22,0.22,0.21,0.28,136.74,140.1,-37.3,96.63,-10.83,-14.99,2.91,4.91,0.22,0.22,0.21,0.28,0.91,4.09,NA
"1981-01-05",137.07,26.55,-45.8,96.11,-20.03,-23.14,0.87,0.16,0.22,0.22,0.21,0.28,136.7,0,-87.01,95.71,-21.56,-24.6,-0.18,-1.47,0.22,0.22,0.21,0.28,137.28,133.79,-18.74,96.61,-17.78,-20.48,2.89,2.11,0.22,0.22,0.21,0.28,0.62,0.52,NA
"1981-01-06",137.29,35.19,-74.15,97.33,-17.02,-20.33,1.79,0.65,0.22,0.22,0.21,0.28,137.27,0,-84.93,95.99,-19.53,-22.09,0.61,-0.34,0.22,0.22,0.21,0.28,137.3,172.11,-43.64,98.1,-14.34,-18.79,3.27,1.12,0.22,0.22,0.21,0.28,0,0.82,NA
"1981-01-07",137.72,21.65,-13.72,98.31,-13.09,-15.61,-0.73,0.95,0.22,0.22,0.21,0.28,137.27,0,-37.06,97.86,-19.58,-22.23,-3.12,-0.55,0.22,0.22,0.21,0.28,139.34,124.55,4.09,98.58,-4.87,-6.37,1.02,2.51,0.22,0.22,0.21,0.28,2,0.21,NA
"1981-01-08",150.9,3.79,-25.68,96.33,-2.12,-4.19,-1.54,4.58,0.22,0.22,0.21,0.28,139.97,0,-88.85,95.7,-7.54,-10.86,-4.67,2.83,0.22,0.22,0.21,0.28,157.33,23.38,-0.08,97.72,1.31,0.29,1.91,6.14,0.22,0.22,0.21,0.28,18.19,6.44,NA
"1981-01-09",157.13,29.9,-73.53,97.7,-13.13,-17.1,1.99,2.62,0.22,0.22,0.21,0.28,157.04,0,-91,96.14,-18.15,-20.56,1,1.27,0.22,0.22,0.21,0.28,157.26,144.47,-48.67,99.28,-8.02,-11.56,2.75,4.33,0.22,0.22,0.21,0.28,0.29,4.19,NA
"1981-01-10",157.45,20.58,-27.89,99.59,-14.62,-17.29,-1.18,-0.33,0.22,0.22,0.21,0.28,157.03,0,-78.84,98.84,-19.2,-22.01,-4,-1.51,0.22,0.22,0.2,0.28,159.68,94.19,0.24,99.89,-8.41,-10.69,1.05,1.11,0.22,0.22,0.21,0.28,2.58,0.39,NA
"1981-01-11",171.74,8.47,-23.56,96.7,-2.23,-4.4,-2.21,3.22,0.24,0.22,0.2,0.28,160.4,0,-63.45,95.94,-7.53,-10.45,-6.79,-1.61,0.22,0.22,0.2,0.28,175.99,47.78,4.87,98.53,4.97,3.68,1.65,6.63,0.27,0.22,0.2,0.28,20.38,6.41,NA
"1981-01-12",176.23,26.06,-54.47,98.13,-9.76,-14.33,2.06,4.45,0.24,0.22,0.2,0.28,176.02,0,-78.78,97.07,-13.91,-16.84,1.77,1.75,0.24,0.22,0.2,0.28,176.34,125.84,-43.5,98.99,-7.41,-10.86,2.5,5.69,0.25,0.23,0.2,0.28,1.11,9,NA
"1981-01-13",177.47,16.16,-22.78,98.39,-15.43,-19.38,-0.73,-1.78,0.24,0.23,0.2,0.28,176.22,0,-89.18,96.92,-18.99,-21.63,-3,-3.39,0.23,0.23,0.2,0.28,184.25,77.11,15.26,99.06,-11.98,-15.22,2.23,1.06,0.24,0.23,0.2,0.28,8.14,2.3,NA
"1981-01-14",190.49,8.43,-5.37,96.88,-8.41,-10.58,-1.11,0.26,0.23,0.23,0.2,0.28,185.86,0,-21.76,96.62,-11.52,-14.65,-2.63,-3.21,0.23,0.22,0.2,0.28,193.86,42.55,3.44,97.28,-6.11,-7.66,0.24,3.17,0.23,0.23,0.2,0.28,9.5,1.56,NA
"1981-01-15",194.56,26.87,-43.12,97.95,-10.34,-12.62,1.15,0.78,0.23,0.22,0.2,0.28,193.98,0,-76.53,97.29,-14.38,-16.36,0.46,-1.03,0.23,0.22,0.2,0.28,194.73,130.52,-14.29,98.48,-8.22,-9.66,1.62,1.76,0.23,0.22,0.2,0.28,1.03,1.32,NA
"1981-01-16",194.61,37.83,-69.84,98.16,-16.22,-19.34,0.17,-1.58,0.23,0.22,0.2,0.28,194.52,0,-87.26,97.93,-19.05,-21.53,-0.28,-2.12,0.23,0.22,0.2,0.28,194.68,189.27,-48.28,98.47,-12.78,-16.96,0.89,-1.11,0.23,0.22,0.2,0.28,0,1.05,NA
"1981-01-17",194.46,33.23,-54.41,97.89,-19.69,-23.26,-0.03,-1.45,0.22,0.22,0.2,0.28,194.42,0,-72.86,97.66,-21.5,-24.18,-0.37,-1.82,0.22,0.22,0.2,0.28,194.52,154.65,-31.32,98,-15.54,-21.68,0.35,-0.6,0.22,0.22,0.2,0.28,0.02,0.81,NA
