"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",13.16,16.7,-43.29,99.57,-10.59,-14.82,1.19,-3.48,0.45,0.39,0.38,0.34,13.08,0,-83.46,99.15,-19.74,-24.24,-1.37,-6.26,0.44,0.39,0.38,0.34,13.3,91.25,-10.83,99.91,-4.45,-6.88,3.69,-0.08,0.45,0.39,0.38,0.34,0.33,0.67,NA
"1981-01-02",13.96,14.74,-37.26,99.57,-20.62,-25.85,-1.37,-1.78,0.44,0.39,0.38,0.34,13.08,0,-85.88,99.15,-26.72,-31.34,-3.29,-4.81,0.44,0.39,0.38,0.34,14.54,81.33,1.45,100.15,-17.96,-22.96,0.89,1.06,0.44,0.39,0.38,0.34,1.62,0.27,NA
"1981-01-03",14.51,18.16,-42.3,100.16,-25.69,-31.14,0.19,-1.27,0.44,0.39,0.38,0.34,14.46,0,-68.94,100.02,-30.54,-34.7,-2.36,-2.95,0.44,0.39,0.38,0.34,14.59,99.65,-5.68,100.27,-21.23,-27.92,1.52,0.27,0.44,0.39,0.38,0.34,0.2,0.1,NA
"1981-01-04",14.52,24.08,-50.47,100.07,-24.02,-29.55,-1.8,2.91,0.44,0.39,0.38,0.34,14.36,0,-64.81,99.11,-31.42,-35.71,-2.53,0.38,0.44,0.39,0.38,0.34,14.59,117.22,-41,100.54,-16.77,-22.49,-0.42,5.36,0.44,0.39,0.38,0.34,0,0.27,NA
"1981-01-05",14.25,18.95,-26.57,98.23,-9.64,-13.28,1.08,0.96,0.44,0.39,0.38,0.34,14.16,0,-60.91,98.03,-16.37,-22.07,-0.26,-2.96,0.44,0.39,0.38,0.34,14.35,108.55,6.08,98.98,-4.32,-7.86,2.28,5.39,0.44,0.39,0.38,0.34,0.19,0.36,NA
"1981-01-06",14.3,25.84,-62.45,99.03,-15.76,-19.79,1.56,-4.71,0.44,0.39,0.38,0.34,14.2,0,-90.9,98.12,-23.61,-27.18,0.13,-7.01,0.44,0.39,0.38,0.34,14.42,124.32,0.15,99.52,-6.83,-8.55,2.56,-1.89,0.44,0.39,0.38,0.34,0.24,0.37,NA
"1981-01-07",14.23,23.83,-36.12,99.14,-21.27,-25.84,-1.25,0.4,0.44,0.39,0.38,0.34,14.21,0,-76.65,99.03,-24.62,-28,-2.03,-1.62,0.44,0.39,0.38,0.34,14.3,120.78,4.39,99.42,-18.18,-23.85,0.64,1.53,0.44,0.39,0.38,0.34,0.12,0.16,NA
"1981-01-08",14.23,21.67,-46.35,99.01,-18.83,-22.64,1.28,-0.31,0.44,0.39,0.38,0.34,14.19,0,-74.32,98.8,-25.15,-28.54,0.01,-5.11,0.44,0.39,0.38,0.34,14.26,107.34,-24.96,99.56,-11.66,-15.81,2.38,2.73,0.44,0.39,0.38,0.34,0.13,0.15,NA
"1981-01-09",14.24,28.69,-69.88,100.27,-22.6,-26.97,1.37,-2.47,0.44,0.39,0.38,0.34,14.2,0,-89.5,99.63,-25.07,-28.62,0.67,-4.48,0.44,0.39,0.38,0.34,14.28,135.28,-43.28,100.58,-19.94,-25.38,2.32,1,0.44,0.39,0.38,0.34,0.01,0.11,NA
"1981-01-10",14.19,29.47,-50.69,100.52,-21.24,-26.12,-0.29,0.45,0.44,0.39,0.38,0.34,14.15,0,-92.94,100.26,-25.41,-28.88,-1.3,-1.16,0.44,0.39,0.38,0.34,14.21,139.97,-22.66,100.86,-16.54,-22.65,1,1.59,0.44,0.39,0.38,0.34,0,0.09,NA
"1981-01-11",14.16,17.26,-30.25,100.13,-17.23,-19.73,1.07,2.38,0.44,0.39,0.38,0.34,14.13,0,-55.77,99.12,-26.3,-28.62,0.01,1.62,0.44,0.39,0.38,0.34,14.18,85.31,-4.76,100.86,-8.49,-10.57,1.98,3.21,0.44,0.39,0.38,0.34,0.07,0.09,NA
"1981-01-12",14.16,29.93,-51.87,98.41,-7.92,-10.16,2,-1.34,0.44,0.39,0.38,0.34,14.05,0,-85.65,98.25,-11.67,-13.42,0.64,-3.74,0.44,0.38,0.38,0.34,14.24,140.33,-9.29,99.03,-2.7,-6.31,3.01,1.84,0.44,0.39,0.38,0.34,0,0.11,NA
"1981-01-13",14.1,24.55,-30.72,98.37,-8.74,-10.69,0.68,-1.47,0.44,0.38,0.38,0.34,14.02,0,-81.02,98.2,-13.17,-14.27,-0.85,-4.59,0.44,0.38,0.38,0.34,14.14,132.32,-1.62,98.6,-2.68,-5.64,2.69,0.79,0.44,0.38,0.38,0.34,0.08,0.1,NA
"1981-01-14",14.07,21.54,-27.23,99,-10.03,-13.14,0.74,-4.45,0.44,0.38,0.38,0.34,13.91,0,-43.83,98.46,-14.89,-18.41,-0.97,-5.17,0.44,0.38,0.38,0.34,14.19,105.84,-2.42,99.57,-5.85,-7.62,2.29,-3.61,0.44,0.38,0.38,0.34,0.22,0.55,NA
"1981-01-15",13.86,32.01,-56.71,100.07,-16.47,-20.23,0.07,-3.51,0.44,0.38,0.38,0.34,13.78,0,-89.31,99.53,-18.78,-21.59,-0.98,-4.18,0.44,0.38,0.38,0.34,13.93,150.37,-24.78,100.53,-13.54,-18.75,0.87,-2.2,0.44,0.38,0.38,0.34,0.07,0.28,NA
"1981-01-16",13.73,27.69,-37.7,100.22,-14.25,-17.73,1.6,1.44,0.44,0.38,0.38,0.34,13.59,0,-59.99,99.58,-20.15,-22.52,-0.2,-2.07,0.44,0.38,0.38,0.34,13.82,128.61,-12.99,100.55,-8.58,-12.81,2.87,3.3,0.44,0.38,0.38,0.34,0.01,0.31,NA
"1981-01-17",13.42,36.81,-68.2,99.23,-5.37,-10.61,3.29,-0.22,0.44,0.38,0.38,0.34,13.18,0,-94.6,99.15,-9.19,-12.89,2.64,-1.1,0.44,0.38,0.38,0.34,13.6,166.6,-34.9,99.57,1.43,-6.45,3.75,1.6,0.44,0.38,0.38,0.34,0,0.58,NA
"1981-01-18",13.06,38.65,-58.95,98.67,-7.04,-10.06,1.13,2.5,0.44,0.38,0.38,0.34,12.84,0,-90.72,98.05,-14.49,-16.13,0,0.21,0.44,0.38,0.38,0.34,13.23,173.96,-36.42,99.14,1.12,-3.9,2.51,3.61,0.44,0.38,0.38,0.34,0,0.31,NA
