"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",75.32,37.23,-39.39,99.88,-20.03,-23.72,-0.54,-1.18,0.33,0.33,0.35,0.36,75.29,0,-62.82,99.34,-23.63,-26.6,-1.6,-1.92,0.33,0.33,0.35,0.36,75.33,169.6,-16.75,100.17,-15.77,-20.99,0.54,-0.57,0.33,0.33,0.35,0.36,0,0.68,NA
"1981-01-02",77.32,22.91,-33.03,98.92,-15.89,-19.94,1.57,-0.77,0.32,0.33,0.35,0.36,75.29,0,-95.86,98.52,-24.61,-29.93,-1.09,-1.52,0.32,0.33,0.35,0.36,78.27,111.02,9.11,99.57,-9.69,-13.54,4.27,0.81,0.33,0.33,0.35,0.36,3.06,1.38,NA
"1981-01-03",78.11,48.4,-78.45,99.81,-30.8,-36.09,2.46,-0.06,0.32,0.33,0.35,0.36,78.07,0,-90.62,99.6,-34.92,-39.22,1.91,-0.65,0.32,0.33,0.35,0.36,78.15,215.95,-67.42,99.97,-25.62,-30.81,3.54,0.52,0.32,0.33,0.35,0.36,0,0.5,NA
"1981-01-04",78.25,32.98,-32.39,99.88,-32.11,-37.14,2.73,0.15,0.32,0.33,0.35,0.36,78.07,0,-67.33,99.71,-38.44,-42.32,1.91,-0.63,0.32,0.33,0.35,0.36,78.66,146.92,-0.67,100.05,-23.71,-28.28,3.51,0.54,0.32,0.33,0.35,0.36,0.62,0.38,NA
"1981-01-05",78.8,45.16,-54.1,100.16,-18.6,-23.27,2.7,0.15,0.32,0.33,0.35,0.36,78.69,0,-87.52,99.74,-22.61,-27.15,1.79,-0.43,0.32,0.33,0.34,0.36,78.84,200.67,-1.15,100.41,-14.02,-20.78,3.33,0.78,0.32,0.33,0.35,0.36,0.2,1.27,NA
"1981-01-06",79.55,25.18,-14.3,99.65,-14.15,-16.73,-0.15,1.34,0.32,0.33,0.34,0.36,78.77,0,-60.04,98.8,-20.89,-23.78,-1.25,0.75,0.32,0.33,0.34,0.36,81.71,129.59,7.32,100.31,-8.63,-10.03,1.57,2.19,0.32,0.33,0.34,0.36,2.92,0.36,NA
"1981-01-07",86.51,25.62,-39.43,98.06,-7.41,-9.92,1.03,1.83,0.32,0.33,0.34,0.36,82.4,0,-95.74,97.72,-14.58,-18.14,-1.43,1.03,0.32,0.33,0.34,0.36,87.66,140.45,-2.89,98.68,-2.86,-5.96,4.19,3.08,0.32,0.33,0.34,0.36,6.07,1.65,NA
"1981-01-08",87.91,47.18,-66.46,99.19,-17.96,-23.1,3.96,-0.02,0.32,0.33,0.34,0.36,87.65,0,-91.17,98.16,-21.13,-25.07,2.52,-0.81,0.32,0.33,0.34,0.36,88.02,209.47,-20.19,100.22,-14.51,-18.52,4.78,0.58,0.32,0.33,0.34,0.36,0.57,2.33,NA
"1981-01-09",87.97,37.04,-39.26,100.4,-20.08,-23.34,0.24,0.4,0.32,0.33,0.34,0.36,87.84,0,-77.58,100.28,-23.87,-26.81,-1.24,-1.06,0.32,0.32,0.34,0.36,88.28,178.49,-20.87,100.55,-15.9,-19.88,2.27,1.44,0.32,0.33,0.34,0.36,0.46,0.46,NA
"1981-01-10",88.94,33.14,-34.95,100.22,-16.42,-19.8,0.49,-1.03,0.32,0.32,0.34,0.36,88.31,0,-72.07,99.93,-18.83,-22.86,-1.08,-1.96,0.32,0.32,0.34,0.36,89.25,144.12,-4.81,100.32,-11.95,-17.01,3.15,0.05,0.32,0.32,0.34,0.36,1.03,0.88,NA
"1981-01-11",89.32,44.38,-47.18,99.58,-23.47,-28.63,3.72,-0.21,0.32,0.32,0.34,0.36,89.24,0,-72.36,99.29,-25.76,-30.92,2.94,-1.87,0.32,0.32,0.34,0.36,89.66,204.73,-12.33,100.01,-19.37,-23.52,4.81,0.79,0.32,0.32,0.34,0.36,0.61,1.33,NA
"1981-01-12",89.99,42.19,-42.99,100.51,-23.84,-28.43,1.55,0.8,0.32,0.32,0.34,0.36,89.74,0,-72.51,100.06,-26.94,-29.98,-0.55,-1.51,0.32,0.32,0.34,0.36,90.05,203.37,-9.39,100.79,-20.62,-26.13,3.2,1.42,0.32,0.32,0.34,0.36,0.45,0.72,NA
"1981-01-13",90.01,52.33,-63.32,100.26,-25.03,-29.42,0.59,-1.11,0.32,0.32,0.34,0.36,90,0,-85.14,99.87,-30.13,-33.16,-0.52,-2.19,0.32,0.32,0.34,0.36,90.02,228.8,-47.36,100.74,-18.31,-25.59,1.68,0.43,0.32,0.32,0.34,0.36,0,0.68,NA
"1981-01-14",89.99,51.99,-57.57,99.98,-22.35,-26.73,0.67,-0.04,0.32,0.32,0.34,0.36,89.98,0,-77.34,99.78,-26.73,-29.58,-0.51,-1.73,0.32,0.32,0.34,0.36,90,225.56,-39.63,100.29,-16.4,-23.36,1.47,1.58,0.32,0.32,0.34,0.36,0,0.98,NA
