"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",47.79,23.46,-51.94,89,-7.52,-13.26,1.43,0.59,0.37,0.37,0.37,0.38,47.75,0,-79.02,88.64,-11.26,-16.17,0.19,-1.38,0.37,0.37,0.37,0.38,47.81,131.29,-34.17,89.52,-2.48,-10.37,2.84,2.06,0.37,0.37,0.37,0.38,0,0.07,NA
"1981-01-02",47.73,21.33,-44.48,88.73,-10.56,-13.72,0.28,1.19,0.37,0.37,0.37,0.38,47.68,0,-71.43,88.45,-15.23,-17.28,-0.78,-0.49,0.37,0.37,0.37,0.38,47.74,111.69,-19.16,88.92,-6.48,-10.19,1.78,1.99,0.37,0.37,0.37,0.38,0,0.37,NA
"1981-01-03",47.67,25.16,-55.68,88.48,-7.71,-13.97,2.2,0.12,0.37,0.37,0.36,0.38,47.65,0,-84.15,88.37,-10.15,-16.29,1.81,-0.41,0.37,0.37,0.36,0.38,47.68,136.59,-39.28,88.59,-3.75,-10.28,2.64,0.93,0.37,0.37,0.37,0.38,0,0.01,NA
"1981-01-04",47.58,22.13,-46.31,88.59,-0.84,-5.21,3.35,-0.39,0.37,0.36,0.36,0.38,47.45,0,-86.11,88.5,-6.49,-12.01,2.62,-1.19,0.37,0.36,0.36,0.38,47.66,114.78,-2.24,88.67,1.38,-1.77,4.1,0.5,0.37,0.37,0.36,0.38,0.18,4.37,NA
"1981-01-05",47.73,24.78,-59.65,88.96,-3.23,-5.18,2.88,-0.79,0.37,0.36,0.36,0.38,47.57,0,-89.72,88.64,-8.28,-9.55,0.44,-1.85,0.37,0.36,0.36,0.38,47.84,133.19,-8.81,89.17,-0.2,-2.85,4.68,0.61,0.37,0.36,0.36,0.38,0.38,3.6,NA
"1981-01-06",49.59,6.53,-13.75,88.27,-5.06,-6.99,0.65,0.99,0.37,0.36,0.36,0.38,47.72,0,-56.87,87.78,-10.87,-12.51,-1.61,-2.12,0.36,0.36,0.36,0.38,53.55,36.54,11.21,89.09,-0.08,-2.65,4.63,2.5,0.37,0.36,0.36,0.38,5.91,2.2,NA
"1981-01-07",54,20.33,-33.02,88.35,-3.55,-4.71,1.93,-0.55,0.36,0.36,0.36,0.38,53.6,0,-71.09,88.02,-5.34,-6.15,0.56,-2.1,0.36,0.36,0.36,0.38,54.81,121.66,-6.33,88.51,-1.5,-3.61,4.33,0.89,0.36,0.36,0.36,0.38,1.39,1.36,NA
"1981-01-08",55.97,11.81,-14.44,88.7,-7,-8.26,-0.85,0.28,0.36,0.36,0.36,0.38,54.98,0,-36.28,88.29,-11.48,-13.04,-1.87,-1.24,0.36,0.36,0.36,0.38,56.31,67.02,-3.62,89,-3.61,-4.05,1.2,2.06,0.36,0.36,0.36,0.38,1.63,0.63,NA
"1981-01-09",57.13,20.2,-37.38,88.61,-6.53,-9.11,0.18,1.54,0.36,0.36,0.36,0.38,56.32,0,-74.94,88.48,-10.94,-12.4,-2.07,0.41,0.36,0.36,0.36,0.38,57.58,112.62,3.69,88.79,-2.2,-5.74,2.57,2.61,0.36,0.36,0.36,0.38,1.29,1.38,NA
"1981-01-10",57.41,27.42,-72.44,89.08,-4.42,-8.18,1.17,1.23,0.36,0.36,0.36,0.38,57.25,0,-96.24,88.82,-7.04,-9.97,-0.16,0.27,0.36,0.36,0.36,0.38,57.49,143.63,-42.39,89.21,-0.17,-6.42,2.6,2.24,0.36,0.36,0.36,0.38,0,1.75,NA
"1981-01-11",57.2,27.7,-54.85,89.04,-2.78,-9.26,0.55,1.07,0.36,0.36,0.36,0.38,57.2,0,-86.17,88.73,-5.46,-11.88,-0.92,0.05,0.36,0.36,0.36,0.38,57.23,143.4,-39.08,89.2,2.45,-4.66,1.42,1.7,0.36,0.36,0.36,0.38,0,0.15,NA
"1981-01-12",57.13,27.93,-50.83,88.7,-2.88,-8.44,1.9,0.26,0.36,0.36,0.36,0.38,56.98,0,-89.78,88.51,-6.9,-12.7,-0.58,-1.01,0.36,0.36,0.36,0.38,57.2,143.82,5.48,88.94,1.87,-5.17,3.15,2.05,0.36,0.36,0.36,0.38,0,2.56,NA
"1981-01-13",56.95,28.36,-62.42,89.15,-3.35,-6.97,1.6,0.42,0.36,0.36,0.36,0.38,56.86,0,-90.86,88.98,-5.63,-8.93,0.8,-0.33,0.36,0.36,0.36,0.38,56.98,145.98,-33.43,89.26,0.94,-4.42,2.09,0.86,0.36,0.36,0.36,0.38,0,0.85,NA
"1981-01-14",56.86,28.69,-52.31,89.26,-5.16,-7.77,0.58,0.7,0.36,0.36,0.36,0.38,56.86,0,-80.8,89.2,-8.5,-9.91,-1.1,-0.06,0.36,0.36,0.36,0.38,56.86,148.22,-36.02,89.32,2.07,-3.74,1.93,1.56,0.36,0.36,0.36,0.38,0,-0.08,NA
