"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",25.79,38.88,-27.92,99.1,-14.52,-19.46,-2.01,-1.99,0.22,0.22,0.25,0.26,25.47,0,-60.89,98.51,-18.72,-23.05,-2.94,-2.58,0.22,0.22,0.25,0.26,27.1,178.03,0.42,99.6,-10.07,-13.02,0.01,-1.3,0.22,0.22,0.25,0.26,1.89,0.93,NA
"1981-01-02",28.57,54.96,-58.81,98.92,-14,-18.07,3.59,-2.23,0.22,0.22,0.25,0.26,27.35,0,-106.35,98.19,-23.83,-28.03,-0.5,-3.56,0.22,0.22,0.25,0.26,28.91,254.4,1.21,99.77,-8.81,-10.36,7.17,-0.48,0.22,0.22,0.25,0.26,2.03,1.18,NA
"1981-01-03",28.86,38.49,-47.69,99.54,-25.26,-30.38,-0.59,-2.59,0.22,0.22,0.25,0.26,28.68,0,-79.99,99.31,-27.79,-31.88,-2.12,-4.03,0.22,0.22,0.24,0.26,29.02,196.33,-23.97,99.75,-22.31,-28.33,1.61,-1.28,0.22,0.22,0.25,0.26,0.53,0.35,NA
"1981-01-04",29.07,41.67,-53.44,100.09,-27.36,-32.44,3.15,-2.73,0.22,0.22,0.24,0.26,29.01,0,-85.43,99.7,-32.59,-37.08,0.22,-3.67,0.22,0.22,0.24,0.26,29.15,187.53,-14.17,100.41,-23.28,-27.24,4.96,-1.99,0.22,0.22,0.24,0.26,0.27,0.39,NA
"1981-01-05",29.08,55.43,-48.12,100.36,-17.42,-21.3,2.97,-0.9,0.22,0.22,0.24,0.26,29,0,-70.63,99.94,-23.04,-26.91,0.46,-2.37,0.22,0.22,0.24,0.26,29.15,246.91,-2.12,100.61,-10.41,-12.92,4.39,1.57,0.22,0.22,0.24,0.26,0.18,0.52,NA
"1981-01-06",30.93,23.22,-13.9,98.95,-6.4,-9.12,3.07,3.57,0.22,0.22,0.24,0.26,29.21,0,-21.66,97.86,-9.91,-12.6,1.48,1.83,0.22,0.22,0.24,0.26,35.78,129.12,-7.1,99.88,-3.54,-4.98,4.04,4.76,0.22,0.22,0.24,0.26,7.49,1.15,NA
"1981-01-07",38.21,55.38,-56.26,98.09,-10.63,-14.53,5.77,-0.5,0.22,0.22,0.24,0.26,36.46,0,-91.17,97.34,-19.36,-23.53,2.56,-2.47,0.22,0.22,0.24,0.26,38.55,240.39,-8.09,99.08,-3.28,-4.61,7.82,4.16,0.22,0.22,0.24,0.26,3.15,1.6,NA
"1981-01-08",38.24,60.67,-74.84,99.65,-19.35,-23.66,3.6,-1.55,0.22,0.22,0.24,0.26,38.17,0,-92.35,99.1,-22.76,-26.35,1.59,-2.44,0.22,0.22,0.24,0.26,38.3,264.31,-48.56,100.11,-15.98,-20.83,5.17,-0.49,0.22,0.22,0.24,0.26,0,0.52,NA
"1981-01-09",38.45,38.41,-26.84,99.78,-12.96,-16.11,1.82,0.6,0.22,0.22,0.24,0.26,38.17,0,-53.49,99.6,-19,-21.93,-0.48,-2.5,0.22,0.22,0.24,0.26,39,173.67,-5.79,100.04,-8.3,-11.45,3.69,3.38,0.22,0.22,0.24,0.26,1.05,0.55,NA
"1981-01-10",38.94,53.68,-78.8,100.19,-17.23,-21.42,3.81,-2.41,0.22,0.21,0.24,0.26,38.85,0,-98.54,99.67,-23.15,-26.79,2.45,-3.44,0.21,0.21,0.24,0.26,39,241.11,-45.59,100.52,-11.42,-14.71,4.84,-1.55,0.22,0.22,0.24,0.26,0.06,0.7,NA
"1981-01-11",38.84,62.43,-78.33,100.1,-24.89,-29.55,3.28,-2.18,0.21,0.21,0.24,0.26,38.78,0,-93.9,99.83,-26.93,-31.71,2.21,-3.01,0.21,0.21,0.24,0.26,38.88,274.15,-54.37,100.41,-21.83,-27.4,4.21,-1.62,0.21,0.21,0.24,0.26,0.05,0.38,NA
"1981-01-12",38.77,57.26,-56.34,100.13,-22.73,-26.5,0.04,-0.08,0.21,0.21,0.23,0.26,38.73,0,-83.34,99.97,-27.03,-30.62,-2.59,-1.31,0.21,0.21,0.23,0.26,38.79,248.72,-23.84,100.34,-18.02,-22.22,2.86,0.99,0.21,0.21,0.24,0.26,0.03,0.22,NA
"1981-01-13",38.75,53.99,-50.82,99.6,-17.31,-20.43,-2.71,-0.61,0.21,0.21,0.23,0.26,38.69,0,-78.29,99.38,-20.69,-23.23,-3.26,-1.36,0.21,0.21,0.23,0.26,38.79,226.49,-29.61,99.95,-13.98,-18.4,-2.24,-0.05,0.21,0.21,0.23,0.26,0.07,0.37,NA
