"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",32.89,2.39,-14.78,96.42,-26.61,-29.76,-1.47,2.41,0.35,0.34,0.34,0.36,32.78,0,-27.12,96.2,-28.53,-31.65,-2.09,1.34,0.35,0.34,0.34,0.36,32.96,20.22,15.68,96.88,-25.69,-28.76,-0.8,3.17,0.35,0.34,0.34,0.36,0.22,0.05,NA
"1981-01-02",33.01,1.91,-1.54,95.62,-22.66,-25.58,-0.94,2.46,0.35,0.34,0.34,0.36,32.97,0,-9.47,95.32,-25.78,-28.81,-1.4,1.55,0.35,0.34,0.34,0.36,33.04,16.06,14.47,96.23,-19.99,-22.53,-0.32,3.28,0.35,0.34,0.34,0.36,0.13,0.11,NA
"1981-01-03",33.42,1.02,3.81,95.41,-17.69,-20.24,-0.45,1.24,0.35,0.34,0.34,0.36,33.04,0,-21.47,95.33,-20.61,-23.16,-0.79,1.09,0.35,0.34,0.34,0.36,34.27,8.12,23.23,95.5,-14.57,-16.77,-0.19,1.41,0.35,0.34,0.34,0.36,1.29,0.13,NA
"1981-01-04",34.37,1.87,-5.76,95.41,-13.4,-15.22,-0.28,1.04,0.35,0.34,0.34,0.36,34.29,0,-29.58,95.31,-14.46,-16.49,-0.85,0.37,0.35,0.34,0.34,0.36,34.52,15.93,7.13,95.59,-11.69,-13.48,0.2,1.33,0.35,0.34,0.34,0.36,0.27,0.03,NA
"1981-01-05",34.98,2.08,-7.92,96.38,-13.08,-14.59,-0.38,0.35,0.35,0.34,0.34,0.36,34.57,0,-31.91,95.76,-14.3,-15.87,-0.71,-0.51,0.35,0.34,0.34,0.36,35.25,18.05,7.13,96.63,-12.47,-14.11,0.39,1.19,0.35,0.34,0.34,0.36,0.73,-0.01,NA
"1981-01-06",35.62,2.23,-10.87,96.09,-15.23,-16.97,0.09,-0.84,0.35,0.34,0.34,0.36,35.27,0,-24.95,95.84,-17.88,-19.9,-0.37,-1.16,0.35,0.34,0.34,0.36,35.95,19.47,5.7,96.47,-14.1,-15.71,0.6,-0.1,0.35,0.34,0.34,0.36,0.71,-0.01,NA
"1981-01-07",36.19,2.81,-24.36,96.44,-21.57,-23.93,-0.56,-0.25,0.35,0.34,0.34,0.36,35.98,0,-42.17,96.01,-27,-29.54,-1.32,-0.87,0.35,0.34,0.34,0.36,36.27,21.27,-9.63,96.73,-17.89,-19.93,-0.07,1.15,0.35,0.34,0.34,0.36,0.32,-0.01,NA
"1981-01-08",36.33,3.44,-31.3,96.41,-24.23,-26.87,-1.65,2.93,0.35,0.34,0.34,0.36,36.27,0,-44.32,96.02,-27.97,-30.22,-1.92,1.48,0.35,0.34,0.34,0.36,36.44,26.95,-8.32,96.75,-21.58,-24.4,-1.37,3.73,0.35,0.34,0.34,0.36,0.18,-0.01,NA
"1981-01-09",36.65,3.02,-26.88,95.44,-19.6,-22.04,-1,2.73,0.35,0.34,0.34,0.36,36.45,0,-43.66,94.95,-21.35,-23.95,-1.35,2.4,0.35,0.34,0.34,0.36,36.78,25.25,-11.89,95.98,-18.08,-20.41,-0.29,3.18,0.35,0.34,0.34,0.36,0.34,-0.02,NA
"1981-01-10",36.79,4.6,-31.1,94.97,-16.85,-19.79,0.46,1.8,0.35,0.34,0.34,0.36,36.79,0,-46.22,94.83,-18.34,-20.83,-0.14,1.28,0.35,0.34,0.34,0.36,36.8,36.31,-12.95,95.13,-15.25,-18.64,0.69,2.39,0.35,0.34,0.34,0.36,0.01,-0.02,NA
"1981-01-11",36.79,4.42,-22.2,95.18,-13.94,-16.95,0.42,1.74,0.35,0.34,0.34,0.36,36.79,0,-36.55,95.07,-16.45,-19.77,-0.05,1.04,0.35,0.34,0.34,0.36,36.8,33.36,-3.23,95.3,-11.1,-14.03,0.82,2.13,0.36,0.34,0.34,0.36,0,-0.04,NA
"1981-01-12",36.81,2.84,-13.81,95.3,-10.68,-13.86,0.92,-0.26,0.36,0.34,0.34,0.36,36.8,0,-42.51,94.99,-11.69,-15.73,0.23,-1.2,0.36,0.34,0.34,0.36,36.82,22.42,13.05,96,-8.81,-11.75,1.33,1.35,0.36,0.34,0.34,0.36,0.02,-0.04,NA
"1981-01-13",36.83,4.09,-17.96,96.22,-12.46,-13.53,-0.41,1.5,0.36,0.34,0.34,0.36,36.82,0,-29.3,96.03,-14.82,-15.68,-1.03,0.13,0.36,0.34,0.34,0.36,36.86,29.01,1.17,96.35,-9.94,-11.17,0.31,2.01,0.36,0.34,0.34,0.36,0.02,-0.08,NA
"1981-01-14",36.89,3.45,-22.25,95.84,-9.53,-11.01,-0.56,2.74,0.36,0.34,0.34,0.36,36.86,0,-40.31,95.32,-11.01,-12.44,-1.16,2.17,0.36,0.34,0.34,0.36,36.91,23.99,-4.7,96.22,-7.59,-9.48,0.44,3.3,0.36,0.34,0.34,0.36,0.04,0,NA
"1981-01-15",36.9,6.25,-46.56,94.81,-6.2,-9.01,0.47,2.34,0.36,0.34,0.34,0.36,36.88,0,-66.3,94.39,-7.53,-11.59,0.25,1.97,0.36,0.34,0.34,0.36,36.91,44.74,-11.66,95.18,-4.72,-7.34,0.61,2.9,0.36,0.34,0.34,0.36,0.01,0.29,NA
"1981-01-16",36.83,4.52,-24.26,94.58,-5.26,-10.19,0.57,1.45,0.36,0.34,0.34,0.36,36.81,0,-33.83,94.33,-6.43,-11.14,0.26,0.69,0.36,0.34,0.34,0.36,36.87,31.36,-4.64,94.84,-3.99,-8.85,0.87,2.54,0.36,0.34,0.34,0.36,0,0.25,NA
"1981-01-17",36.82,6.81,-26.79,94.61,-6.88,-10.3,0.4,0.66,0.36,0.34,0.34,0.36,36.81,0,-39.38,94.51,-8.81,-12.28,-0.86,-0.51,0.36,0.34,0.34,0.36,36.82,47.38,-19.18,94.82,-5.02,-8.4,0.9,1.95,0.36,0.34,0.34,0.36,0,-0.06,NA
"1981-01-18",36.83,6.33,-19.43,94.43,-11.35,-12.62,-0.11,1.73,0.36,0.34,0.34,0.36,36.82,0,-27.94,94.1,-14.23,-15.23,-0.59,0.85,0.36,0.34,0.34,0.35,36.84,43.28,-13.23,94.58,-9.32,-10.04,0.52,2.34,0.36,0.34,0.34,0.36,0,-0.05,NA
"1981-01-19",36.78,6.03,-34.7,93.73,-5.17,-8.24,0.21,2.23,0.36,0.34,0.34,0.35,36.75,0,-57.7,93.56,-8.78,-11.95,-0.43,2.03,0.36,0.34,0.34,0.35,36.83,38.56,-7.54,94,-2.38,-5.59,0.7,2.44,0.36,0.34,0.34,0.35,0,0.45,NA
"1981-01-20",36.72,8.24,-53.26,94.55,-6.68,-11.95,1.39,1.32,0.36,0.34,0.34,0.35,36.68,0,-70.67,93.66,-9.16,-16.75,0.65,0.22,0.36,0.34,0.34,0.35,36.76,56.69,-29.68,95.61,-4.28,-6.62,2.38,2.25,0.36,0.34,0.34,0.35,0,0.41,NA
"1981-01-21",37.19,3.54,-5.79,95.17,-8.89,-14.3,-0.8,1.82,0.36,0.34,0.34,0.35,36.68,0,-45.16,94.2,-14.1,-20.8,-1.57,0.62,0.36,0.34,0.34,0.35,40.21,21.24,29.99,95.8,-4.84,-7.11,0.56,2.69,0.36,0.34,0.34,0.35,3.65,0.54,NA
"1981-01-22",41.6,9.29,-25.23,94.27,-7.33,-9.21,0.1,1.21,0.36,0.34,0.34,0.35,40.96,0,-54.79,93.95,-9.65,-11.99,-0.77,-0.13,0.36,0.34,0.34,0.35,42.11,61.44,18.07,94.52,-5.09,-6.16,0.73,1.7,0.36,0.34,0.34,0.35,1.95,0.01,NA
