"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",9.77,21.39,-47.62,99.69,-9.9,-14.26,1.22,-3.57,0.49,0.44,0.43,0.4,9.69,0,-85.64,99.31,-18.86,-23.48,-1.8,-6.61,0.49,0.44,0.43,0.4,9.88,116.07,-21.93,100.02,-4.27,-7.07,4.29,-0.19,0.49,0.44,0.43,0.4,0.28,0.9,NA
"1981-01-02",10.56,16.44,-40.08,99.68,-19.95,-25.37,-1.66,-1.72,0.49,0.44,0.43,0.4,9.69,0,-85.65,99.24,-25.49,-30.48,-3.62,-5.17,0.49,0.44,0.43,0.4,11.16,91.11,-0.89,100.28,-17.58,-22.39,0.59,1.5,0.49,0.44,0.43,0.4,1.63,0.44,NA
"1981-01-03",11.15,20.66,-43.35,100.27,-24.69,-30.44,0.03,-1.19,0.49,0.44,0.43,0.4,11.08,0,-69.72,100.13,-29.55,-33.8,-2.42,-3.03,0.49,0.44,0.43,0.4,11.3,114.75,-6.22,100.37,-20.24,-27.19,1.64,0.6,0.49,0.44,0.43,0.4,0.28,0.2,NA
"1981-01-04",11.23,28.52,-51.67,100.14,-22.9,-28.77,-1.83,3.21,0.49,0.44,0.43,0.4,11.06,0,-64.91,99.15,-29.88,-34.34,-2.45,0.69,0.49,0.44,0.43,0.4,11.3,138.73,-42.31,100.61,-16.02,-21.92,-0.66,5.52,0.49,0.44,0.43,0.4,0,0.45,NA
"1981-01-05",10.93,24.96,-31.53,98.32,-8.84,-12.5,1.01,0.6,0.49,0.44,0.43,0.4,10.85,0,-68.29,98.14,-15.59,-21.44,-0.57,-3.26,0.49,0.44,0.43,0.4,11.04,138.87,4.86,99.02,-3.4,-7.12,2.3,5.46,0.49,0.44,0.43,0.4,0.12,0.43,NA
"1981-01-06",10.97,32.49,-64.37,99.18,-15.11,-19.38,1.56,-4.98,0.49,0.44,0.43,0.4,10.87,0,-95.8,98.26,-22.38,-26.23,0.13,-7.32,0.49,0.44,0.43,0.4,11.08,156.06,-0.72,99.65,-6.7,-8.68,2.76,-1.75,0.49,0.44,0.43,0.4,0.22,0.6,NA
"1981-01-07",10.94,29.25,-38.07,99.24,-20.37,-25.34,-1.29,0.59,0.49,0.44,0.43,0.4,10.88,0,-76.75,99.12,-23.7,-27.55,-2.15,-1.43,0.49,0.44,0.43,0.4,11.01,147.21,2.01,99.56,-17.65,-23.54,0.81,1.78,0.49,0.44,0.43,0.4,0.17,0.3,NA
"1981-01-08",10.96,27.06,-51.53,99.13,-18.29,-22.3,1.38,-0.71,0.49,0.44,0.43,0.4,10.94,0,-73.76,98.9,-24.59,-28.16,0.15,-5.33,0.49,0.44,0.43,0.4,10.99,130.69,-32.33,99.71,-10.81,-15.25,2.68,2.45,0.49,0.44,0.43,0.4,0.11,0.29,NA
"1981-01-09",10.95,35.58,-74.4,100.4,-21.62,-26.3,1.25,-2.55,0.49,0.44,0.43,0.4,10.91,0,-94.78,99.78,-23.96,-27.6,0.61,-4.84,0.49,0.44,0.43,0.4,10.99,167.8,-50.46,100.7,-18.81,-24.72,2.29,1.1,0.49,0.44,0.43,0.4,0.01,0.23,NA
"1981-01-10",10.91,36.1,-54.83,100.62,-20.39,-25.84,-0.43,0.74,0.49,0.44,0.43,0.4,10.88,0,-96.88,100.35,-24.61,-28.55,-1.37,-0.76,0.49,0.44,0.43,0.4,10.92,172.03,-25.25,100.96,-16.04,-21.59,0.99,1.76,0.49,0.44,0.43,0.4,0,0.19,NA
"1981-01-11",10.89,20.49,-34.97,100.22,-15.94,-18.52,1.43,2.04,0.49,0.44,0.43,0.4,10.86,0,-59.58,99.21,-25.07,-27.37,0.51,1.07,0.49,0.44,0.43,0.4,10.91,97.05,-8.07,100.95,-7.07,-9.81,2.56,3,0.49,0.44,0.43,0.4,0.05,0.14,NA
"1981-01-12",10.88,36.48,-58.03,98.52,-6.64,-9.14,2.36,-1.59,0.49,0.44,0.43,0.4,10.77,0,-90.14,98.36,-10.83,-12.42,1.17,-3.79,0.49,0.44,0.43,0.4,10.97,171.19,-20.5,99.11,-1.69,-5.77,3.37,1.21,0.49,0.44,0.43,0.4,0,0.23,NA
"1981-01-13",10.81,32.09,-39.46,98.48,-7.84,-9.91,0.9,-1.65,0.49,0.44,0.43,0.4,10.75,0,-86.42,98.31,-12.68,-13.82,-0.37,-5.24,0.49,0.44,0.43,0.4,10.85,162.42,-6.38,98.71,-0.92,-4.5,2.78,0.58,0.49,0.44,0.43,0.4,0.05,0.2,NA
"1981-01-14",10.78,28.88,-32.68,99.14,-9.37,-12.67,0.75,-4.63,0.49,0.44,0.43,0.4,10.64,0,-60.34,98.61,-14.17,-17.86,-1.33,-5.36,0.49,0.44,0.43,0.4,10.89,144.29,-7.33,99.69,-5.35,-7.51,2.47,-3.9,0.49,0.44,0.43,0.4,0.25,0.77,NA
"1981-01-15",10.59,38.06,-58.21,100.21,-15.63,-19.82,0.02,-3.81,0.49,0.44,0.43,0.4,10.51,0,-90.37,99.66,-17.72,-20.91,-1.36,-4.54,0.49,0.44,0.43,0.4,10.66,180.01,-18.06,100.65,-12.83,-18.31,0.87,-2.24,0.49,0.44,0.43,0.4,0.1,0.52,NA
"1981-01-16",10.47,33.17,-42.92,100.32,-13.26,-17.11,1.81,1.25,0.49,0.44,0.43,0.4,10.34,0,-64.97,99.66,-19.85,-22.35,-0.34,-2.14,0.49,0.44,0.43,0.4,10.55,156.43,-23.4,100.67,-7.29,-12.12,3.56,2.98,0.49,0.44,0.43,0.4,0.02,0.47,NA
"1981-01-17",10.09,44.15,-74.74,99.33,-4.02,-10.03,3.8,-0.6,0.49,0.44,0.43,0.4,9.81,0,-100.09,99.24,-7.18,-11.92,2.94,-1.36,0.49,0.44,0.43,0.4,10.33,199.99,-42.48,99.65,2.04,-6.53,4.27,0.74,0.49,0.44,0.43,0.4,0,1.08,NA
