"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",23.76,27.2,-53.09,90.71,-9.92,-13.56,1.15,1,0.38,0.37,0.34,0.32,23.69,0,-91.5,90.27,-16.79,-19.44,-0.07,-2.1,0.38,0.37,0.34,0.32,23.8,139.86,-30.1,91.28,-1.56,-7.42,2.83,2.29,0.38,0.37,0.34,0.32,0,0.28,0.02
"1981-01-02",23.64,26.8,-61.91,90.46,-8.99,-12.81,0.25,0.55,0.37,0.37,0.34,0.32,23.58,0,-87.11,90.19,-13.88,-17.11,-1.62,-2.02,0.37,0.37,0.34,0.32,23.69,139.3,-33.88,90.69,-3.72,-8.61,2.42,2.28,0.38,0.37,0.34,0.32,0,0.29,0.02
"1981-01-03",23.56,28.92,-61.72,90.19,-10,-13.53,2.09,0.13,0.37,0.36,0.34,0.32,23.51,0,-100.62,90.07,-15.45,-18.11,0.83,-0.85,0.37,0.36,0.34,0.32,23.6,146.93,-41.76,90.33,-0.95,-6.25,2.7,1.61,0.37,0.37,0.34,0.32,0,0.16,0.02
"1981-01-04",23.44,27.03,-47.62,90.34,-6.8,-10.45,2.26,-0.01,0.37,0.36,0.34,0.32,23.28,0,-84.04,90.24,-14.77,-17.66,1.88,-0.85,0.37,0.36,0.34,0.32,23.53,140.1,-13.41,90.46,2.09,-3.74,2.59,1.01,0.37,0.36,0.34,0.32,0.16,0.49,0.02
"1981-01-05",23.32,28.06,-67.67,90.69,-2.91,-6.17,2.48,-1.12,0.37,0.36,0.34,0.32,23.21,0,-95.73,90.4,-9.48,-11.54,1.84,-2.24,0.37,0.36,0.34,0.32,23.42,143.95,-5.59,90.89,0.51,-4.3,3.19,0.63,0.37,0.36,0.34,0.32,0,0.71,0.02
"1981-01-06",23.75,13.57,-28.78,89.97,-5.04,-7.9,0.39,1.08,0.37,0.36,0.34,0.32,23.23,0,-75.64,89.33,-12.97,-15.03,-2.09,-2.7,0.37,0.36,0.34,0.32,24.89,81.85,2.59,90.84,0.18,-2.49,3.95,3.51,0.37,0.36,0.34,0.32,1.97,0.86,0.02
"1981-01-07",24.68,28.39,-60.92,90.05,-3.51,-6.75,1.36,-0.01,0.37,0.36,0.34,0.32,24.61,0,-92.43,89.74,-7.01,-9.45,-1.11,-1.62,0.36,0.36,0.34,0.32,24.81,143.36,-25.23,90.27,-0.8,-4.09,3.52,1.81,0.37,0.36,0.34,0.32,0,0.74,0.02
"1981-01-08",24.63,19.81,-21.88,90.28,-5.75,-7.29,0.07,-0.5,0.36,0.36,0.34,0.32,24.59,0,-54.91,89.89,-10.12,-11.87,-2.6,-1.35,0.36,0.36,0.34,0.32,24.71,94.83,-6.88,90.63,-0.5,-2.59,1.86,1.34,0.36,0.36,0.34,0.32,0.21,0.16,0.02
"1981-01-09",24.74,24.14,-39.48,90.35,-3.35,-5.5,0.02,1.38,0.36,0.36,0.34,0.32,24.69,0,-66.84,90.19,-5.7,-7.4,-2.69,-0.05,0.36,0.36,0.34,0.32,24.79,119.2,-0.51,90.62,-0.21,-3.69,2.64,3.09,0.36,0.36,0.34,0.32,0.1,0.35,0.02
"1981-01-10",24.68,31.42,-66.52,90.88,-7.52,-10.43,1.19,1.15,0.36,0.36,0.34,0.32,24.63,0,-101.13,90.64,-12.11,-14.14,-1.15,-0.01,0.36,0.35,0.34,0.32,24.71,154.21,-34.11,91.04,-2.26,-6.28,2.74,2.27,0.36,0.36,0.34,0.32,0,0.18,0.02
"1981-01-11",24.57,30.96,-53.01,90.75,-7.3,-10.05,1.56,0.7,0.36,0.35,0.34,0.32,24.44,0,-91.89,90.45,-12.38,-14.56,0.3,-0.83,0.36,0.35,0.34,0.32,24.66,148.78,-32.58,90.9,0.52,-3,2.3,1.29,0.36,0.35,0.34,0.32,0,0.25,0.02
"1981-01-12",24.25,31.98,-55.27,90.4,-3.15,-6.98,2.01,-0.04,0.36,0.35,0.34,0.32,23.97,0,-94.67,90.15,-8.88,-11.49,1.38,-1.66,0.36,0.35,0.34,0.32,24.46,157.31,-3.57,90.73,3.06,-2.23,2.74,1.59,0.36,0.35,0.34,0.32,0,0.69,0.02
"1981-01-13",23.77,30.83,-53.25,90.84,-5.42,-8.39,1.76,0.17,0.36,0.35,0.34,0.32,23.48,0,-84.03,90.74,-11.08,-13.49,0.97,-1.13,0.36,0.35,0.34,0.32,23.98,149.14,-30.27,90.95,2,-1.73,2.28,1.38,0.37,0.35,0.34,0.32,0,0.33,0.02
"1981-01-14",23.23,31.85,-49.46,90.91,-5.35,-8.17,1.16,0.05,0.37,0.35,0.34,0.32,22.91,0,-94.65,90.85,-9.93,-12.49,-1.1,-1.06,0.36,0.35,0.34,0.32,23.5,163.57,-2.05,90.99,1.62,-2.23,2.25,1.59,0.37,0.35,0.34,0.32,0,0.33,0.02
"1981-01-15",22.88,30.71,-49.15,90.83,-6.69,-8.25,-1.62,2.81,0.37,0.35,0.34,0.32,22.81,0,-82.63,90.56,-11.88,-12.88,-2.52,0.73,0.37,0.35,0.34,0.32,22.94,153.94,-18.08,90.97,-1.86,-4.12,0.02,4.27,0.37,0.35,0.34,0.32,0,0.33,0.02
"1981-01-16",22.7,37.21,-92.76,90.24,-3.86,-8.69,-1.38,3.6,0.36,0.35,0.34,0.32,22.39,0,-111.46,90.14,-6.83,-11.81,-1.76,2.62,0.36,0.35,0.34,0.32,22.86,177.29,-83.63,90.51,1.62,-6.32,-0.84,3.99,0.37,0.35,0.34,0.32,0,1.59,0.02
"1981-01-17",22.12,39.98,-94.92,89.63,-5.67,-12.28,0.01,2.23,0.36,0.35,0.34,0.32,21.91,0,-117.3,89.29,-8.37,-14.39,-1.96,-0.53,0.36,0.35,0.34,0.32,22.37,189.95,-55.81,90.03,-2.11,-9.03,3.28,3.94,0.36,0.35,0.34,0.32,0,1.68,0.02
"1981-01-18",21.51,38.15,-59.95,90.03,-3.94,-7.85,1.86,0.91,0.37,0.35,0.34,0.32,21,0,-102.29,89.73,-8.19,-12.03,0.2,-0.6,0.36,0.35,0.34,0.32,21.92,180.59,-39.7,90.22,2.86,-1.84,2.82,2.4,0.37,0.35,0.34,0.32,0,0.59,0.02
"1981-01-19",20.14,36.22,-48.54,89.95,-2.2,-4.47,1.24,1.55,0.38,0.35,0.34,0.32,19,0,-74.16,89.75,-6.43,-8.26,0.12,1.1,0.37,0.35,0.34,0.32,21.02,173.34,-28.93,90.15,4.11,0.36,1.84,2.13,0.39,0.35,0.34,0.32,0,0.42,0.02
"1981-01-20",18.14,39.63,-57.77,90.11,0.53,-2.28,1.03,0.55,0.39,0.35,0.34,0.32,16.97,0,-84.42,89.71,-3.16,-4.5,-2.01,-1.31,0.38,0.35,0.34,0.32,19.06,186.08,-42.91,90.41,5.84,0.61,3.1,2.22,0.41,0.36,0.34,0.32,0,0.46,0.02
