"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",8.16,21.2,-25.91,100.15,-2.56,-8.21,4.44,1.64,0.4,0.4,0.43,0.42,8.08,0,-37.41,99.39,-3.22,-8.91,-2.72,-0.84,0.39,0.4,0.43,0.42,8.25,98.49,-16.9,100.65,-1.7,-7.15,7.38,3.21,0.4,0.41,0.43,0.42,0.14,16.1,13.14
"1981-01-02",16.33,36.9,-36.78,99.89,-1.88,-4.65,-3.54,-1.69,0.39,0.39,0.42,0.42,8.09,0,-79.54,99.17,-2.83,-6.91,-9.01,-5.09,0.38,0.39,0.42,0.42,19.23,216.27,-11.13,100.46,-0.85,-3.15,1.26,1.2,0.39,0.4,0.43,0.42,11.36,7.77,11.7
"1981-01-03",22.89,29.21,-43.22,98.57,-1.15,-4.67,4.32,6.09,0.39,0.38,0.42,0.42,20.08,0,-84.07,98.04,-5.36,-12.45,-9.4,-0.99,0.38,0.38,0.42,0.42,23.73,145.24,0.9,99.48,3.05,1.27,10.87,7.88,0.39,0.39,0.42,0.42,6.98,21.56,10.47
"1981-01-04",27.33,10.39,-20.59,99.37,-2.51,-5.7,2.81,2.22,0.38,0.38,0.42,0.42,23.56,0,-50.55,98.67,-5.68,-12.58,-4.91,-2.87,0.38,0.38,0.42,0.42,31.84,50.02,5.01,100.03,1.18,0.5,10.38,6.53,0.39,0.38,0.42,0.42,8.68,14.93,7.68
"1981-01-05",35.39,21.02,-31.27,98.88,-5.04,-7.93,4.5,-0.01,0.37,0.38,0.41,0.42,31.83,0,-64,98.52,-9.23,-14.68,1,-2.25,0.37,0.37,0.41,0.42,37.21,90.54,-13.78,99.57,-1.33,-1.97,7.68,3.88,0.38,0.38,0.42,0.42,5.79,8.02,6.4
"1981-01-06",37.14,28.44,-36.42,100.3,-4.56,-8.8,4.47,0.67,0.37,0.37,0.41,0.42,37.07,0,-51.65,99.63,-7.63,-12.39,3.15,-0.22,0.37,0.37,0.41,0.42,37.19,121.96,-20,100.91,-3.45,-6.84,5.82,1.31,0.37,0.37,0.41,0.42,0.33,10.33,5.58
"1981-01-07",37.04,39.83,-41.84,101.27,-1.36,-4.71,0.46,4.34,0.37,0.37,0.41,0.42,36.86,0,-73.42,100.95,-3.83,-7,-3.34,1.55,0.36,0.37,0.4,0.42,37.16,197.71,-22.83,101.49,0.4,-2.79,3.18,7.34,0.37,0.37,0.41,0.42,0.23,10.56,4.43
"1981-01-08",37.07,6.46,-16.75,99.88,1.34,-0.89,-2.22,7.38,0.39,0.39,0.4,0.42,34.37,0,-55.43,99.06,-1.45,-6.72,-6.86,2.58,0.36,0.37,0.4,0.42,38.84,26.77,-0.66,101.16,4.78,3.3,5.57,11.86,0.44,0.42,0.4,0.42,20.35,15.35,3.9
"1981-01-09",38.38,33.74,-59.22,100.88,-4.11,-9.24,4.83,2.29,0.4,0.41,0.4,0.42,38.13,0,-86.77,99.76,-5.84,-10.84,2.01,-0.17,0.4,0.41,0.4,0.42,38.69,155.47,-33.06,101.95,-1.73,-6.35,6.27,4.2,0.41,0.41,0.4,0.42,0.15,15.56,4.31
"1981-01-10",38.14,36.22,-43.75,101.75,-3.93,-7.44,-4.73,0.27,0.39,0.4,0.4,0.42,37.94,0,-72.62,100.46,-8.22,-12.45,-8.78,-1.41,0.39,0.4,0.4,0.42,38.76,173.06,3.28,102.27,1.53,0.36,1.81,2.18,0.43,0.4,0.4,0.42,3.84,7.34,5.79
"1981-01-11",31.91,35.11,-34.57,99.76,3.16,1.27,-0.86,6.1,0.42,0.42,0.41,0.42,29.01,0,-101.28,98.95,-0.14,-3.59,-8.74,3.22,0.41,0.4,0.4,0.42,38.65,233.81,5.71,100.65,6.44,6.25,4.2,10.12,0.44,0.44,0.42,0.42,20.47,8.85,6.08
"1981-01-12",28.76,49.42,-63.66,101.24,-0.13,-3.24,0.67,1.79,0.4,0.41,0.42,0.42,28.63,0,-89.86,100.73,-0.92,-4.64,-2.57,-1.68,0.4,0.41,0.42,0.42,28.98,239.03,-25.1,101.49,1.24,-1.93,4.13,4.21,0.41,0.42,0.42,0.42,0.03,7.42,8.37
"1981-01-13",28.67,6.7,-10.24,99.93,0.94,-0.31,-4.51,-1.46,0.41,0.42,0.42,0.42,26.8,0,-54.31,98.9,-0.63,-2.79,-8.43,-3.83,0.39,0.4,0.42,0.42,29.38,28.5,9.57,101.11,5.44,5.36,3.82,6.1,0.44,0.44,0.42,0.42,20.22,5.14,9.73
"1981-01-14",26.35,34.93,-50.95,100.03,0.49,-2.95,4.68,4.67,0.41,0.42,0.43,0.42,26.26,0,-101.17,99.27,-1.11,-4.55,3.62,2.79,0.4,0.41,0.42,0.42,26.52,159.43,-16.85,100.48,2.22,-0.29,5.48,6.97,0.43,0.43,0.43,0.42,0.4,16.53,9.61
"1981-01-15",26,38.75,-54.96,100.96,-1.5,-5.78,4.98,1.76,0.4,0.41,0.42,0.42,25.78,0,-75.9,100.5,-2.28,-6.72,2.51,-0.05,0.39,0.4,0.42,0.42,26.25,182.49,-30.3,101.22,-0.67,-4.9,6.24,2.98,0.4,0.41,0.42,0.42,0.15,14.7,8.99
