"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",2.41,27.99,-62.86,95.39,-6.6,-8.72,1.55,0.9,0.35,0.29,0.18,0.22,2.39,0,-78.43,94.44,-9.38,-10.87,-1.31,-1.6,0.35,0.29,0.18,0.22,2.42,123.65,-37.6,95.8,-3.93,-6.96,3.52,4.42,0.35,0.29,0.18,0.22,0.01,0.22,NA
"1981-01-02",2.45,28.88,-49.72,94.95,-9.75,-13.67,-0.38,-1.43,0.34,0.29,0.18,0.22,2.42,0,-73.55,94.19,-13.47,-18.9,-2.83,-4.85,0.34,0.29,0.18,0.22,2.48,149.68,-8.94,95.48,-5.13,-7.62,4.14,1.86,0.35,0.29,0.18,0.22,0.07,0.61,NA
"1981-01-03",2.46,39.56,-60.41,94.82,-10.37,-14.73,-2.28,1.36,0.34,0.29,0.18,0.22,2.44,0,-92.65,94.49,-14.43,-19.68,-2.7,-0.27,0.34,0.29,0.18,0.22,2.46,200.84,-39.08,95.35,-3.69,-10.47,-1.62,2.61,0.34,0.29,0.18,0.22,0,0.57,NA
"1981-01-04",2.45,42.6,-62.84,94.59,-7.87,-12.7,1.06,0.89,0.34,0.29,0.18,0.22,2.42,0,-95.59,94.31,-13.43,-15.46,-2.12,-1.11,0.34,0.29,0.18,0.22,2.46,208.82,-49.2,94.82,-1.18,-8.88,4.39,2.26,0.34,0.29,0.18,0.22,0,0.64,NA
"1981-01-05",3.68,17.49,-21.07,94.43,-1.57,-3.23,4.04,-2.39,0.35,0.29,0.18,0.22,2.42,0,-59.07,94.19,-5.18,-8.57,2.57,-5.06,0.34,0.29,0.18,0.22,5.31,93.46,-6.35,94.77,1.39,-0.08,5.91,-0.77,0.35,0.29,0.18,0.22,3.26,0.34,NA
"1981-01-06",6.08,23,-20.13,94.84,-7.18,-9.92,-2.41,-0.15,0.35,0.28,0.18,0.22,5.44,0,-52.6,93.88,-10.34,-14.29,-4.46,-3.95,0.34,0.28,0.18,0.22,7.95,115.5,0.33,95.28,-0.51,-1.08,2.24,4.04,0.35,0.29,0.18,0.22,2.78,0.63,NA
"1981-01-07",12.15,9.39,-11.33,94.18,-9.47,-11.19,0,-0.9,0.34,0.28,0.18,0.22,9.19,0,-41.39,93.64,-10.97,-12.73,-4.93,-3.02,0.34,0.28,0.18,0.22,12.76,46.43,2.15,94.63,-8.24,-9.69,2.48,1.8,0.34,0.28,0.18,0.22,4.89,0.15,NA
"1981-01-08",13.35,11.24,-20.81,94.87,-10.35,-12.13,-1.39,-0.95,0.34,0.28,0.18,0.22,12.76,0,-61.14,94.49,-17.81,-20.19,-2.91,-2.55,0.34,0.28,0.18,0.22,14.01,55.96,2.43,95.65,-7.48,-9.82,1.28,0.44,0.34,0.28,0.18,0.22,1.31,0.1,NA
"1981-01-09",14.05,13.43,-33.99,95.56,-18.75,-21.45,-3.05,1.75,0.34,0.28,0.18,0.22,14.01,0,-62.46,95.19,-25.45,-27.75,-3.81,-0.64,0.34,0.28,0.18,0.22,14.3,66.22,6.53,95.78,-11.51,-13.85,-2.13,2.98,0.34,0.28,0.18,0.22,0.31,0.05,NA
"1981-01-10",15.12,12.48,-30.12,95.57,-13.34,-15.15,-0.94,1.28,0.34,0.28,0.18,0.22,14.65,0,-60.42,94.99,-16.97,-18.39,-3.4,-0.66,0.34,0.28,0.18,0.22,15.23,59.61,4.58,95.84,-8.97,-11.01,0.6,2.63,0.34,0.28,0.18,0.22,0.9,-0.03,NA
"1981-01-11",15.29,15.67,-45.34,95.43,-10.32,-12.41,1.82,2.28,0.34,0.28,0.18,0.22,15.23,0,-80.86,94.93,-17.7,-19.09,0.42,0.36,0.34,0.28,0.18,0.22,15.36,75.19,-22.38,95.78,-2.37,-5.45,3.13,3.14,0.34,0.28,0.18,0.22,0,-0.13,NA
"1981-01-12",15.41,13.8,-37.63,94.54,-7.61,-10.18,2.58,-0.26,0.34,0.28,0.18,0.22,15.37,0,-73.38,94.26,-13.74,-15.32,1.5,-2.84,0.34,0.28,0.18,0.22,15.43,70.51,-18.34,94.87,-1.7,-5.38,4.04,1.63,0.34,0.28,0.18,0.22,0,-0.06,NA
"1981-01-13",15.48,16.49,-66.84,94.98,-5.41,-7.64,3.94,-1.67,0.34,0.28,0.18,0.22,15.43,0,-80.24,94.63,-7.9,-10.19,2.81,-2.23,0.34,0.28,0.18,0.22,15.55,76,-61.19,95.19,-2.12,-4.47,4.78,-1.28,0.34,0.28,0.18,0.22,0,-0.12,NA
