"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",88.8,31.97,-66.2,82.09,-12.26,-17.91,1.41,1.6,0.24,0.24,0.22,0.28,88.71,0,-92,81.83,-15.6,-20.82,1.24,1.45,0.24,0.24,0.22,0.28,88.86,161.84,-48.79,82.43,-6.15,-14.8,1.64,1.77,0.24,0.24,0.22,0.28,0,1.13,NA
"1981-01-02",88.64,32.21,-65.38,81.79,-13.09,-18.44,1.35,1.55,0.24,0.24,0.22,0.28,88.56,0,-89.28,81.69,-17.79,-21.83,1.11,1.34,0.24,0.24,0.22,0.28,88.7,162.42,-47.26,81.87,-6.91,-14.87,1.66,1.84,0.24,0.24,0.22,0.28,0,1.16,NA
"1981-01-03",88.46,33.58,-74.96,81.69,-11.91,-17.76,1.56,1.7,0.24,0.24,0.22,0.28,88.37,0,-98.32,81.63,-14.56,-19.96,1.43,1.43,0.24,0.24,0.22,0.28,88.55,168.57,-64.35,81.77,-6.74,-14.51,1.77,1.89,0.24,0.24,0.22,0.28,0,1.35,NA
"1981-01-04",88.35,30.86,-48.35,81.82,-10.34,-15.06,1.54,1.58,0.24,0.24,0.22,0.28,88.25,0,-78.23,81.7,-13.91,-18.5,1.38,1.35,0.24,0.24,0.22,0.28,88.86,160.16,1.05,81.93,-5.73,-10.97,1.65,1.74,0.24,0.24,0.22,0.28,0.64,1.61,NA
"1981-01-05",88.82,30.18,-56.3,82,-11.17,-13.33,1.38,1.37,0.24,0.24,0.22,0.28,88.78,0,-82.34,81.85,-13.59,-15.34,0.94,1.1,0.24,0.24,0.22,0.28,88.86,155.01,-14.71,82.09,-7.45,-11.51,1.69,1.58,0.24,0.24,0.22,0.28,0.01,0.57,NA
"1981-01-06",88.97,15.01,-33.09,81.29,-8.67,-12.52,1.51,1.48,0.24,0.24,0.22,0.28,88.77,0,-68.84,80.83,-13.31,-15.91,1.07,0.72,0.24,0.24,0.22,0.28,89.11,81.58,16.18,81.95,-4.22,-9.56,1.92,1.75,0.24,0.24,0.22,0.28,0.46,1.3,NA
"1981-01-07",89.05,23.17,-53.36,81.37,-9.75,-12.41,1.37,1.34,0.24,0.24,0.22,0.28,88.99,0,-73.27,81.24,-11.96,-13.91,1.02,1.09,0.24,0.23,0.22,0.28,89.09,108.89,-25.64,81.54,-6.16,-10.64,1.9,1.51,0.24,0.24,0.22,0.28,0.01,0.9,NA
"1981-01-08",88.99,30.03,-48.76,81.41,-10.63,-13.8,0.59,1.03,0.24,0.23,0.22,0.28,88.98,0,-80.08,81.15,-15.16,-17.59,-0.35,0.4,0.24,0.23,0.22,0.28,89.01,145.3,-8.88,81.6,-5.27,-10.68,1.29,1.34,0.24,0.23,0.22,0.28,0.05,0.55,NA
"1981-01-09",89.09,22.17,-41.19,81.59,-8.16,-11.11,1.43,1.44,0.24,0.23,0.22,0.28,89.03,0,-74.62,81.36,-10.91,-13.57,0.99,1.02,0.24,0.23,0.22,0.28,89.18,114.26,-2.29,81.98,-4.8,-8.94,1.69,1.76,0.24,0.23,0.22,0.28,0.23,0.8,NA
"1981-01-10",89.14,35.38,-70.12,82.15,-10.42,-13.34,1.49,1.65,0.24,0.23,0.22,0.28,89.06,0,-98.07,81.97,-13.37,-14.98,1.26,1.52,0.24,0.23,0.22,0.28,89.17,177.2,-46.58,82.25,-6.26,-11.65,1.64,1.85,0.24,0.23,0.22,0.28,0.01,1.21,NA
"1981-01-11",88.97,32.31,-65.1,82.17,-7.94,-12.9,1.47,1.72,0.24,0.23,0.22,0.28,88.82,0,-87.94,81.95,-11.29,-14.82,1.27,1.45,0.24,0.23,0.22,0.28,89.06,145.14,-46.39,82.3,-2.63,-10.02,1.63,1.86,0.24,0.23,0.22,0.28,0,2.27,NA
"1981-01-12",88.61,35.36,-56.94,81.9,-5.53,-11.95,1.5,1.54,0.24,0.23,0.22,0.28,88.39,0,-93.28,81.77,-9.01,-13.99,1.24,1.21,0.24,0.23,0.22,0.28,88.81,174.66,-18.67,82.06,-1.03,-9.54,1.71,1.91,0.24,0.23,0.22,0.28,0,3.57,NA
"1981-01-13",88.3,30.65,-58.59,82.2,-8.26,-11.87,1.21,1.36,0.23,0.23,0.22,0.28,88.22,0,-73.9,82.07,-11.23,-13.77,0.87,0.98,0.23,0.23,0.22,0.28,88.37,145.99,-43.29,82.32,-3.06,-7.98,1.47,1.62,0.24,0.23,0.22,0.28,0,1.08,NA
"1981-01-14",88.16,36.47,-58.22,82.19,-10,-13.22,0.98,1.15,0.23,0.23,0.22,0.28,88.08,0,-92.27,82.13,-13.75,-16.3,0.64,0.69,0.23,0.23,0.22,0.28,88.21,180.19,-19.26,82.27,-3.26,-7.85,1.16,1.39,0.23,0.23,0.22,0.28,0,1.04,NA
"1981-01-15",88.03,39.43,-65.14,81.95,-10.68,-13.95,0.97,1.39,0.23,0.23,0.22,0.28,87.97,0,-94.84,81.74,-14.68,-17.5,0.41,1,0.23,0.23,0.22,0.28,88.07,187.54,-36.74,82.15,-3.85,-8.88,1.37,1.73,0.23,0.23,0.22,0.28,0,0.93,NA
"1981-01-16",87.91,41.65,-85.07,81.55,-10.13,-14.4,1.3,1.73,0.23,0.23,0.22,0.28,87.79,0,-113.71,81.39,-13.18,-17.86,0.9,1.34,0.23,0.23,0.22,0.28,87.97,196.83,-68.97,81.71,-3.89,-10.82,1.53,1.88,0.23,0.23,0.22,0.28,0,1.41,NA
