"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",39.78,0.98,-4.63,100.34,-31.71,-35.83,-3.49,0.47,0.28,0.26,0.25,0.27,39.27,0,-44.3,99.98,-37.28,-40.88,-4.48,-0.49,0.28,0.26,0.25,0.27,40.3,7.44,32.56,100.81,-28.54,-32.77,-2.25,1.36,0.28,0.26,0.25,0.27,1.06,0.06,NA
"1981-01-02",40.41,1.58,0.16,99.67,-27.94,-32.22,-3.96,2.26,0.28,0.26,0.25,0.27,40.28,0,-39.49,98.93,-32.06,-36.46,-4.69,0.83,0.28,0.26,0.25,0.27,41.04,12.26,36.46,100.3,-22.66,-26.12,-3.18,3.26,0.28,0.26,0.25,0.27,0.81,0.12,NA
"1981-01-03",41.35,1.67,-6.82,98.68,-20.16,-22.9,-2.91,1.39,0.28,0.26,0.25,0.27,41.09,0,-33.69,98.46,-22.03,-25.13,-3.78,0.9,0.28,0.26,0.25,0.27,42.28,13.15,9.82,98.76,-17.92,-20.45,-1.95,2.26,0.28,0.26,0.25,0.27,1.26,0.03,NA
"1981-01-04",42.37,1.08,-2.5,98.43,-16.84,-19.31,-1.15,-0.63,0.28,0.26,0.25,0.27,42.31,0,-14.72,98.37,-18.2,-20.47,-2,-1.18,0.28,0.26,0.25,0.27,42.43,7.91,8.21,98.58,-15.14,-17.81,-0.63,0.67,0.28,0.26,0.25,0.27,0.17,0.03,NA
"1981-01-05",42.5,2.26,-35.63,99.49,-19.42,-22.29,-2.16,-0.56,0.28,0.26,0.25,0.27,42.45,0,-69.75,98.65,-26.21,-28.95,-3.31,-2.13,0.28,0.26,0.25,0.27,42.52,17.04,2.61,100.1,-14.57,-17.11,-0.04,1.54,0.28,0.26,0.25,0.27,0.09,0.04,NA
"1981-01-06",42.89,1.55,-3.61,99.03,-21.54,-24.52,-2.23,0.58,0.28,0.26,0.25,0.27,42.52,0,-29.55,98.51,-25.65,-28.46,-3.24,-2.38,0.28,0.26,0.25,0.27,43.14,12.18,17.02,99.88,-19.7,-22.62,-0.09,2.23,0.28,0.26,0.25,0.27,0.64,0.05,NA
"1981-01-07",43.15,2.64,-46.81,99.24,-27.51,-30.42,-0.71,-2.13,0.28,0.26,0.25,0.27,43.14,0,-63.73,98.61,-30.92,-33.86,-2.7,-2.57,0.28,0.26,0.25,0.27,43.16,19.93,-39.17,99.96,-22.62,-25.23,0.98,-1.13,0.28,0.26,0.25,0.27,0,-0.02,NA
"1981-01-08",43.17,2.92,-39.2,100.3,-31.95,-34.63,-2.71,0.84,0.28,0.26,0.25,0.27,43.16,0,-44.75,99.99,-32.95,-35.58,-3.05,-1.2,0.28,0.26,0.25,0.27,43.19,21.48,-35.76,100.45,-31.03,-33.89,-2.42,2.3,0.28,0.26,0.25,0.27,0,-0.02,NA
"1981-01-09",43.23,2.68,-28.47,99.39,-26.85,-29.52,-3.42,2.74,0.28,0.26,0.25,0.27,43.19,0,-41.18,98.65,-31.19,-33.62,-3.86,2.27,0.28,0.26,0.25,0.27,43.27,19.47,-8.64,100.12,-21.66,-24.3,-2.96,3.15,0.28,0.26,0.25,0.27,0.04,-0.05,NA
"1981-01-10",43.35,2.44,-19.47,98.37,-19.21,-21.41,-1.35,2.87,0.28,0.26,0.25,0.27,43.28,0,-25.85,98.25,-21.56,-24.12,-2.76,1.91,0.28,0.26,0.25,0.27,43.39,17.34,-12.17,98.71,-17.86,-19.92,-0.46,3.56,0.28,0.26,0.25,0.27,0.07,-0.06,NA
"1981-01-11",43.42,2.37,-8.77,98.34,-15.93,-17.61,-1.35,1.5,0.28,0.26,0.25,0.27,43.39,0,-25.68,98.23,-18.07,-19.79,-1.87,0.74,0.28,0.26,0.25,0.27,43.44,16.96,7.66,98.4,-13.8,-15.34,-0.78,2.07,0.28,0.26,0.25,0.27,0.02,-0.04,NA
"1981-01-12",43.8,1.67,1.65,97.97,-10.4,-11.69,-0.98,0.44,0.28,0.26,0.25,0.27,43.44,0,-12.43,97.8,-13.96,-15.56,-2.15,-2.69,0.28,0.26,0.25,0.27,45.18,11.88,8.89,98.25,-8.52,-9.77,2.34,1.39,0.28,0.26,0.25,0.27,1.76,-0.02,NA
"1981-01-13",45.22,1.92,-9.04,99.17,-9.53,-11.28,0.04,-1.17,0.28,0.26,0.25,0.27,45.18,0,-25.59,98.35,-10.6,-12.39,-1.62,-3.05,0.28,0.26,0.25,0.27,45.28,14.1,4.53,99.66,-8.64,-10.54,2.25,1.02,0.28,0.26,0.25,0.27,0.1,0.02,NA
"1981-01-14",45.34,3.51,-30.2,99.63,-10.9,-12.54,-2.47,2.7,0.28,0.26,0.25,0.27,45.28,0,-54.76,99.3,-11.85,-13.88,-3.02,0.97,0.28,0.26,0.25,0.27,45.42,25.36,-8.59,99.79,-9.57,-11.17,-1.64,5.31,0.28,0.26,0.25,0.27,0.04,-0.11,NA
"1981-01-15",45.49,2.94,-23.11,98.24,-7.2,-8.69,-0.32,4.42,0.28,0.26,0.25,0.27,45.43,0,-48.63,97.68,-9.7,-11.17,-2.41,3.25,0.28,0.26,0.25,0.27,45.56,19.41,-0.13,99.12,-5.69,-7.06,0.58,6.04,0.28,0.26,0.25,0.27,0.04,-0.05,NA
"1981-01-16",45.63,4.36,-39.75,97.54,-6.67,-8.53,1,2.93,0.28,0.26,0.25,0.27,45.56,0,-46.28,97.38,-8.99,-10.04,-0.32,2.02,0.28,0.26,0.25,0.27,45.68,29.03,-28.13,97.68,-5.21,-7.24,1.92,3.99,0.28,0.26,0.25,0.27,0,-0.08,NA
"1981-01-17",45.73,4.04,-27.93,97.55,-10.89,-11.86,-2.11,1.14,0.28,0.26,0.25,0.27,45.69,0,-42.18,97.35,-13.75,-14.94,-2.82,0.08,0.28,0.26,0.25,0.27,45.78,25.02,-14.79,97.77,-7.41,-8.25,-0.21,1.83,0.28,0.26,0.25,0.27,0,-0.11,NA
"1981-01-18",45.82,3.33,-17.03,97.64,-13.9,-15.3,-2.24,0.81,0.28,0.26,0.25,0.27,45.78,0,-34.13,97.37,-15.42,-16.86,-2.59,-0.23,0.28,0.26,0.25,0.27,45.87,24.67,3.05,97.9,-12.44,-13.9,-1.68,2.08,0.28,0.26,0.25,0.27,0.04,-0.07,NA
"1981-01-19",45.94,3.88,-21.12,97.06,-6.57,-7.9,-0.68,3.3,0.28,0.26,0.25,0.27,45.88,0,-31.7,96.8,-10.61,-12.06,-1.94,2.39,0.28,0.26,0.25,0.27,46.02,24.72,0.2,97.53,-4.11,-4.72,0.79,3.71,0.28,0.26,0.25,0.27,0.01,-0.15,NA
"1981-01-20",46.06,5.73,-41.91,97.08,-2.26,-4.77,3.59,0.72,0.28,0.26,0.25,0.27,46.03,0,-76.07,96.52,-4.35,-7.34,0.18,-1.33,0.28,0.26,0.25,0.27,46.08,37.49,16.54,98.13,-0.71,-2.84,5.75,2.91,0.28,0.26,0.25,0.27,0,0.32,NA
"1981-01-21",46.1,4.83,-29.16,98.45,-6.97,-10.09,-0.32,1,0.28,0.26,0.25,0.27,46.06,0,-68.8,97.82,-9.83,-12.08,-4.29,-0.71,0.28,0.26,0.25,0.27,46.39,27.55,11.04,98.72,-3.23,-7.3,3.66,4.04,0.28,0.26,0.25,0.27,0.35,0.17,NA
"1981-01-22",46.55,6.26,-31.61,97.44,-5.56,-6.81,-2.2,2.35,0.28,0.26,0.25,0.27,46.45,0,-58.16,97.09,-7.36,-8.17,-3.79,1.23,0.28,0.26,0.25,0.27,46.67,38.96,5.18,97.67,-3,-4.98,-0.59,3.97,0.28,0.26,0.25,0.27,0.18,-0.06,NA
