"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",88.77,23.08,-26.14,95.9,-11.75,-14.76,0.53,-0.99,0.21,0.22,0.21,0.27,86.92,0,-74.45,95.63,-22.15,-26.3,-0.07,-4.05,0.21,0.22,0.21,0.27,89.67,125.31,0.03,96.29,-8.15,-10.42,1.14,2.2,0.22,0.22,0.21,0.27,3.11,2.52,NA
"1981-01-02",89.61,46.79,-79.63,96.57,-30.96,-35.23,1.04,-2.02,0.21,0.22,0.21,0.27,89.58,0,-84.83,96.37,-34.25,-38.04,0.17,-3.75,0.21,0.22,0.21,0.27,89.66,219.62,-72.82,96.76,-23.73,-27.77,1.72,-0.42,0.21,0.22,0.21,0.27,0.04,0.48,NA
"1981-01-03",89.59,41.73,-55.65,96.65,-34.98,-39.27,1.03,-2.15,0.21,0.22,0.21,0.27,89.58,0,-77.37,96.42,-36.34,-40.28,0.61,-2.52,0.21,0.22,0.21,0.27,89.6,202.79,-25.43,97.03,-32.87,-38.34,1.31,-1.69,0.21,0.22,0.21,0.27,0.04,0.26,NA
"1981-01-04",89.63,40.44,-45.26,97.36,-29.19,-32.92,1.26,-2.13,0.21,0.22,0.21,0.27,89.59,0,-60.77,96.94,-35.34,-38.89,0.82,-2.65,0.21,0.22,0.21,0.27,89.65,205.05,-8.59,97.65,-23.16,-27.49,1.79,-1.23,0.21,0.22,0.21,0.27,0.05,0.31,NA
"1981-01-05",90.29,18.98,-9.61,96.62,-21.08,-23.87,0.68,1.58,0.21,0.22,0.21,0.27,89.65,0,-48.44,95.51,-26.91,-29.81,-0.03,-1.14,0.21,0.22,0.21,0.27,91.88,102.38,15.93,97.56,-14.18,-15.86,1.74,3.6,0.21,0.22,0.21,0.27,2.19,0.27,NA
"1981-01-06",92.22,31.61,-36.94,95.22,-15.7,-18.88,1.28,-1.46,0.21,0.21,0.21,0.27,91.94,0,-71.65,94.9,-21.92,-25.96,0.83,-4.16,0.21,0.21,0.21,0.27,92.51,172.29,-9.74,95.49,-12.51,-15.56,1.87,1.18,0.21,0.22,0.21,0.27,0.76,1.61,NA
"1981-01-07",92.48,46.93,-71.35,95.99,-24.08,-27.61,1.17,-2.64,0.21,0.21,0.21,0.27,92.47,0,-79.48,95.54,-26.08,-28.96,0.86,-3.33,0.21,0.21,0.21,0.27,92.49,218.69,-49.46,96.49,-21.32,-25.92,1.48,-1.92,0.21,0.21,0.21,0.27,0.06,0.68,NA
"1981-01-08",92.49,40.01,-49.03,96.43,-23.79,-26.87,1.15,-0.2,0.21,0.21,0.21,0.27,92.47,0,-65.73,96.18,-28.17,-31.06,0.34,-2.09,0.21,0.21,0.21,0.27,92.61,195.83,-23.05,96.61,-19.17,-22.66,1.95,1.52,0.21,0.21,0.21,0.27,0.14,0.3,NA
"1981-01-09",92.81,46.13,-63.55,96.45,-22.78,-26.19,1.17,-1.82,0.21,0.21,0.21,0.27,92.65,0,-79.97,95.92,-27.81,-31,0.82,-2.72,0.21,0.21,0.21,0.27,92.85,219.28,-20.37,97.13,-19.65,-21.91,1.46,1.39,0.21,0.21,0.21,0.27,0.27,0.67,NA
"1981-01-10",92.8,46.03,-67.01,97.43,-28.35,-31.94,1.11,-1.27,0.21,0.21,0.21,0.27,92.79,0,-74.99,97.15,-31.65,-34.78,0.22,-2.11,0.21,0.21,0.21,0.27,92.81,218.19,-49.76,97.67,-24.44,-28.93,1.76,-0.25,0.21,0.21,0.21,0.27,0.03,0.3,NA
"1981-01-11",92.83,41.86,-58.15,97.29,-27.71,-31.17,1.01,-1.54,0.21,0.21,0.21,0.27,92.8,0,-72.59,96.83,-31.26,-34.41,0.25,-2.16,0.21,0.21,0.21,0.27,92.85,193,-25.64,97.67,-23.05,-27.22,1.6,-0.63,0.21,0.21,0.21,0.27,0.05,0.25,NA
"1981-01-12",92.88,45.7,-41.16,96.18,-22.64,-25.3,0.2,1.26,0.21,0.21,0.2,0.27,92.85,0,-65.37,95.92,-27.77,-30.16,-0.57,-0.47,0.21,0.21,0.2,0.27,93.01,220.99,1.05,96.74,-16.93,-20.1,1.56,1.9,0.21,0.21,0.21,0.27,0.12,0.25,NA
"1981-01-13",93.16,35.19,-21.6,95.9,-14.32,-16.74,-0.31,-0.23,0.21,0.21,0.2,0.27,93.03,0,-59.11,95.79,-18.42,-20.52,-0.81,-1.27,0.21,0.21,0.2,0.27,93.23,185.83,10.81,95.96,-9.66,-13.63,0.87,1.2,0.21,0.21,0.2,0.27,0.22,0.78,NA
"1981-01-14",93.62,28.1,-26.15,95.98,-13.09,-15.13,-0.72,0.26,0.21,0.21,0.2,0.27,93.23,0,-60.22,95.77,-17.6,-19.32,-1.55,-1.02,0.21,0.21,0.2,0.27,94.92,141.28,-6.72,96.27,-9.15,-11.88,0.15,1.37,0.21,0.21,0.2,0.27,1.68,0.53,NA
"1981-01-15",96.06,36.35,-26.64,96.66,-13.37,-16.11,-1.88,-1.94,0.21,0.21,0.2,0.27,95.07,0,-44.24,96.17,-18.49,-21.11,-2.53,-2.71,0.21,0.21,0.2,0.27,96.36,185.98,-5.06,97.19,-10.13,-11.48,-1.49,-0.35,0.21,0.21,0.2,0.27,1.63,1.8,NA
"1981-01-16",96.3,53.07,-66.55,97.31,-20.16,-23.3,-0.02,-1.7,0.21,0.21,0.2,0.27,96.27,0,-82.76,97.18,-23.55,-26.24,-1.53,-2.57,0.21,0.21,0.2,0.27,96.34,236.43,-36.63,97.45,-16.18,-20.56,1.72,-0.24,0.21,0.21,0.2,0.27,0.01,0.69,NA
"1981-01-17",96.3,43.36,-43.17,96.44,-17.27,-19.48,1.54,1.15,0.21,0.21,0.2,0.27,96.27,0,-58.03,95.92,-21.16,-23.23,0.9,-1.21,0.21,0.21,0.2,0.27,96.35,193.42,-29.39,97.16,-13.01,-14.77,1.9,2.15,0.21,0.21,0.2,0.27,0.03,0.31,NA
"1981-01-18",96.36,52.4,-58.64,96.07,-8.07,-9.98,1.33,-1.3,0.21,0.21,0.2,0.27,96.34,0,-85.1,95.87,-12.42,-14.15,0.93,-2.32,0.21,0.21,0.2,0.26,96.38,233.18,-33.98,96.23,-2.48,-6.39,1.9,-0.4,0.21,0.21,0.2,0.27,0,1.23,NA
"1981-01-19",96.31,53.52,-66.21,95.85,-8.05,-11.4,0.05,-1.16,0.21,0.21,0.2,0.26,96.27,0,-97.87,95.67,-12.18,-15.2,-2.69,-2.2,0.21,0.21,0.2,0.26,96.33,243.24,-33.48,96.24,-1.1,-7.81,1.86,-0.27,0.21,0.21,0.2,0.26,0.01,2.33,NA
