"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",503.66,36.37,-71.22,85.2,-3.45,-5.96,-0.42,-0.89,0.38,0.39,0.4,0.4,503.64,0,-99.27,85.03,-6.68,-8.21,-0.56,-1.03,0.38,0.39,0.39,0.4,503.67,179.06,-43.27,85.45,0.59,-3.44,-0.24,-0.71,0.38,0.39,0.4,0.4,0,0.85,NA
"1981-01-02",503.65,37.41,-66.34,85,-3.45,-8.91,-0.16,-0.81,0.38,0.39,0.39,0.4,503.65,0,-91.34,84.96,-6.07,-11.15,-0.31,-0.95,0.38,0.39,0.39,0.4,503.66,181.5,-51.38,85.09,0.01,-5.63,-0.03,-0.54,0.38,0.39,0.39,0.4,0,0.77,NA
"1981-01-03",503.68,37.13,-57.35,85,-5.28,-8.89,-0.16,-0.84,0.38,0.38,0.39,0.4,503.66,0,-83.72,84.87,-7.9,-11.16,-0.25,-1.09,0.37,0.38,0.39,0.4,503.71,180.42,-46.8,85.21,-1.57,-5.69,0.05,-0.57,0.38,0.39,0.39,0.4,0,0.58,NA
"1981-01-04",503.73,27.9,-32.39,85.41,-4.99,-8.03,0.08,-0.65,0.37,0.38,0.39,0.4,503.71,0,-53.23,85.24,-8.26,-9.69,-0.17,-1.04,0.37,0.38,0.39,0.4,503.77,138.92,-6.08,85.53,-1.62,-5.76,0.25,-0.2,0.37,0.38,0.39,0.4,0,0.53,NA
"1981-01-05",503.79,31.63,-35.08,85.3,-6.76,-8.86,-0.18,-0.81,0.37,0.38,0.39,0.4,503.76,0,-65.49,85.01,-11.3,-12.47,-0.26,-0.98,0.37,0.38,0.39,0.4,503.82,158.1,-10.82,85.57,-2.08,-5.27,-0.02,-0.55,0.37,0.38,0.39,0.4,0.01,0.49,NA
"1981-01-06",504.83,13.36,-7.36,84.9,-3.53,-5.4,0.06,-0.11,0.37,0.38,0.39,0.4,503.82,0,-26.77,84.77,-5.68,-8.22,-0.18,-0.78,0.37,0.38,0.39,0.4,505.49,73.15,12.88,85,-2.3,-3.38,0.44,0.58,0.37,0.38,0.39,0.4,1.6,0.12,NA
"1981-01-07",505.5,25.95,-43.4,84.63,-5.54,-8.55,-0.2,-0.6,0.37,0.37,0.39,0.4,505.49,0,-72.95,84.46,-8.81,-10.53,-0.33,-0.96,0.37,0.37,0.39,0.4,505.51,119.44,-14.91,84.94,-2.22,-6.41,0.03,-0.09,0.37,0.38,0.39,0.4,0.01,0.41,NA
"1981-01-08",505.85,19.54,-27.39,84.47,-5.99,-9.31,-0.39,-0.44,0.37,0.37,0.39,0.4,505.51,0,-60.38,84.38,-9.14,-12.15,-0.66,-0.93,0.36,0.37,0.39,0.4,508.08,87.83,15.24,84.67,-4.16,-6.28,-0.02,0.68,0.37,0.37,0.39,0.4,2.56,0.31,NA
"1981-01-09",511.48,21.46,-10.88,85.05,-4.2,-5.1,-0.16,0.34,0.36,0.37,0.39,0.4,508.32,0,-49.36,84.69,-6.03,-6.57,-0.45,-0.39,0.36,0.37,0.39,0.4,513.49,114.05,2.74,85.31,-3.21,-3.92,0.25,0.88,0.36,0.37,0.39,0.4,5.35,0.37,NA
"1981-01-10",513.55,31.64,-50.58,85.24,-4.36,-6.6,-0.47,-0.67,0.36,0.37,0.39,0.4,513.49,0,-89.72,85.15,-7.22,-9.84,-0.62,-0.94,0.36,0.37,0.39,0.4,513.58,163.04,-6.69,85.3,-0.83,-4.96,-0.09,-0.41,0.36,0.37,0.39,0.4,0.06,0.73,NA
"1981-01-11",513.59,38.4,-54.15,85.16,-5.51,-9.52,-0.47,-0.84,0.36,0.37,0.39,0.4,513.58,0,-81.54,85.03,-9.13,-12.21,-0.61,-1.08,0.36,0.37,0.38,0.4,513.61,182.12,-17.9,85.25,-1.13,-6.12,-0.2,-0.55,0.36,0.37,0.39,0.4,0,0.83,NA
"1981-01-12",513.63,33.86,-41.54,85.18,-3.28,-8.61,-0.07,-0.7,0.36,0.37,0.38,0.4,513.62,0,-76.76,85.04,-6.37,-11.07,-0.21,-0.98,0.36,0.37,0.38,0.4,513.66,166.08,-0.29,85.39,0.66,-5.12,0.12,-0.4,0.36,0.37,0.38,0.4,0,0.75,NA
"1981-01-13",513.68,37.67,-47.97,85.4,-4.02,-8.32,-0.06,-0.83,0.36,0.36,0.38,0.4,513.66,0,-77.25,85.33,-7.38,-10.16,-0.36,-1.05,0.36,0.36,0.38,0.4,513.71,172.32,-24.23,85.47,-0.34,-5.47,0.15,-0.51,0.36,0.37,0.38,0.4,0,0.83,NA
"1981-01-14",513.72,41.19,-60.23,85.11,-7.33,-10.65,-0.42,-1.11,0.36,0.36,0.38,0.4,513.71,0,-87.21,84.92,-11.15,-13.14,-0.63,-1.28,0.36,0.36,0.38,0.4,513.74,195.94,-43.24,85.33,-3.07,-7.2,-0.24,-0.91,0.36,0.36,0.38,0.4,0,1.04,NA
"1981-01-15",513.76,43.59,-62.81,84.71,-8.06,-12.17,-0.56,-1.02,0.36,0.36,0.38,0.4,513.75,0,-89.31,84.56,-10.25,-14.11,-0.75,-1.17,0.36,0.36,0.38,0.4,513.77,198.99,-51.66,84.91,-4.03,-8.55,-0.44,-0.73,0.36,0.36,0.38,0.4,0,1.16,NA
