"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",31.27,15.03,-36.21,96.22,-11.52,-13.09,-0.39,0.32,0.37,0.32,0.3,0.27,31.18,0,-49.57,95.33,-16.84,-19,-2.12,-1.81,0.37,0.32,0.3,0.27,31.32,78.68,-20.56,96.78,-8.21,-9.59,2.03,2.42,0.37,0.32,0.3,0.27,0.11,-0.02,NA
"1981-01-02",31.53,12.4,-21.23,96.21,-16.01,-18.67,-1.39,-0.13,0.36,0.32,0.3,0.27,31.35,0,-56.65,95.39,-19.17,-21.33,-2.12,-2.63,0.36,0.32,0.3,0.27,31.78,65.71,4.3,96.57,-13.03,-14.58,0.62,2.43,0.37,0.32,0.3,0.27,0.55,0.15,NA
"1981-01-03",31.85,17,-33.2,95.72,-14.8,-17.47,-0.73,1.83,0.36,0.32,0.3,0.27,31.78,0,-61.03,95.48,-17.29,-20.12,-1.58,0.6,0.36,0.32,0.3,0.27,31.87,92.3,-0.66,96.13,-10.41,-13.62,0.1,2.51,0.36,0.32,0.3,0.27,0.11,0.1,NA
"1981-01-04",31.86,11.53,-27.82,95.31,-8.93,-11.17,1.63,1.17,0.36,0.32,0.3,0.27,31.84,0,-62.65,95.05,-16.42,-18.67,-0.19,-0.4,0.36,0.32,0.3,0.27,31.9,56.82,-1.84,95.67,-1.54,-3.07,3,2.51,0.36,0.32,0.3,0.27,0.01,0.03,NA
"1981-01-05",32.59,8.43,-27.03,95.45,-2.94,-4.3,1.79,-1.28,0.36,0.32,0.3,0.27,31.91,0,-62.05,95.16,-6.18,-7.87,-0.55,-2.75,0.36,0.32,0.3,0.27,33.1,47.52,2.35,96.07,0.19,-1.63,2.8,0.37,0.36,0.32,0.3,0.27,1.23,0.16,NA
"1981-01-06",33.38,14.86,-24.94,95.84,-11.48,-13.79,-1.7,0.86,0.36,0.32,0.3,0.27,33.12,0,-48.14,94.87,-13.71,-15.45,-2.39,-1.84,0.35,0.32,0.3,0.27,35.11,78.1,1.01,96.33,-7.6,-9.14,-0.7,2.28,0.36,0.32,0.3,0.27,2.12,0.25,NA
"1981-01-07",38.21,14.74,-22.08,95.22,-11.3,-13.4,0.56,-0.07,0.35,0.32,0.3,0.27,35.58,0,-59.22,94.86,-14.24,-16.46,-1.4,-1.69,0.35,0.32,0.3,0.27,38.81,79.5,1.28,95.59,-7.66,-9.84,1.96,1.5,0.35,0.32,0.3,0.27,3.72,0.08,NA
"1981-01-08",39.24,12.32,-30.48,96.14,-15.23,-17.51,-1.5,-0.99,0.35,0.32,0.3,0.27,38.83,0,-58.79,95.52,-21.65,-23.97,-2.06,-1.85,0.35,0.32,0.3,0.27,39.4,65.8,1.23,96.89,-10.61,-12.16,-0.69,0.04,0.35,0.32,0.3,0.27,0.62,0.1,NA
"1981-01-09",39.59,14.41,-23.76,96.52,-20.4,-23.52,-1.31,1.59,0.35,0.32,0.3,0.27,39.4,0,-59.96,96.15,-26.15,-28.61,-2.11,0.69,0.35,0.32,0.3,0.27,40.52,80.88,14.61,96.84,-14.47,-17.35,-0.32,2.1,0.35,0.32,0.3,0.27,1.15,0.1,NA
"1981-01-10",41,13.43,-25.38,96.41,-13.19,-15.36,0.4,1.76,0.35,0.32,0.3,0.27,40.7,0,-50.7,96.15,-17.99,-20.43,-0.93,1.18,0.35,0.32,0.3,0.27,41.06,69.01,6.34,96.58,-8.98,-10.8,1.38,2.21,0.35,0.32,0.3,0.27,0.51,0.01,NA
"1981-01-11",41.1,17.89,-43.06,96.18,-9.39,-11.63,1.77,1.51,0.35,0.32,0.3,0.27,41.06,0,-59.19,95.83,-11.2,-13.02,1.24,0.95,0.35,0.32,0.3,0.27,41.12,93.35,-24.67,96.44,-5.87,-9.07,2.1,2.13,0.35,0.32,0.3,0.27,0,0.04,NA
"1981-01-12",41.24,12.34,-34.81,95.46,-9.3,-12.18,2.15,0.79,0.34,0.32,0.3,0.27,41.12,0,-63.53,95.25,-13.93,-16.51,1.49,0.11,0.34,0.32,0.3,0.27,41.42,62.68,-3.01,95.73,-4.8,-8.07,3.04,1.63,0.35,0.32,0.3,0.27,0.29,0.11,NA
"1981-01-13",41.5,19.91,-55.63,95.9,-5.91,-7.94,2.55,0.17,0.34,0.32,0.3,0.27,41.43,0,-75.12,95.53,-8.96,-10.44,1.96,-0.19,0.34,0.32,0.3,0.27,41.55,101.42,-18.9,96.12,-2.47,-5.62,3.22,0.74,0.34,0.32,0.3,0.27,0,-0.02,NA
"1981-01-14",41.57,14.29,-20.1,96.29,-6.72,-8.39,-0.27,-0.02,0.34,0.32,0.3,0.27,41.55,0,-57.81,96.06,-9.3,-10.76,-1.95,-0.76,0.34,0.32,0.3,0.27,41.62,75.18,3.87,96.57,-3.17,-5.7,1.96,0.53,0.34,0.32,0.3,0.27,0.06,0.09,NA
"1981-01-15",41.71,13.4,-14.51,96.77,-5.97,-7.41,0.16,1.78,0.34,0.32,0.3,0.27,41.65,0,-37.31,96.56,-7.08,-8.37,-1.24,-0.66,0.34,0.32,0.3,0.27,41.74,73.85,0.42,96.94,-4.05,-6.47,1.36,3.42,0.34,0.32,0.3,0.27,0.16,0.22,NA
"1981-01-16",41.73,21.86,-65.63,96.09,-6.75,-9.47,1.94,2.96,0.34,0.32,0.3,0.27,41.71,0,-84.38,95.84,-8.33,-10.61,1.42,2.47,0.34,0.32,0.3,0.27,41.76,108.83,-22.89,96.53,-4.44,-8.03,2.47,3.61,0.34,0.32,0.3,0.27,0.01,0.28,NA
"1981-01-17",41.73,23.25,-70.97,95.4,-6.87,-10.87,0.97,2.98,0.34,0.32,0.3,0.27,41.69,0,-90.15,94.72,-8.79,-12.56,-0.31,2.5,0.34,0.32,0.3,0.27,41.76,115.08,-60.88,95.82,-3.83,-8.65,2.06,3.62,0.34,0.32,0.3,0.27,0,0.43,NA
"1981-01-18",41.74,23.47,-68.68,95.04,-6.87,-10.17,2.89,0.58,0.34,0.32,0.3,0.27,41.71,0,-81.2,94.72,-10.74,-14.14,2.32,-0.24,0.34,0.32,0.3,0.27,41.76,115.91,-49.81,95.33,-1.94,-6.07,3.59,2.65,0.34,0.32,0.3,0.27,0,0.27,NA
"1981-01-19",41.78,23.24,-43.69,95.36,-7.8,-9.79,1.28,1.76,0.34,0.32,0.3,0.27,41.75,0,-66.27,95.16,-13.33,-14.4,0.55,0.53,0.34,0.32,0.3,0.27,41.81,116.36,-21.59,95.5,-2.46,-5.34,2.23,2.78,0.34,0.32,0.3,0.27,0,0.07,NA
"1981-01-20",41.81,23.76,-52.64,95.26,-2.23,-4.86,1.99,1.29,0.34,0.32,0.3,0.27,41.78,0,-66.78,95.02,-4.54,-7.56,1.35,-0.25,0.33,0.32,0.3,0.27,41.83,116.13,-42.48,95.68,1.86,-1.52,2.58,2.88,0.34,0.32,0.3,0.27,0,0.32,NA
