"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",0.27,52.32,-38.22,98.71,1.85,-2.33,1.94,-2.29,0.4,0.4,0.36,0.4,0.15,0,-85.53,98.31,-0.04,-5.21,0.66,-3.99,0.4,0.4,0.36,0.4,0.36,223.58,-15.93,99.28,4.76,-0.57,3.39,-1.13,0.4,0.4,0.36,0.4,0.44,12.27,NA
"1981-01-02",0.31,108.35,-90.92,99.04,0.69,-6.08,1.21,0.57,0.4,0.4,0.36,0.4,0.29,0,-112.26,98.5,-2.63,-6.91,0.57,-2.13,0.39,0.39,0.36,0.4,0.32,443.41,-68.18,99.36,5.6,-4.69,1.74,2.91,0.4,0.4,0.36,0.4,0,12.79,NA
"1981-01-03",0.27,105.37,-84.49,98.6,0.59,-6.54,0.8,-1.43,0.39,0.39,0.36,0.4,0.25,0,-101.61,98.17,-4.65,-17.7,-0.39,-3.63,0.39,0.39,0.36,0.4,0.29,435.02,-66.98,99.19,5.01,-1.75,2.18,2.15,0.39,0.39,0.36,0.4,0,15.29,NA
"1981-01-04",0.25,109.77,-86.95,99.68,-7.12,-24.01,-1.04,-1.94,0.39,0.39,0.36,0.4,0.24,0,-94.88,99.2,-9.75,-26.23,-1.89,-2.83,0.39,0.39,0.36,0.4,0.25,447.19,-78.61,100,-4.52,-18.84,-0.19,-0.27,0.39,0.39,0.36,0.4,0,18.58,NA
"1981-01-05",0.24,89.13,-55.97,99.43,-5.85,-21.14,-0.52,1.65,0.39,0.39,0.36,0.4,0.23,0,-81.49,98.74,-10.08,-25.63,-1.6,0.03,0.39,0.39,0.36,0.4,0.24,389.5,-26.59,99.93,-1.46,-15.7,0.91,2.61,0.39,0.39,0.36,0.4,0,16.21,NA
"1981-01-06",1.04,28.31,-17.85,98.11,-0.07,-5.64,1.82,0.7,0.4,0.39,0.36,0.4,0.22,0,-48.32,97.69,-3.11,-15.64,1.01,-3.03,0.39,0.39,0.36,0.4,1.6,131.87,6.67,98.7,3.3,-0.22,2.83,2.95,0.41,0.39,0.36,0.4,3.08,8.84,NA
"1981-01-07",1.5,108.95,-83.58,98.57,-2.41,-14.64,0.59,-1.34,0.4,0.39,0.36,0.4,1.46,0,-109.54,98.19,-4.54,-18.45,-1.55,-3.06,0.4,0.39,0.36,0.4,1.54,452.95,-29.27,98.85,0.6,-3.74,2.32,1.64,0.4,0.39,0.36,0.4,0,17.31,NA
"1981-01-08",1.39,98.29,-70.31,98.53,-1.85,-9.17,0.27,-0.13,0.4,0.39,0.36,0.4,1.33,0,-93.34,98.32,-5.11,-15.39,-0.58,-2.2,0.4,0.39,0.36,0.4,1.46,424.4,-37.23,98.83,4.41,-4.88,1.4,2.34,0.4,0.39,0.36,0.4,0,10.6,NA
"1981-01-09",1.29,106.66,-75.65,99.08,-2.96,-10.07,0.33,-1.45,0.4,0.39,0.37,0.4,1.25,0,-99.15,98.73,-6.13,-10.79,-0.43,-2.81,0.4,0.39,0.37,0.4,1.33,442.09,-38.25,99.67,2.16,-8.96,1.35,-0.55,0.4,0.39,0.37,0.4,0,10.26,NA
"1981-01-10",1.23,115.29,-90.81,99.9,-5.56,-16.66,-0.4,-0.91,0.4,0.39,0.37,0.4,1.2,0,-110.13,99.72,-9.43,-19.45,-1.02,-2.86,0.4,0.39,0.37,0.4,1.25,465.57,-43.73,100.2,-1.52,-11.5,0.08,1.19,0.4,0.39,0.37,0.4,0,11.46,NA
