"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",32.65,12.11,-29.35,94.63,-9.47,-10.82,0.14,0.88,0.36,0.27,0.22,0.25,32.57,0,-54.52,93.66,-12.25,-13.77,-1.71,-1.83,0.35,0.27,0.22,0.25,32.7,64.85,-3.08,95.09,-7.9,-9.19,3.04,4.4,0.36,0.27,0.22,0.25,0.07,-0.07,NA
"1981-01-02",32.79,13.07,-24.17,94.5,-17.63,-20.16,-2.52,-0.42,0.35,0.27,0.22,0.25,32.71,0,-60.63,93.58,-21.01,-23.92,-3.53,-3.23,0.35,0.27,0.22,0.25,32.84,65.01,10.64,94.86,-11.8,-12.89,1.86,2.31,0.35,0.27,0.22,0.25,0.2,0.07,NA
"1981-01-03",32.86,16.38,-33.94,94.19,-16.88,-19.51,-2.35,1.78,0.35,0.27,0.22,0.25,32.84,0,-59.33,93.91,-21.28,-24.15,-3.09,0.59,0.35,0.27,0.22,0.25,32.88,86.11,-3.05,94.65,-12.65,-15.51,-1.75,2.81,0.35,0.27,0.22,0.25,0.04,0.01,NA
"1981-01-04",32.91,14.86,-34.21,93.83,-12.17,-14.44,1.13,0.53,0.34,0.27,0.22,0.25,32.88,0,-52,93.56,-18.77,-20.85,-2.23,-1.91,0.34,0.27,0.22,0.25,32.99,81.89,-17.89,94.12,-4.77,-6.23,4.08,2.41,0.35,0.27,0.22,0.25,0.03,-0.07,NA
"1981-01-05",33.85,9.2,-25.72,93.81,-3.25,-4.45,2.73,-2.8,0.34,0.27,0.22,0.25,33.01,0,-55.39,93.61,-6.08,-7.13,0.1,-4.24,0.34,0.27,0.22,0.25,34.46,49.8,-4.07,94.3,-0.77,-2.15,3.69,-0.79,0.34,0.27,0.22,0.25,1.44,-0.02,NA
"1981-01-06",34.65,13.61,-23.68,94.24,-12.39,-14.47,-2.78,0.77,0.34,0.27,0.22,0.25,34.46,0,-46.32,93.29,-15.26,-17.65,-4.19,-3.76,0.34,0.27,0.22,0.25,36.33,69.28,5.84,94.65,-6.1,-7.89,-0.53,3.51,0.34,0.27,0.22,0.25,1.97,0.13,NA
"1981-01-07",39.33,11.79,-15.79,93.6,-13.21,-15.15,0,-0.19,0.34,0.27,0.22,0.25,36.75,0,-63.08,93.29,-16.19,-18.8,-3.76,-2.03,0.34,0.27,0.22,0.25,39.92,64.34,6.74,93.93,-10.08,-11.56,2.56,1.99,0.34,0.27,0.22,0.25,3.61,0.02,NA
"1981-01-08",40.59,8.75,-24.83,94.36,-13.89,-15.99,-1.98,-1.58,0.34,0.27,0.22,0.25,39.94,0,-64.05,93.83,-22.25,-24.58,-3.35,-2.97,0.33,0.27,0.22,0.25,41.01,44.31,2.35,95.12,-10.04,-11.64,0.63,0.09,0.34,0.27,0.22,0.25,1.13,0.05,NA
"1981-01-09",41.12,12.11,-24.8,94.92,-22.85,-25.6,-3.1,2.09,0.33,0.27,0.22,0.25,41.01,0,-62.17,94.57,-27.99,-30.41,-3.99,0.76,0.33,0.27,0.22,0.25,41.65,67.3,24.08,95.14,-16.64,-19.3,-2.23,2.88,0.33,0.27,0.22,0.25,0.64,0.01,NA
"1981-01-10",42.27,10.83,-20.03,94.87,-15.49,-17.5,-0.71,1.57,0.33,0.27,0.22,0.25,41.74,0,-44.17,94.53,-19.2,-21.47,-2.88,0.95,0.33,0.27,0.22,0.25,42.36,52.2,5.74,95.08,-12.24,-14.07,1,2.37,0.33,0.27,0.22,0.25,0.72,0,NA
"1981-01-11",42.38,13.23,-24.9,94.67,-12.34,-14.08,1.5,0.07,0.33,0.27,0.22,0.25,42.37,0,-54.31,94.24,-15.63,-17.18,0.27,-1.68,0.33,0.27,0.22,0.25,42.4,64.83,-4.11,94.93,-9.24,-11.07,2.6,1.55,0.33,0.27,0.22,0.25,0.01,-0.02,NA
"1981-01-12",42.41,12.1,-26.85,93.9,-9.73,-13.24,2.25,-1.49,0.33,0.27,0.22,0.25,42.4,0,-56.92,93.66,-13.65,-16.22,0.94,-2.49,0.33,0.27,0.22,0.25,42.43,63.33,0.22,94.17,-6.46,-9.65,3.68,0.05,0.33,0.27,0.22,0.25,0,0.01,NA
"1981-01-13",42.52,16.06,-47.83,94.32,-8.68,-10.53,3.11,-2.06,0.33,0.27,0.22,0.25,42.44,0,-66.8,93.95,-11.28,-12.59,1.59,-3,0.32,0.27,0.22,0.25,42.57,79.9,-30.47,94.57,-5.26,-7.38,4.36,-1.26,0.33,0.27,0.22,0.25,0,-0.12,NA
"1981-01-14",42.61,10.72,-7.53,94.63,-7.14,-8.2,-0.36,-1.16,0.32,0.27,0.22,0.25,42.57,0,-30.15,94.41,-11.73,-12.92,-1.62,-2.49,0.32,0.27,0.22,0.25,42.7,58.55,9.44,94.87,-4.24,-5.22,1.28,-0.37,0.32,0.27,0.22,0.25,0.11,-0.01,NA
"1981-01-15",42.83,10.78,-12.75,95.23,-7.44,-8.29,-0.94,1.83,0.32,0.27,0.22,0.25,42.73,0,-26.89,94.91,-8.84,-9.78,-2.29,-0.5,0.32,0.27,0.22,0.25,42.88,51.28,-3.19,95.43,-5.8,-6.6,1.22,4.53,0.32,0.27,0.22,0.25,0.2,0.03,NA
"1981-01-16",42.95,18.29,-52.56,94.72,-10.51,-12.75,2.28,2.76,0.32,0.27,0.22,0.25,42.89,0,-72.88,94.48,-13.57,-15.43,1.11,1.8,0.32,0.27,0.22,0.25,42.98,89.29,-9.75,95.14,-7.92,-9.97,3.19,3.6,0.32,0.27,0.22,0.25,0.02,-0.06,NA
"1981-01-17",43.01,19.32,-46.03,94.04,-10.18,-13.7,0.37,2.92,0.32,0.27,0.22,0.25,42.99,0,-68.97,93.45,-13.01,-16.71,-1.77,1.25,0.32,0.27,0.22,0.25,43.06,93.75,-32.95,94.43,-7.38,-10.46,2.65,4.92,0.32,0.27,0.22,0.25,0,-0.02,NA
"1981-01-18",43.11,19.75,-52.38,93.56,-9.51,-11.96,3.66,-0.35,0.32,0.27,0.22,0.25,43.06,0,-66.39,93.37,-14.74,-17.51,1.6,-2.51,0.32,0.27,0.22,0.25,43.17,95.01,-40.88,93.75,-5.07,-7.94,4.87,3.76,0.32,0.27,0.22,0.25,0,-0.07,NA
"1981-01-19",43.21,20.38,-40.31,93.87,-9.17,-11.22,0.19,-0.18,0.32,0.27,0.22,0.25,43.18,0,-61.22,93.77,-11.67,-13.13,-0.92,-2.96,0.31,0.27,0.22,0.25,43.23,98.1,-23.86,93.95,-4.83,-8.24,1.72,2.7,0.32,0.27,0.22,0.25,0,-0.05,NA
"1981-01-20",43.25,20.38,-32.14,93.78,-5.91,-8.29,1.11,0.27,0.31,0.27,0.22,0.25,43.23,0,-54.1,93.62,-10.47,-12.17,-0.06,-2.9,0.31,0.27,0.22,0.25,43.28,97.9,-21.2,94.08,-1.57,-4,2.79,2.71,0.31,0.27,0.22,0.25,0,-0.02,NA
