"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",73.93,50.93,-64.14,100.53,-16.82,-20.42,0.76,0.42,0.4,0.4,0.4,0.41,73.91,0,-82.25,100.19,-21.14,-23.56,-0.97,-0.31,0.4,0.4,0.4,0.41,73.96,236.66,-26.95,100.75,-10.9,-16.98,2.24,0.92,0.4,0.41,0.4,0.41,0,1.19,0.74
"1981-01-02",74.81,46.7,-28.67,99.71,-14.4,-17.36,-0.93,-0.13,0.39,0.4,0.4,0.41,73.89,0,-71.27,98.22,-21.66,-23.94,-2,-2.04,0.39,0.4,0.4,0.41,82.77,237.02,0.78,100.46,-8.39,-9.59,1.38,1.2,0.4,0.4,0.4,0.41,8.89,1.47,0.66
"1981-01-03",87.79,54.8,-65.36,99.06,-18.13,-23.2,4.3,1.19,0.39,0.39,0.4,0.41,84.97,0,-98.2,98.08,-25.21,-30.82,2.18,-1.49,0.39,0.39,0.4,0.41,88.15,251.86,-0.94,100.04,-8.25,-9.47,5.15,2.16,0.39,0.4,0.4,0.41,5.46,3.99,0.62
"1981-01-04",87.8,56.63,-79.5,99.86,-27.52,-32.26,2.06,0.77,0.39,0.39,0.39,0.41,87.76,0,-87.54,99.65,-30.57,-34.16,1.67,0.34,0.39,0.39,0.39,0.41,87.85,259.84,-67.41,100.05,-23.97,-30.27,2.98,1.7,0.39,0.39,0.4,0.41,0,0.89,0.58
"1981-01-05",87.79,53.63,-60.47,99.77,-23.67,-27.51,2.19,0.88,0.38,0.39,0.39,0.41,87.76,0,-79.25,99.46,-32.3,-35.62,1.71,0.5,0.38,0.39,0.39,0.41,87.83,244.61,-14.96,100.26,-15.51,-19.07,2.56,1.17,0.39,0.39,0.39,0.41,0.04,0.64,0.56
"1981-01-06",87.82,54.24,-66.22,100.65,-15.66,-18.74,1.4,1.09,0.38,0.39,0.39,0.41,87.8,0,-81.71,100.32,-19.86,-22.16,0.08,0.6,0.38,0.39,0.39,0.41,87.84,246.7,-54.46,100.8,-11.17,-15.65,2.29,1.86,0.38,0.39,0.39,0.41,0.01,1.3,0.54
"1981-01-07",88.97,16.33,-11.69,99.56,-1.62,-3.88,-1.59,3.67,0.4,0.39,0.39,0.41,86.08,0,-39.2,98.02,-12.85,-14.65,-2.42,1.71,0.38,0.38,0.39,0.41,92.2,84.92,-1.56,100.71,6.32,3.52,0.66,6.31,0.43,0.43,0.4,0.41,23.32,6.42,1.07
"1981-01-08",94.28,50.87,-59.41,98.6,-7.5,-10.67,3.05,1.76,0.42,0.42,0.4,0.41,88.06,0,-99.09,97.57,-16.43,-20.11,1.27,1.01,0.41,0.41,0.4,0.41,95.07,244.78,-5.4,100.04,2.11,1.63,3.86,2.82,0.43,0.43,0.41,0.41,12.56,5.48,0.97
"1981-01-09",94.49,56.08,-67.07,101.17,-17.37,-21.21,1.39,1.17,0.4,0.41,0.41,0.41,94.44,0,-86.01,100.15,-21.25,-23.89,-1.4,0.78,0.4,0.41,0.41,0.41,94.56,259.09,-20.12,101.72,-14.13,-17.21,3.02,1.52,0.41,0.41,0.41,0.41,0.04,1.61,0.89
"1981-01-10",98.92,16.71,-7.74,100.54,-8.56,-10.34,-2.31,-1,0.4,0.4,0.41,0.41,94.49,0,-24.5,97.78,-14.5,-16.66,-3.67,-4.27,0.4,0.4,0.41,0.41,114.93,72.99,6.45,101.65,-2.74,-3.7,-1.44,0.79,0.4,0.41,0.41,0.41,20.34,0.74,0.82
"1981-01-11",126.85,45.19,-50.17,98.34,-9.9,-13.5,3.21,1.4,0.39,0.4,0.41,0.41,118.12,0,-91.53,96.7,-17.87,-21.85,-1.43,-4.43,0.39,0.4,0.41,0.41,128.26,197.99,-3.99,100.13,-2.75,-3.71,4.88,3.92,0.4,0.4,0.41,0.41,13.82,6.24,0.76
"1981-01-12",127.99,60.6,-74.13,101.1,-19.73,-24.39,1.15,0.68,0.39,0.4,0.41,0.41,127.94,0,-92.65,100.24,-23.2,-26.82,-0.74,-1.93,0.39,0.4,0.4,0.41,128.08,269.04,-7.97,101.52,-16.3,-22.38,2.57,2.21,0.39,0.4,0.41,0.41,0,1.54,0.71
"1981-01-13",135.79,6.24,-2.55,99.71,-15.05,-18.04,-0.09,-3.66,0.39,0.39,0.4,0.41,127.94,0,-52.23,98.53,-20.51,-23.88,-1.56,-5.45,0.39,0.39,0.4,0.41,145.73,27.53,13.62,101.28,-11.54,-14.26,3.48,-0.46,0.39,0.39,0.4,0.41,17.76,1.51,0.66
"1981-01-14",146.23,56.19,-61.49,100.02,-12.96,-16.66,2.58,1.28,0.39,0.39,0.4,0.41,145.91,0,-87.54,98.95,-15.8,-18.28,1.88,0.12,0.38,0.39,0.4,0.41,146.29,246.38,-7.79,100.76,-9.32,-14.85,3.6,1.99,0.39,0.39,0.4,0.41,0.63,3.19,0.62
"1981-01-15",146.09,60.97,-72.29,101.12,-14.54,-18.89,1.26,0.63,0.38,0.39,0.4,0.41,146.02,0,-90.74,100.77,-17.85,-20.92,-0.34,-0.52,0.38,0.39,0.4,0.41,146.17,268.48,-37.87,101.29,-10.49,-16.96,1.8,1.25,0.38,0.39,0.4,0.41,0,2.48,0.57
