"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",49.77,8.94,-24.42,96.46,-19.31,-21.85,-0.9,0.37,0.31,0.3,0.28,0.3,49.73,0,-43.66,96.03,-20.78,-23.1,-2.07,-0.96,0.31,0.3,0.28,0.3,49.8,50.31,-10.85,97.14,-16.74,-20,0.64,1.47,0.31,0.3,0.28,0.3,0.09,0.12,NA
"1981-01-02",49.82,7.97,1.13,96.09,-18.04,-21.24,-1.34,0.99,0.31,0.3,0.28,0.3,49.78,0,-26.62,95.57,-22.18,-24.68,-1.64,0.55,0.31,0.3,0.28,0.3,49.86,53.51,33.81,96.59,-14.67,-17.22,-0.54,1.26,0.31,0.3,0.28,0.3,0.1,0.69,NA
"1981-01-03",49.79,11.23,-24.98,95.46,-12.43,-14.91,0.59,1.05,0.31,0.3,0.28,0.3,49.78,0,-50.07,95.37,-14.45,-17.11,-0.68,0.25,0.31,0.3,0.28,0.3,49.8,70.36,-1.49,95.54,-10.63,-12.75,1.6,1.6,0.31,0.3,0.28,0.3,0,0.09,NA
"1981-01-04",49.8,12.64,-29.5,95.44,-4.63,-6.43,2.25,0.57,0.32,0.3,0.28,0.3,49.78,0,-55.65,95.32,-10.55,-12.45,1.48,0.09,0.31,0.3,0.28,0.3,49.81,75.54,2.13,95.57,-0.89,-3.41,2.88,1.06,0.32,0.3,0.28,0.3,0,-0.21,NA
"1981-01-05",49.76,11.24,-48.79,96.21,-3.17,-4.92,1.19,-0.55,0.32,0.3,0.28,0.3,49.73,0,-76.07,95.62,-7.49,-8.4,-1.33,-1.02,0.32,0.3,0.28,0.3,49.81,68.64,-17.24,96.57,0.55,-3.01,3.59,0.28,0.32,0.3,0.28,0.3,0.04,1.19,NA
"1981-01-06",52.21,3.61,-10.76,95.52,-6.72,-8.09,-0.44,0.18,0.32,0.3,0.28,0.3,49.75,0,-35.83,94.97,-7.64,-9,-2.09,-1.55,0.32,0.3,0.28,0.3,54.53,24.9,2.89,96.31,-5.07,-6.65,2.12,1.27,0.32,0.3,0.28,0.3,4.85,0.56,NA
"1981-01-07",54.82,6.41,-20.78,95.97,-11.32,-13.11,0.04,-0.83,0.32,0.3,0.28,0.3,54.57,0,-48.75,95.61,-14.81,-16.82,-1.11,-1.3,0.32,0.3,0.28,0.3,55.33,39.56,-2.14,96.35,-7.94,-9.12,1.75,-0.24,0.32,0.3,0.28,0.3,0.9,0.35,NA
"1981-01-08",55.5,10.68,-29.82,96.68,-18.28,-20.61,-1.47,0.2,0.32,0.3,0.28,0.3,55.37,0,-46.58,96.37,-19.85,-22.2,-2.14,-1.67,0.32,0.3,0.28,0.3,55.54,63.29,-14.11,96.87,-15.56,-17.51,-0.46,1.55,0.32,0.3,0.28,0.3,0.27,0.16,NA
"1981-01-09",56.19,7.46,-20.51,95.82,-16.87,-19.35,-1.42,1.29,0.32,0.3,0.28,0.3,55.54,0,-51.99,95.51,-20.14,-22.53,-2.32,0.98,0.32,0.3,0.28,0.3,56.69,48.6,16.51,96.42,-13.33,-16.07,1.27,1.57,0.32,0.3,0.28,0.3,1.2,0.31,NA
"1981-01-10",56.7,12.75,-29.95,95.86,-10.4,-12.72,0.71,2.06,0.32,0.3,0.28,0.3,56.7,0,-42.36,95.79,-16.26,-17.91,0.11,1.31,0.32,0.3,0.28,0.3,56.71,74.78,-14.91,95.97,-3.16,-6.21,1.25,2.47,0.32,0.3,0.28,0.3,0,-0.07,NA
"1981-01-11",56.71,15.3,-38.68,95.85,-4.64,-6.43,0.65,1.84,0.32,0.3,0.28,0.3,56.71,0,-62.95,95.62,-6.19,-8.26,-0.51,0.76,0.32,0.3,0.28,0.3,56.71,86.77,-15.62,96.02,-2.25,-4.48,1.57,2.1,0.32,0.3,0.28,0.3,0,0.04,NA
"1981-01-12",56.67,15.98,-49.82,95.57,-2.41,-5.85,1.93,1,0.32,0.3,0.28,0.3,56.59,0,-86.75,95.24,-6.61,-8.54,0,0.09,0.32,0.3,0.28,0.3,56.71,92.31,-9.86,96,0.67,-3.73,2.91,2.07,0.32,0.3,0.28,0.3,0,1.5,NA
"1981-01-13",56.58,14.64,-54.74,96.28,-6.18,-7.64,0.86,0.55,0.32,0.3,0.28,0.3,56.57,0,-82.15,96.04,-10.96,-12.08,-0.59,-0.53,0.32,0.3,0.28,0.3,56.59,89.53,-9.49,96.54,-2.85,-4.13,2.19,1.73,0.32,0.3,0.28,0.3,0,-0.02,NA
"1981-01-14",56.58,15.62,-31.96,96.48,-10.79,-12.34,-0.89,1.43,0.32,0.3,0.28,0.3,56.57,0,-58.82,96.39,-13.56,-15.06,-1.64,1.06,0.32,0.3,0.28,0.3,56.58,84.21,-1.04,96.56,-8.09,-10.11,0.38,1.74,0.32,0.3,0.28,0.3,0.01,0.01,NA
"1981-01-15",56.58,17.76,-46.34,95.86,-5.87,-8.19,-0.75,1.84,0.32,0.3,0.28,0.3,56.56,0,-71.38,95.45,-8.65,-10.17,-1.23,1.57,0.32,0.3,0.28,0.3,56.59,98.77,-12.78,96.31,-2.99,-6.37,-0.18,2.39,0.32,0.3,0.28,0.3,0.01,0.28,NA
"1981-01-16",56.52,18.91,-56.93,95.27,-4.38,-7.85,-0.35,2.2,0.32,0.3,0.28,0.3,56.48,0,-73.73,95.17,-5.98,-9.15,-0.59,1.88,0.32,0.3,0.28,0.3,56.55,104.13,-37.84,95.46,-2.08,-6.78,0.1,2.4,0.32,0.3,0.28,0.3,0,0.5,NA
"1981-01-17",56.47,19.77,-53.91,94.82,-8.99,-11.51,0.27,1.57,0.32,0.3,0.28,0.3,56.46,0,-78.12,94.63,-11.43,-13.48,-0.79,0.84,0.32,0.3,0.28,0.3,56.48,107.97,-39.17,95.17,-5.12,-8.94,1.9,2.15,0.32,0.3,0.28,0.3,0,0.02,NA
"1981-01-18",56.47,19.34,-39.22,94.96,-7.23,-9.99,0.78,1.77,0.32,0.3,0.28,0.3,56.46,0,-61.92,94.71,-9.89,-12.43,-0.93,1.08,0.32,0.3,0.28,0.3,56.48,105.98,-29.54,95.15,-2.35,-5.39,2.24,2.55,0.32,0.3,0.28,0.3,0,-0.05,NA
