"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",127.4,0.82,-12.4,95.16,-21.43,-25.79,-4.78,5.87,0.11,0.12,0.14,0.24,127,0,-32.67,95.04,-23.84,-26.94,-5.6,4.51,0.11,0.12,0.14,0.24,127.65,7.61,7,95.34,-19.88,-24.7,-3.58,7.2,0.11,0.12,0.14,0.24,0.72,-0.01,NA
"1981-01-02",127.67,0.93,-28.9,95.95,-18.53,-23.88,-5.07,4.11,0.11,0.12,0.14,0.24,127.65,0,-41.73,95.39,-20.06,-25.28,-6.31,0.31,0.11,0.12,0.14,0.24,127.73,8.37,-13.78,96.35,-17.04,-20.48,-4.62,6.67,0.11,0.12,0.14,0.24,0.12,0.04,NA
"1981-01-03",127.74,1.05,-38.89,96.31,-18.91,-24.75,-7.34,-1.98,0.11,0.12,0.14,0.24,127.7,0,-62.1,95.91,-20.11,-26.55,-8.56,-4.1,0.11,0.12,0.14,0.24,127.76,9.2,-17.49,96.48,-17.43,-21.15,-5.69,-0.1,0.11,0.12,0.14,0.24,0.09,0.12,NA
"1981-01-04",127.71,1.23,-48.35,95.17,-21.86,-26.89,-3.43,-3.92,0.11,0.12,0.14,0.24,127.7,0,-58.87,94.81,-25.29,-30.32,-5.2,-5.76,0.11,0.12,0.14,0.24,127.71,11.11,-38.73,95.83,-20.17,-24.5,-2.4,-1.12,0.11,0.12,0.14,0.24,0,-0.01,NA
"1981-01-05",127.72,1.38,-38.23,94.71,-25.21,-31.72,-3.71,-1.39,0.11,0.12,0.14,0.24,127.71,0,-46.37,94.18,-27.17,-33.52,-6.44,-3.47,0.11,0.12,0.14,0.24,127.73,12.47,-24.45,94.84,-20.83,-29.01,-0.97,0.38,0.11,0.12,0.14,0.24,0,-0.01,NA
"1981-01-06",127.74,1.69,-53.26,93.63,-27.57,-32.49,0.1,-4.99,0.11,0.12,0.14,0.24,127.73,0,-57.73,93.36,-31.55,-35.42,-6.09,-5.62,0.11,0.12,0.14,0.24,127.76,14.58,-40.71,94.08,-23.22,-29.03,2.77,-3.59,0.11,0.12,0.14,0.24,0.01,-0.02,NA
"1981-01-07",127.78,1.87,-44.91,94.49,-31.98,-34.93,0.35,-3.01,0.11,0.12,0.14,0.24,127.76,0,-55.55,93.91,-33.71,-36.56,-2.1,-4.76,0.11,0.12,0.14,0.24,127.79,15.96,-34.93,94.8,-29.41,-32.12,2.39,-0.87,0.11,0.12,0.14,0.24,0.01,-0.02,NA
"1981-01-08",128.31,1.24,6.63,94.1,-24.49,-28.28,-5.76,-3.19,0.11,0.12,0.14,0.24,127.79,0,-34.34,92.52,-30.2,-34.45,-10.97,-10.77,0.11,0.12,0.14,0.24,130.43,10.04,24.51,94.74,-17.54,-20.93,-2,-0.14,0.11,0.12,0.14,0.24,2.61,-0.03,NA
"1981-01-09",135.19,0.71,1.1,91.47,-14.72,-17.17,-4.27,-1.71,0.11,0.12,0.14,0.24,130.85,0,-21.67,90.86,-20.36,-23.03,-11.54,-10.64,0.11,0.12,0.14,0.24,138.83,5.67,14.37,92.43,-10.85,-12.72,6.04,4.32,0.11,0.12,0.14,0.24,8.38,-0.03,NA
"1981-01-10",139.82,0.97,-35.53,94.4,-25.54,-28.62,2.99,5.88,0.11,0.12,0.14,0.24,138.94,0,-52.34,92.61,-28.61,-31.73,0.21,4.41,0.11,0.12,0.14,0.24,140.44,8.2,-17.9,95.74,-20.06,-22.84,6.97,7.34,0.11,0.12,0.14,0.24,1.63,0.02,NA
"1981-01-11",140.49,1.37,-43.26,96.13,-30.11,-33.46,-2.82,0.6,0.11,0.12,0.14,0.24,140.45,0,-57.87,95.28,-32.07,-35.05,-6.09,-3.67,0.11,0.12,0.14,0.24,140.51,10.84,-26.22,96.49,-26.17,-30.69,0.01,5.13,0.11,0.12,0.14,0.24,0.05,-0.03,NA
"1981-01-12",141.32,0.89,-8.46,94.03,-20.72,-24.99,-4.52,-5.73,0.11,0.12,0.14,0.24,140.52,0,-42.65,93.56,-24.77,-29.49,-7.3,-8.03,0.11,0.12,0.14,0.24,141.92,6.96,7.06,95.08,-18.17,-22.62,-2.23,-1.89,0.11,0.12,0.14,0.24,1.41,0,NA
"1981-01-13",141.96,1.57,-34.11,95.04,-21.05,-23.95,-0.27,-0.36,0.11,0.12,0.14,0.24,141.93,0,-42.18,94.25,-24.39,-26.83,-2.89,-1.88,0.11,0.12,0.14,0.24,141.98,12.18,-20.01,95.51,-18.61,-22.06,1.15,0.99,0.11,0.12,0.14,0.24,0.04,-0.02,NA
"1981-01-14",142.01,1.56,-27.19,95.15,-28.01,-30.72,-1.42,-3.53,0.11,0.12,0.14,0.24,141.99,0,-38.29,94.77,-29.58,-32.64,-2.78,-4.79,0.11,0.12,0.14,0.24,142.06,11.44,-9.21,95.52,-25.1,-27.53,0.19,-2.17,0.11,0.12,0.14,0.24,0.04,-0.03,NA
"1981-01-15",142.21,1.45,-12.33,94.67,-26.76,-29.65,0.5,-3.23,0.11,0.12,0.14,0.24,142.07,0,-35.14,94.59,-28.8,-31.93,-0.21,-4.24,0.11,0.12,0.14,0.24,142.31,10.75,4.65,94.75,-25.32,-28.21,1.07,-2.69,0.11,0.12,0.14,0.24,0.23,-0.02,NA
"1981-01-16",142.33,2.12,-47.22,94.85,-31.34,-34.38,-1.13,-3.95,0.11,0.12,0.14,0.24,142.31,0,-52.77,94.71,-33.04,-35.89,-2.1,-4.66,0.11,0.12,0.14,0.24,142.35,15.79,-36.44,94.96,-29.41,-32.56,-0.03,-2.73,0.11,0.12,0.14,0.24,0.01,-0.03,NA
