"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",59.75,36.75,-36.32,98.12,-7.2,-9.88,0.47,0.67,0.39,0.39,0.39,0.44,59.12,0,-60.6,97.77,-10.45,-13.05,-4.05,-6.17,0.39,0.39,0.39,0.44,62.49,184.23,-10.56,98.4,-3.62,-5.15,7.38,2.3,0.39,0.39,0.39,0.44,3.85,0.9,0.12
"1981-01-02",64.2,38.01,-38.75,98.5,-11.87,-16.34,6.43,-5.47,0.39,0.39,0.39,0.44,62.63,0,-52.34,97.82,-14.82,-20.2,4.23,-7.9,0.39,0.39,0.39,0.44,65.4,169.06,-22.28,98.95,-4.68,-8.16,8.49,-2.82,0.39,0.39,0.39,0.44,3.8,2.56,0.11
"1981-01-03",67.69,36,-29.6,98.71,-18.07,-22.47,1.91,-4.83,0.39,0.39,0.39,0.44,65.6,0,-43.23,98.5,-23.74,-28.29,-0.13,-6.88,0.39,0.39,0.39,0.44,69.6,152.33,-14.85,99.1,-14.89,-18.8,3.88,-2.47,0.39,0.39,0.39,0.44,4.97,1.11,0.1
"1981-01-04",71.1,33.89,-25.61,99.52,-19.85,-23.34,2.01,-5.84,0.39,0.39,0.39,0.44,69.73,0,-39.29,99.02,-24.93,-29.35,-1.2,-7.56,0.39,0.39,0.39,0.44,72.27,152.23,-12.36,99.95,-15.08,-17.76,4.84,-4.31,0.39,0.39,0.39,0.44,3.14,0.91,0.1
"1981-01-05",72.8,28.12,-14.44,99.62,-11.5,-14.47,3.79,0.8,0.39,0.39,0.39,0.44,72.33,0,-23.91,98.94,-14.74,-17.38,2.72,-4.38,0.39,0.39,0.39,0.44,73.04,134.03,-7.76,99.95,-9.3,-12.13,5.1,7.52,0.39,0.39,0.39,0.44,1,1.19,0.09
"1981-01-06",75.31,23.81,-10.18,97.87,-6.99,-9.49,3.56,5.23,0.39,0.39,0.39,0.44,73.16,0,-17.86,97,-10.46,-13.3,2.62,-7.87,0.39,0.39,0.39,0.44,79.7,115.57,-3.72,98.89,-4.14,-5.51,5.49,7.16,0.39,0.39,0.39,0.44,7.6,1.7,0.09
"1981-01-07",81.15,39.54,-34.72,97.88,-13.38,-17.69,5.88,-6.93,0.39,0.39,0.39,0.44,79.97,0,-50.23,97.04,-16.32,-20.91,3.76,-8.4,0.39,0.39,0.39,0.44,82.09,193.76,-14.47,98.7,-7.11,-10.26,7.17,-5.87,0.39,0.39,0.39,0.44,3.22,2.48,0.09
"1981-01-08",82.46,44.53,-43.37,99.03,-14.25,-18.01,2.54,-2.04,0.39,0.39,0.38,0.44,82.15,0,-58.72,98.66,-16.84,-20.17,1.15,-5.78,0.39,0.39,0.38,0.44,82.63,202.29,-23.32,99.25,-11.65,-15.48,3.51,2.79,0.39,0.39,0.39,0.44,0.75,0.93,0.09
"1981-01-09",83.47,32.21,-41.06,98.92,-11.77,-15.27,3.96,0.46,0.39,0.39,0.38,0.44,82.63,0,-62.39,98.66,-15.7,-19.73,2.69,-6.36,0.39,0.39,0.38,0.44,84.54,148.69,-16.31,99.3,-8.79,-13.34,5.95,4.51,0.39,0.39,0.38,0.44,2.34,1.28,0.09
"1981-01-10",84.87,50.27,-55.55,99.77,-18.28,-22.88,3.88,-4.61,0.39,0.39,0.38,0.44,84.57,0,-65.64,99.32,-19.5,-24.64,2.16,-6.13,0.39,0.39,0.38,0.44,85.06,224.86,-35.94,100.07,-16.35,-20.21,4.76,-3.19,0.39,0.39,0.38,0.44,0.83,1.28,0.08
"1981-01-11",85.31,57.02,-62.94,99.56,-20.96,-25.45,2.36,-4.64,0.39,0.39,0.38,0.44,85.08,0,-85.63,99.42,-21.97,-27.03,0.99,-5.56,0.39,0.39,0.38,0.44,85.44,258.26,-40.93,99.82,-18.86,-22.59,3.85,-3.26,0.39,0.39,0.38,0.44,0.59,0.83,0.08
"1981-01-12",85.48,59.72,-67.34,99.11,-18.15,-21.88,1.04,2.35,0.39,0.39,0.38,0.44,85.45,0,-86.79,98.73,-21.92,-26.29,-1.26,-2.86,0.39,0.39,0.38,0.44,85.5,254.78,-47.7,99.54,-14.13,-17.01,3.09,4.92,0.39,0.39,0.38,0.44,0.09,0.51,0.08
"1981-01-13",85.61,39.67,-32.97,98.39,-11.46,-14.25,-1.52,3.33,0.39,0.39,0.38,0.44,85.49,0,-69.74,98.26,-15.91,-18.24,-2.61,1.78,0.39,0.39,0.38,0.44,86.01,181.97,-11.4,98.7,-8.06,-10.95,-0.78,4.47,0.39,0.39,0.38,0.44,0.62,0.66,0.08
"1981-01-14",86.26,44.75,-29.58,98.39,-8.11,-10.73,-1.15,1.25,0.39,0.39,0.38,0.44,86.07,0,-51.12,98.2,-9.64,-11.51,-2.43,-0.89,0.39,0.39,0.38,0.44,86.32,216.34,-13.1,98.61,-6.32,-9.47,-0.61,2.99,0.39,0.39,0.38,0.44,0.41,0.67,0.08
"1981-01-15",86.59,31.09,-17.87,98.76,-7.38,-9.86,-2,1.3,0.38,0.39,0.38,0.44,86.26,0,-49.21,98.56,-9.47,-11.89,-2.82,0.36,0.38,0.39,0.38,0.44,87.66,138.71,-8.64,98.96,-4.94,-7.17,-1.1,2.9,0.39,0.39,0.38,0.44,1.71,0.62,0.08
"1981-01-16",89.13,39.57,-25.18,99.05,-7.73,-10.25,-1.01,-2.54,0.38,0.39,0.38,0.44,87.8,0,-48.08,98.78,-11.17,-15.23,-2.72,-6.56,0.38,0.39,0.38,0.44,89.52,186.09,-6.26,99.5,-5.97,-7.81,1.39,2.87,0.38,0.39,0.38,0.44,2.38,1.11,0.08
"1981-01-17",89.51,46.93,-50.88,99.27,-12.62,-15.69,2.17,-0.28,0.38,0.39,0.38,0.44,89.49,0,-74.73,98.72,-14.19,-16.95,1.01,-5.15,0.38,0.39,0.38,0.44,89.55,197.97,-33.4,99.54,-11.23,-13.36,3.7,4.07,0.38,0.39,0.38,0.44,0.16,0.62,0.08
"1981-01-18",89.5,56.15,-55.96,98.51,-8.35,-10.54,3.25,-0.6,0.38,0.39,0.38,0.43,89.48,0,-66.41,98.26,-10.9,-12.97,2.52,-3.65,0.38,0.39,0.38,0.43,89.51,236.89,-18.69,98.68,-5.53,-7.5,4.04,1.75,0.38,0.39,0.38,0.44,0.02,0.46,0.08
"1981-01-19",89.48,59.97,-74.22,98.27,-5.74,-7.58,2.32,1.2,0.39,0.38,0.38,0.43,89.45,0,-93.89,98.11,-7.89,-9.06,1.08,-1.19,0.38,0.38,0.38,0.43,89.51,265.77,-55.49,98.55,-3.63,-5.94,3.14,3.36,0.39,0.39,0.38,0.43,0,0.41,0.08
