"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",140.85,16.28,-23.76,89.56,-9.22,-10.52,-0.17,-0.31,0.36,0.36,0.39,0.38,140.67,0,-64.46,89.38,-10.53,-11.54,-0.65,-0.6,0.36,0.36,0.39,0.38,140.93,97.02,-4.11,89.82,-7.85,-9.95,0.09,0.03,0.36,0.36,0.39,0.38,0.29,0.29,0.12
"1981-01-02",140.98,18.62,-35.54,89.17,-12.6,-14.42,-0.34,-0.27,0.36,0.36,0.39,0.38,140.93,0,-60.44,89.05,-14.64,-16.26,-0.59,-0.48,0.36,0.36,0.39,0.38,141,100.46,-14.91,89.35,-10.67,-11.96,-0.04,-0.09,0.36,0.36,0.39,0.38,0.1,0.23,0.12
"1981-01-03",141.4,8,-0.61,89.13,-12.14,-14.47,-0.19,-0.1,0.36,0.36,0.39,0.38,141,0,-26.89,89.01,-15.66,-17.41,-0.57,-0.41,0.36,0.36,0.39,0.38,141.79,39.77,29.36,89.23,-8.98,-11.39,0.49,0.24,0.36,0.36,0.39,0.38,0.78,0.37,0.12
"1981-01-04",142.12,17.69,-18.71,89.43,-8.07,-9.72,0.4,0.31,0.35,0.36,0.39,0.38,141.82,0,-49.49,89.21,-10.99,-12.45,-0.41,-0.3,0.35,0.36,0.39,0.38,142.35,117.92,24.8,89.71,-4.21,-7.06,1.22,0.79,0.36,0.36,0.39,0.38,0.52,0.06,0.12
"1981-01-05",143.44,8.38,0.18,89.41,-5.37,-6.39,-0.49,-0.2,0.35,0.36,0.39,0.38,142.35,0,-15.57,88.86,-6.33,-7.27,-1.01,-0.58,0.35,0.36,0.39,0.38,146.53,52.55,10.53,89.75,-3.72,-5.28,0.54,0.12,0.35,0.36,0.39,0.38,4.16,0.18,0.12
"1981-01-06",147.01,14.62,-18.42,88.68,-4.15,-5.32,0.01,0.4,0.35,0.36,0.39,0.38,146.65,0,-37.35,88.4,-6.57,-7.3,-0.77,-0.17,0.35,0.36,0.38,0.38,147.28,77.16,-4.19,89.01,-1.72,-3.41,1.14,1.01,0.35,0.36,0.39,0.38,0.72,0.18,0.11
"1981-01-07",149.68,9.32,-13.11,88.69,-3.2,-3.82,-0.68,0.45,0.35,0.36,0.38,0.38,147.29,0,-28.95,88.52,-4.02,-4.69,-0.97,-0.02,0.35,0.36,0.38,0.38,151.65,43.93,-1.26,88.95,-1.69,-2.63,-0.19,1.13,0.35,0.36,0.38,0.38,4.36,0.04,0.11
"1981-01-08",151.86,9.14,-13.94,88.39,-4.4,-5.21,-0.96,-0.5,0.35,0.36,0.38,0.38,151.67,0,-36.24,87.97,-5.71,-6.18,-1.31,-0.84,0.35,0.36,0.38,0.38,152.51,51.82,-1.42,88.6,-2.95,-4.51,-0.71,0.12,0.35,0.36,0.38,0.38,0.86,0.26,0.11
"1981-01-09",152.83,20.24,-42.54,88.57,-6.5,-8.01,-0.83,0.74,0.35,0.35,0.38,0.38,152.65,0,-62.84,88.02,-9.43,-10.8,-1.41,-0.04,0.35,0.35,0.38,0.38,152.92,105.9,-19.84,89.03,-2.19,-5.37,-0.08,1.16,0.35,0.36,0.38,0.38,0.39,0.01,0.11
"1981-01-10",154.73,9.41,-8.71,89.05,-6.07,-7.44,-0.98,0.05,0.35,0.35,0.38,0.38,152.92,0,-45.29,88.89,-8.18,-9.33,-1.36,-0.13,0.35,0.35,0.38,0.38,155.8,50.02,5.92,89.18,-4.26,-5.71,-0.43,0.28,0.35,0.35,0.38,0.38,2.87,0.29,0.11
"1981-01-11",155.82,13.56,-24.8,89.03,-8.14,-9.2,-0.6,-0.31,0.35,0.35,0.38,0.38,155.8,0,-48.21,88.87,-9.79,-10.77,-0.97,-0.57,0.35,0.35,0.38,0.38,155.96,66.94,-1.73,89.2,-6.21,-7.32,0.2,-0.14,0.35,0.35,0.38,0.38,0.16,0.13,0.11
"1981-01-12",156.12,14.06,-6.53,89.06,-6.16,-8.02,-0.24,-0.19,0.35,0.35,0.38,0.38,155.97,0,-28.98,88.97,-8.63,-9.78,-0.87,-0.58,0.35,0.35,0.38,0.38,156.47,76.65,18.15,89.18,-3.05,-6.04,0.28,0.15,0.35,0.35,0.38,0.38,0.52,0.43,0.11
"1981-01-13",156.49,21.27,-29.7,89.36,-5.73,-7.39,-0.37,-0.23,0.35,0.35,0.38,0.38,156.47,0,-62.2,89.14,-7.61,-8.96,-1.01,-0.55,0.35,0.35,0.38,0.38,156.78,117.2,-7.23,89.54,-3.59,-6.33,0.04,0.15,0.35,0.35,0.38,0.38,0.3,0.42,0.1
"1981-01-14",156.79,18.64,-33,89.37,-8.09,-9.13,-0.27,-0.63,0.35,0.35,0.38,0.38,156.78,0,-49.44,89.19,-10.26,-11.43,-0.66,-0.93,0.35,0.35,0.38,0.38,156.82,89.93,-7.59,89.49,-6,-7.26,0.07,-0.21,0.35,0.35,0.38,0.38,0.01,0.25,0.1
"1981-01-15",156.83,24.52,-38.46,88.86,-10.86,-12.32,0.06,-0.57,0.35,0.35,0.38,0.38,156.82,0,-70.67,88.62,-13.01,-14.52,-0.57,-0.9,0.35,0.35,0.38,0.38,156.84,129.59,-12.23,89.16,-7.7,-10.4,0.69,-0.19,0.35,0.35,0.38,0.38,0.03,0.22,0.1
"1981-01-16",156.86,26,-36.09,88.47,-12.34,-14.2,-0.02,-0.53,0.35,0.35,0.38,0.38,156.84,0,-57.75,88.31,-15.1,-16.75,-0.44,-0.95,0.35,0.35,0.38,0.38,156.88,136.56,-12.91,88.58,-8.84,-12.04,0.32,-0.15,0.35,0.35,0.38,0.38,0.01,0.43,0.1
"1981-01-17",156.89,29.53,-36.32,88.07,-11.88,-14.5,-0.14,-0.36,0.35,0.35,0.38,0.38,156.88,0,-59.51,87.91,-15.19,-16.91,-0.64,-0.83,0.35,0.35,0.38,0.38,156.9,158.4,-10.21,88.3,-8.04,-12.43,0.19,0.32,0.35,0.35,0.38,0.38,0,0.61,0.1
