"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",52.07,9.19,-21.73,97.19,-18.87,-21.25,-0.35,-0.1,0.31,0.29,0.27,0.28,52.04,0,-42.1,96.69,-20.58,-22.78,-1.56,-1.44,0.31,0.29,0.27,0.28,52.09,50.29,-6.35,97.85,-15.83,-18.92,0.77,1.05,0.31,0.29,0.27,0.28,0.07,0.03,NA
"1981-01-02",52.1,8.27,-5.8,96.84,-16.26,-19.23,-0.86,0.62,0.31,0.29,0.27,0.28,52.09,0,-32.45,96.26,-22.19,-24.64,-1.25,-0.46,0.31,0.29,0.27,0.28,52.12,52.66,27.67,97.36,-11.33,-13.78,0.17,0.97,0.31,0.29,0.27,0.28,0.05,0.35,NA
"1981-01-03",52.1,12.19,-24.98,96.18,-12.7,-15.11,0.83,0.93,0.31,0.29,0.27,0.28,52.09,0,-47.28,96.08,-15.2,-17.25,-0.03,0.35,0.31,0.29,0.27,0.28,52.1,72.65,-5.7,96.29,-9.74,-12.22,1.36,1.49,0.31,0.29,0.27,0.28,0,0.02,NA
"1981-01-04",52.11,13.37,-27.99,96.13,-4.44,-6.39,1.89,1.01,0.31,0.29,0.27,0.28,52.1,0,-58.05,96.03,-9.37,-11.46,1.23,0.47,0.31,0.29,0.27,0.28,52.13,78.12,12.45,96.26,-0.27,-2.72,2.63,1.7,0.31,0.29,0.27,0.28,0,-0.05,NA
"1981-01-05",52.07,12.08,-46.02,96.86,-1.22,-3.21,1.18,-0.63,0.31,0.29,0.27,0.28,52.04,0,-72.07,96.27,-5.03,-5.54,-0.99,-1.25,0.31,0.29,0.27,0.28,52.12,74.84,-9.31,97.25,1.85,-1.7,3.08,0.04,0.31,0.29,0.27,0.28,0.04,0.97,NA
"1981-01-06",54.52,3.84,-14.93,96.19,-5.31,-6.78,-0.04,0.2,0.31,0.29,0.27,0.28,52.05,0,-53.98,95.58,-7.08,-8.48,-1.4,-1.87,0.31,0.29,0.27,0.28,57.06,21.22,-2.15,97.05,-3.28,-4.83,2.5,1.31,0.31,0.29,0.27,0.28,5.1,0.74,NA
"1981-01-07",57.33,7.86,-20.12,96.62,-9.38,-11.12,0.32,-0.8,0.31,0.29,0.27,0.28,57.1,0,-42.11,96.23,-11.92,-13.84,-0.83,-1.38,0.31,0.29,0.27,0.28,58,44.57,-1.53,96.96,-6.56,-8.41,2.04,-0.25,0.31,0.29,0.27,0.28,1.05,0.54,NA
"1981-01-08",58.51,13.31,-36.51,97.39,-16.66,-18.86,-1.05,-0.46,0.31,0.29,0.27,0.28,58.19,0,-55.12,96.96,-19.55,-21.88,-1.58,-1.78,0.31,0.29,0.27,0.28,58.56,77.06,-3.47,97.6,-12.48,-14.47,0,0.75,0.31,0.29,0.27,0.28,0.62,0.14,NA
"1981-01-09",59.33,6.82,-22.98,96.58,-14.61,-16.76,-0.93,0.78,0.31,0.29,0.27,0.28,58.55,0,-57.97,96.25,-19.54,-21.83,-1.72,0.38,0.31,0.29,0.27,0.28,59.97,48.4,12.36,97.21,-10.43,-12.75,1.32,1.33,0.31,0.29,0.27,0.28,1.41,0.04,NA
"1981-01-10",59.98,14.7,-34.62,96.64,-9.1,-11.52,0.9,1.96,0.31,0.29,0.27,0.28,59.97,0,-48.39,96.54,-14.94,-16.25,0.52,0.28,0.31,0.29,0.27,0.28,59.99,82.29,-15.08,96.76,-1.24,-4.76,1.38,2.7,0.31,0.29,0.27,0.28,0.01,-0.02,NA
"1981-01-11",59.99,16.03,-42.27,96.6,-3.52,-5.6,0.78,1.9,0.31,0.29,0.27,0.28,59.99,0,-61.93,96.38,-7.05,-8.29,0.38,1.14,0.31,0.29,0.27,0.28,59.99,90.31,-22.95,96.71,-1.32,-4.38,1.17,2.24,0.31,0.29,0.27,0.28,0,0.15,NA
"1981-01-12",59.97,17,-47.58,96.28,-2.44,-5.91,1.77,1.34,0.31,0.29,0.27,0.28,59.94,0,-78.7,95.96,-7.42,-9,0.4,0.26,0.31,0.29,0.27,0.28,59.99,95.3,-9.41,96.68,1.45,-3.18,2.88,2.16,0.31,0.29,0.27,0.28,0,0.72,NA
"1981-01-13",59.94,15.52,-49.76,96.98,-6.57,-8.1,1.14,0.56,0.31,0.29,0.27,0.28,59.93,0,-70.66,96.72,-10.7,-11.94,0.28,-0.64,0.31,0.29,0.27,0.28,59.94,89.02,-8.09,97.24,-2.71,-4.56,1.96,1.47,0.31,0.29,0.27,0.28,0,-0.1,NA
"1981-01-14",59.94,16.36,-34.02,97.24,-11.37,-12.95,-0.26,1.1,0.31,0.29,0.27,0.28,59.94,0,-59.53,97.18,-13.95,-15.37,-1.16,0.65,0.31,0.29,0.27,0.28,59.95,92.8,-0.22,97.31,-8.19,-10.84,1.11,1.48,0.31,0.29,0.27,0.28,0,-0.02,NA
"1981-01-15",59.96,18.62,-41.26,96.64,-5.2,-7.54,-0.3,2.2,0.31,0.29,0.27,0.28,59.95,0,-66.6,96.25,-9.69,-11.04,-0.76,1.65,0.31,0.29,0.27,0.28,59.97,101.89,-13.59,97.12,-0.76,-4.85,0.08,2.51,0.31,0.29,0.27,0.28,0,0.26,NA
"1981-01-16",59.93,19.82,-56.73,96.06,-5.43,-7.72,0.04,2.19,0.31,0.29,0.27,0.28,59.91,0,-71.48,95.94,-7.68,-9.3,-0.32,1.9,0.31,0.29,0.27,0.28,59.95,106.91,-50.45,96.24,-2.93,-6.46,0.35,2.58,0.31,0.29,0.27,0.28,0,0.47,NA
"1981-01-17",59.9,21.06,-55.88,95.56,-9.84,-12.18,0.47,1.66,0.31,0.29,0.27,0.28,59.89,0,-78.56,95.35,-12.71,-14.3,-0.04,1.12,0.31,0.29,0.27,0.28,59.91,112.94,-45.1,95.94,-6.09,-9.58,1.67,1.98,0.31,0.29,0.27,0.28,0,0.04,NA
"1981-01-18",59.88,20.15,-42.87,95.71,-7.88,-10.5,0.88,1.82,0.31,0.29,0.27,0.28,59.88,0,-58.56,95.42,-11.42,-13.54,-0.45,1.41,0.31,0.29,0.27,0.28,59.89,109.74,-35,95.91,-2.85,-5.45,1.95,2.6,0.31,0.29,0.27,0.28,0,0.12,NA
