"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",89.28,0.33,-20.01,96.39,-42.81,-46.12,-1.28,2.37,0.2,0.19,0.17,0.22,89.28,0,-34.41,96.23,-44,-47.21,-2.56,-0.94,0.2,0.19,0.17,0.22,89.29,4.33,6.44,96.6,-40.82,-44.53,1.94,4.4,0.2,0.19,0.17,0.22,0,-0.01,NA
"1981-01-02",89.31,0.31,-9.21,95.85,-36.53,-40.94,-2.89,6.06,0.2,0.19,0.17,0.22,89.29,0,-30.11,95.34,-41.46,-45.03,-4.03,4.44,0.2,0.19,0.17,0.22,89.33,3.99,25.32,96.29,-31.4,-36.32,-1.25,7.16,0.2,0.19,0.17,0.22,0.03,0,NA
"1981-01-03",89.69,0.31,9.07,95.04,-27.39,-31.12,-3.12,6.47,0.2,0.19,0.17,0.22,89.33,0,-20.2,94.74,-30.56,-35.39,-5.05,4.51,0.2,0.19,0.17,0.22,90.02,3.78,36.87,95.26,-23.72,-26.5,-0.18,7.12,0.2,0.19,0.17,0.22,0.72,0.02,NA
"1981-01-04",90.3,0.28,-0.01,94.59,-21.44,-23.88,0.85,0.1,0.2,0.19,0.17,0.22,90.04,0,-39.11,94.51,-23.02,-25.72,-1.71,-3.88,0.2,0.19,0.17,0.22,90.51,3.28,18.25,94.82,-20.11,-22.39,2.09,3.88,0.2,0.19,0.17,0.22,0.48,-0.02,NA
"1981-01-05",90.53,0.54,-47.63,95.71,-30.19,-33.14,-2.32,1.13,0.2,0.19,0.17,0.22,90.52,0,-63.53,94.93,-32.69,-35.57,-3.37,-3.52,0.2,0.19,0.17,0.22,90.55,6.27,-16.64,96.1,-24.63,-27.38,-0.5,5.72,0.2,0.19,0.17,0.22,0.01,-0.03,NA
"1981-01-06",91.9,0.35,-12.04,95.11,-27.62,-30.56,1.18,2.2,0.2,0.19,0.17,0.22,90.55,0,-46.8,94.69,-30.62,-33.69,-0.49,-3.5,0.2,0.19,0.17,0.22,92.5,4.2,22.78,95.84,-24.89,-27.61,2.37,5.82,0.2,0.19,0.17,0.22,1.93,-0.02,NA
"1981-01-07",92.54,0.6,-38.7,95.46,-31.73,-34.57,-1.1,-2.81,0.2,0.19,0.17,0.22,92.5,0,-49.56,94.74,-33.92,-36.61,-2.01,-4.15,0.2,0.19,0.17,0.22,92.56,6.61,-19.86,96.11,-29.47,-32.23,0.17,0.13,0.2,0.19,0.17,0.22,0.04,-0.02,NA
"1981-01-08",92.56,0.68,-26.17,96.24,-34.53,-37.2,0.61,2.79,0.2,0.19,0.17,0.22,92.56,0,-32.85,96.15,-36.61,-39.04,-0.85,0.5,0.2,0.19,0.17,0.22,92.58,7.29,-21.25,96.33,-31.47,-34.67,1.46,4.87,0.2,0.19,0.17,0.22,0.01,-0.01,NA
"1981-01-09",92.62,0.77,-30.73,95.45,-31.07,-33.71,-0.25,5.69,0.2,0.19,0.17,0.22,92.58,0,-41.04,94.74,-34.65,-37.15,-0.99,4.71,0.2,0.19,0.17,0.22,92.68,7.73,-19.79,96.11,-27.64,-30.43,0.45,6.53,0.2,0.19,0.17,0.22,0.04,-0.07,NA
"1981-01-10",92.89,0.52,-5.19,94.28,-21.82,-24.25,2.09,4.94,0.2,0.19,0.17,0.22,92.69,0,-28.15,94.08,-26.1,-28.79,-0.07,1.25,0.2,0.19,0.17,0.22,93.02,5.16,17.52,94.71,-20.13,-22.42,4,7.41,0.2,0.19,0.17,0.22,0.26,-0.09,NA
"1981-01-11",93.07,0.67,-4.86,94.47,-20.35,-22.58,-0.33,3.34,0.2,0.19,0.17,0.22,93.03,0,-18.34,94.25,-22.16,-24.48,-2.67,1.4,0.2,0.19,0.17,0.22,93.15,6.54,4.12,94.59,-17.67,-19.67,2.39,5.42,0.2,0.19,0.17,0.22,0.09,-0.04,NA
"1981-01-12",93.27,0.64,0.52,94.24,-16.93,-18.87,0.44,1.43,0.2,0.19,0.17,0.22,93.16,0,-16.23,94.06,-18.58,-20.7,-0.67,-3.12,0.2,0.19,0.17,0.22,93.47,6.1,18.99,94.51,-14.18,-15.95,1.09,4.21,0.2,0.19,0.17,0.22,0.29,-0.03,NA
"1981-01-13",93.59,0.99,-12.32,95.34,-15,-16.56,2.56,-0.9,0.2,0.19,0.17,0.22,93.49,0,-32.68,94.66,-16.53,-18.22,1.47,-3.13,0.2,0.19,0.17,0.22,93.7,9.28,12.25,95.77,-13.51,-14.93,3.13,1.7,0.2,0.19,0.17,0.22,0.16,-0.07,NA
"1981-01-14",93.84,0.83,-11.79,95.63,-12.13,-13.57,1.54,6.09,0.2,0.19,0.17,0.22,93.71,0,-34.99,95.06,-13.61,-15.06,0.16,2.27,0.2,0.19,0.17,0.22,93.95,7.38,4.68,95.82,-10.62,-12.68,2.66,11.74,0.2,0.19,0.17,0.22,0.13,-0.14,NA
"1981-01-15",94.03,1.05,-16.97,94.11,-8.66,-10.04,3.39,6.22,0.2,0.19,0.17,0.22,93.96,0,-56.68,93.53,-10.1,-12.18,1.51,3.17,0.2,0.19,0.17,0.22,94.12,9.75,0.82,94.9,-7.83,-9.12,6.22,12.08,0.2,0.19,0.17,0.22,0.04,-0.14,NA
