"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",60.73,49.39,-62.77,99.55,-17.19,-20.64,1.11,-0.91,0.39,0.37,0.36,0.41,60.68,0,-80.3,99.33,-20.3,-22.88,-0.1,-1.47,0.39,0.37,0.35,0.41,60.77,221.24,-29.23,99.79,-12.51,-18.39,2.14,-0.17,0.4,0.37,0.36,0.41,0,1.14,1.28
"1981-01-02",61.73,37.23,-20.16,98.65,-13.04,-16.08,-1.24,-0.41,0.39,0.37,0.35,0.41,60.68,0,-45.85,97.74,-17.24,-19.86,-2.34,-1.63,0.38,0.37,0.35,0.41,66.67,197.19,-2.29,99.37,-8.5,-12.16,1.9,0.46,0.39,0.37,0.35,0.41,6.07,1.55,1.21
"1981-01-03",67.06,56.19,-76.23,98.44,-21.32,-27.01,4.01,0.17,0.38,0.37,0.35,0.41,66.89,0,-95.28,97.72,-27.26,-31.95,2.55,-1.67,0.38,0.37,0.35,0.41,67.18,255.31,-11.31,99.11,-10.06,-12.19,4.89,1.04,0.38,0.37,0.35,0.41,0.61,3.35,1.13
"1981-01-04",66.93,57.02,-80.27,98.89,-29.55,-34.38,2.18,-0.08,0.38,0.37,0.35,0.41,66.89,0,-90.76,98.71,-31.86,-36.42,1.74,-0.69,0.38,0.36,0.35,0.41,66.95,256.98,-67.1,99.07,-26.53,-32.06,2.62,0.66,0.38,0.37,0.35,0.41,0.01,0.68,1.06
"1981-01-05",66.95,53.8,-55.7,98.89,-21.61,-25.94,2.41,-0.21,0.37,0.36,0.35,0.41,66.9,0,-80.43,98.49,-31.25,-34.97,1.88,-1.09,0.37,0.36,0.35,0.41,66.97,243.11,-11.52,99.43,-13.6,-19.12,2.91,0.79,0.38,0.36,0.35,0.41,0.08,1.4,1.01
"1981-01-06",66.89,48.76,-59.58,99.64,-16.12,-19.69,0.98,0.4,0.37,0.36,0.35,0.41,66.84,0,-72.31,99.46,-19.72,-22.35,-1.42,-1.01,0.37,0.36,0.35,0.41,66.93,208.06,-26.24,99.84,-12.16,-16.01,2.29,1.88,0.37,0.36,0.35,0.41,0.03,1.55,0.96
"1981-01-07",74.1,7.08,-3.26,98.17,-2.3,-3.28,-0.77,2.16,0.39,0.36,0.35,0.41,66.89,0,-18.87,97.1,-12.74,-14.75,-2.72,-0.38,0.37,0.36,0.35,0.41,85.51,35.27,7.09,99.41,2.04,1.5,2.18,4.25,0.43,0.37,0.35,0.41,24.44,1,0.92
"1981-01-08",86.35,46.42,-57.91,97.84,-11.22,-15.57,3.48,0.46,0.41,0.37,0.35,0.41,85.87,0,-94.33,96.94,-18.03,-22.21,2.33,-0.93,0.4,0.37,0.35,0.41,86.53,206.12,-18.3,99.2,-1.54,-3.16,4.03,1.61,0.42,0.37,0.35,0.41,1.67,5.65,1.19
"1981-01-09",86.32,53.99,-66.71,100.12,-18.88,-22.83,0.92,0.67,0.39,0.37,0.35,0.41,86.28,0,-86.6,99.29,-22.14,-25,-1.33,-0.2,0.39,0.37,0.34,0.41,86.38,250.54,-18.05,100.53,-16.02,-20.89,3.09,1.46,0.4,0.37,0.35,0.41,0.09,1.38,1.13
"1981-01-10",89.07,21.47,-2.89,99.6,-12.17,-14.59,-0.41,-1.83,0.39,0.37,0.34,0.41,86.43,0,-11.11,97.66,-17.56,-20.51,-1.51,-3.79,0.38,0.37,0.34,0.41,98.06,104.12,2.08,100.5,-8.13,-10.49,2.62,-0.29,0.39,0.37,0.34,0.41,11.7,0.99,1.06
"1981-01-11",105.85,37.68,-38.8,97.78,-14.21,-18.5,3.76,0.3,0.38,0.37,0.34,0.41,100.1,0,-85.26,96.93,-21.07,-25.4,2.8,-3.39,0.38,0.37,0.34,0.41,106.87,170.51,-2.69,99.15,-9.31,-11.39,4.53,2.48,0.38,0.37,0.34,0.41,9.14,4.77,0.99
"1981-01-12",106.7,59.78,-72.47,100.03,-22.16,-26.75,1.08,0.32,0.38,0.37,0.34,0.41,106.67,0,-87.06,99.25,-25.13,-28.4,-0.88,-1.86,0.37,0.37,0.34,0.41,106.75,264.03,-14.24,100.39,-17.62,-24.97,2.67,1.62,0.38,0.37,0.34,0.41,0,1.08,0.94
"1981-01-13",112.48,11.78,3.52,99.1,-17.68,-21.81,0.98,-2.64,0.37,0.37,0.34,0.41,106.68,0,-15.08,98.3,-21.17,-25.15,-0.77,-3.64,0.37,0.37,0.34,0.41,121.22,52.32,14.8,100.32,-15.71,-19.18,2.86,-1.46,0.37,0.37,0.34,0.41,14.61,1.68,0.88
"1981-01-14",121.95,55.88,-52.21,99.16,-14.88,-18.97,2.17,0.3,0.37,0.36,0.34,0.41,121.53,0,-92.67,98.49,-16.63,-20.24,1.72,-1.76,0.37,0.36,0.34,0.41,122.04,250.14,-3.75,99.76,-11.73,-17.57,3.14,1.14,0.37,0.37,0.34,0.41,0.86,2.52,0.82
"1981-01-15",121.9,60.57,-68.68,100.09,-16.18,-20.99,0.87,-0.39,0.37,0.36,0.34,0.4,121.86,0,-88.27,99.78,-20.62,-23.91,-0.42,-1.76,0.37,0.36,0.34,0.4,121.94,264.86,-35.48,100.28,-10.98,-18.29,1.91,0.39,0.37,0.36,0.34,0.41,0,2.21,0.78
"1981-01-16",121.86,61.05,-60.71,99.89,-17.47,-21.19,0.84,-1.34,0.37,0.36,0.34,0.4,121.84,0,-84.34,99.71,-22.02,-24.57,-0.07,-1.76,0.36,0.36,0.34,0.4,121.87,266.8,-21.06,100.12,-12.91,-18.58,1.7,-0.84,0.37,0.36,0.34,0.4,0.02,1.83,0.73
