"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",66.42,31.97,-67.05,84.02,-11.72,-16.26,1.86,1.56,0.35,0.35,0.33,0.38,66.3,0,-95.16,83.73,-17.43,-20.84,1.67,1.33,0.35,0.35,0.33,0.38,66.51,164.8,-46.84,84.4,-3.74,-10.06,2.14,1.75,0.36,0.35,0.33,0.38,0,1.97,NA
"1981-01-02",66.17,32.11,-73.79,83.72,-11.05,-15.4,1.81,1.54,0.35,0.35,0.33,0.38,66.03,0,-95.36,83.58,-16.26,-19.81,1.35,1.29,0.35,0.35,0.33,0.38,66.28,164.95,-55.58,83.85,-4.43,-10.68,2.16,1.91,0.35,0.35,0.33,0.38,0,1.92,NA
"1981-01-03",65.88,33.59,-83.4,83.6,-9.64,-14.09,1.97,1.69,0.35,0.35,0.33,0.38,65.74,0,-103.53,83.53,-12.58,-17,1.62,1.26,0.35,0.35,0.33,0.38,66.02,170.51,-73.24,83.7,-3.56,-9.39,2.24,1.89,0.35,0.35,0.33,0.38,0,2.49,NA
"1981-01-04",65.68,30.31,-52.38,83.72,-7.13,-10.95,1.96,1.6,0.35,0.35,0.33,0.38,65.52,0,-85.36,83.62,-11.87,-14.72,1.76,1.24,0.35,0.35,0.33,0.38,66.2,162.41,-14.59,83.84,-1.22,-7.5,2.09,1.75,0.35,0.35,0.33,0.38,0.72,2.94,NA
"1981-01-05",66.09,30.82,-65.31,83.95,-8.27,-10.59,1.76,1.31,0.35,0.35,0.33,0.38,66,0,-91.07,83.76,-11.41,-13.04,1.2,0.85,0.35,0.35,0.33,0.38,66.18,156.84,-23.12,84.08,-4.99,-8.21,2.4,1.52,0.35,0.35,0.33,0.38,0,1.19,NA
"1981-01-06",66.23,12.28,-37.42,83.19,-6.69,-10.39,1.77,1.36,0.35,0.35,0.33,0.38,65.97,0,-82.88,82.74,-11.42,-14,1.37,0.37,0.34,0.34,0.33,0.38,66.5,68.34,4.07,83.92,-2.58,-7.18,2.69,1.77,0.35,0.35,0.33,0.38,0.69,2.19,NA
"1981-01-07",66.33,23.34,-61.65,83.3,-7.57,-10.41,1.79,1.19,0.34,0.34,0.33,0.38,66.23,0,-87.27,83.15,-10.66,-12.47,1.1,0.9,0.34,0.34,0.33,0.38,66.43,117.73,-26.23,83.47,-4.04,-8.32,2.96,1.61,0.34,0.34,0.33,0.38,0.01,1.68,NA
"1981-01-08",66.21,28.32,-46.55,83.38,-9.61,-12.15,0.59,1.05,0.34,0.34,0.33,0.38,66.19,0,-83.39,83.12,-14.63,-16.7,-0.66,0.6,0.34,0.34,0.33,0.38,66.23,128.2,-16.23,83.57,-4.38,-8.3,1.54,1.51,0.34,0.34,0.33,0.38,0.11,0.7,NA
"1981-01-09",66.19,25.29,-51.31,83.49,-5.93,-9.18,1.74,1.5,0.34,0.34,0.33,0.38,66.07,0,-84.25,83.25,-8.69,-10.76,0.78,1.08,0.34,0.34,0.33,0.38,66.26,127.62,-5.89,83.87,-0.89,-7.31,2.67,1.85,0.34,0.34,0.33,0.38,0.12,2.57,NA
"1981-01-10",65.99,35.98,-74.61,84.05,-8.91,-11.95,1.79,1.74,0.34,0.34,0.33,0.38,65.87,0,-99.75,83.86,-12.28,-14.02,1.25,1.29,0.34,0.34,0.33,0.38,66.07,181.44,-56.45,84.15,-4.25,-10.02,2.02,1.9,0.34,0.34,0.33,0.38,0.01,1.71,NA
"1981-01-11",65.75,34.42,-70.06,84.06,-6.99,-10.63,1.84,1.72,0.34,0.34,0.33,0.38,65.59,0,-98.02,83.81,-10.15,-13.14,1.41,1.19,0.34,0.34,0.33,0.38,65.86,167.05,-48.18,84.18,-0.48,-6.6,2.01,1.93,0.34,0.34,0.33,0.38,0,2.45,NA
"1981-01-12",65.35,36.48,-61.87,83.78,-4.49,-9.07,1.78,1.56,0.34,0.34,0.33,0.38,65.12,0,-103.6,83.64,-8.54,-11.17,1.32,0.82,0.34,0.34,0.33,0.38,65.58,179.85,-18.3,83.98,1.32,-5.79,2.1,1.94,0.34,0.34,0.33,0.38,0,4.12,NA
"1981-01-13",65.04,32.44,-64.41,84.14,-6.89,-9.42,1.6,1.34,0.34,0.34,0.33,0.38,64.92,0,-88.27,84,-11.22,-13.05,1.08,0.75,0.34,0.34,0.33,0.38,65.11,158.17,-47.33,84.28,-0.18,-4.07,1.92,1.66,0.34,0.34,0.33,0.38,0,1.19,NA
"1981-01-14",64.83,36.57,-58.14,84.16,-8.24,-11,1.36,1.1,0.34,0.34,0.33,0.38,64.69,0,-99.1,84.09,-13.18,-15.29,0.81,0.36,0.34,0.34,0.33,0.38,64.91,173.17,-12.43,84.22,-0.35,-4.49,1.59,1.3,0.34,0.34,0.33,0.38,0,1.21,NA
"1981-01-15",64.6,39.59,-71.22,83.87,-8.14,-11.25,1.24,1.51,0.34,0.34,0.33,0.38,64.49,0,-103.45,83.63,-12.35,-15.09,0.29,1.16,0.34,0.34,0.33,0.38,64.69,189.56,-40.27,84.11,-0.32,-5.6,1.82,1.79,0.34,0.34,0.33,0.38,0,1.18,NA
"1981-01-16",64.35,41.67,-89.14,83.42,-8.26,-12.04,1.74,1.73,0.34,0.34,0.33,0.38,64.18,0,-119.93,83.26,-11.94,-15.26,1.1,1.34,0.34,0.34,0.33,0.38,64.48,198.63,-73.67,83.6,-0.52,-6.9,2.06,1.9,0.34,0.34,0.33,0.38,0,2.11,NA
"1981-01-17",63.98,44.09,-97.15,82.92,-9.16,-15.62,2.14,1.81,0.34,0.34,0.33,0.38,63.71,0,-131.84,82.7,-14.28,-18.92,1.55,1.36,0.34,0.34,0.33,0.38,64.17,207.76,-79.14,83.22,-3.26,-11.96,2.7,2.05,0.34,0.34,0.33,0.38,0,4.89,NA
"1981-01-18",63.56,39.95,-70.68,83.36,-6.22,-9.75,2.02,2.01,0.34,0.34,0.33,0.38,63.4,0,-87.51,83.11,-9.11,-12.04,1.58,1.62,0.34,0.34,0.33,0.38,63.69,188.39,-53.74,83.49,-1.87,-7.46,2.4,2.2,0.34,0.34,0.33,0.38,0,3.74,NA
"1981-01-19",63.21,36.33,-49.37,83.39,-1.88,-4.14,1.72,1.79,0.34,0.34,0.33,0.38,62.88,0,-77.68,83.22,-5.97,-8.02,1.33,1.51,0.33,0.34,0.33,0.38,63.39,168.97,-24.9,83.53,3.58,-1.56,2.12,1.98,0.34,0.34,0.33,0.38,0,2.84,NA
