"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",77.31,49.75,-64,98.86,-17.04,-20.57,0.84,-0.76,0.37,0.37,0.36,0.41,77.28,0,-83.49,98.56,-20.15,-22.64,-0.95,-1.37,0.37,0.37,0.36,0.41,77.34,227.26,-25.1,99.07,-11.51,-17.91,2.34,0.76,0.37,0.37,0.36,0.41,0,1.18,0.64
"1981-01-02",77.87,43.62,-27.93,98.07,-14.38,-17.69,-1.33,-0.83,0.37,0.36,0.36,0.41,77.27,0,-65.98,97.03,-19.34,-21.71,-2.25,-1.66,0.37,0.36,0.35,0.41,81.94,216.32,-0.43,98.75,-9.86,-12.66,1.64,0.08,0.37,0.37,0.36,0.41,4.72,1.77,0.59
"1981-01-03",83.41,54.27,-67.82,97.55,-21.37,-26.71,4.36,0.29,0.36,0.36,0.35,0.41,82.64,0,-94.23,96.85,-28.3,-33.13,2.34,-1.35,0.36,0.36,0.35,0.41,83.59,248.68,-4.26,98.3,-10.52,-12.68,5.07,1.14,0.37,0.36,0.35,0.41,1.75,3.3,0.56
"1981-01-04",83.33,56.25,-78.86,98.12,-30.19,-34.98,2.46,0.08,0.36,0.36,0.35,0.41,83.3,0,-88.19,97.95,-32.32,-36.66,2,-0.53,0.36,0.36,0.35,0.41,83.36,255.81,-68.07,98.28,-27.29,-33.38,3.09,0.58,0.36,0.36,0.35,0.41,0.01,0.7,0.52
"1981-01-05",83.44,51.23,-50.8,98.09,-21.89,-25.96,2.59,-0.41,0.36,0.36,0.35,0.41,83.3,0,-79.22,97.7,-32.12,-35.51,1.9,-1.16,0.36,0.36,0.35,0.41,83.47,238.57,-10.23,98.64,-13.98,-19.01,3.18,0.6,0.36,0.36,0.35,0.41,0.17,1.35,0.49
"1981-01-06",83.43,48.95,-61.27,98.95,-16.25,-19.71,1.3,0.22,0.36,0.36,0.35,0.41,83.38,0,-72.46,98.68,-19.42,-21.87,-1.06,-1.15,0.36,0.36,0.35,0.41,83.46,216.27,-35.16,99.11,-12.32,-17.47,2.56,1.58,0.36,0.36,0.35,0.41,0.01,1.43,0.46
"1981-01-07",90.77,7.76,-0.24,97.66,-3.54,-4.59,-1.26,2.2,0.37,0.36,0.35,0.41,83.39,0,-23.2,96.44,-15.15,-17.92,-2.92,0.22,0.36,0.36,0.35,0.41,102.96,38.09,13.51,98.85,2.37,1.9,1.59,3.8,0.41,0.38,0.35,0.41,28.51,0.87,0.43
"1981-01-08",105.02,40.9,-53.38,97.03,-10.65,-14.55,3.52,0.57,0.39,0.38,0.35,0.41,104,0,-91.55,96.15,-17.98,-22.03,2.04,-0.73,0.38,0.38,0.35,0.41,105.24,189.93,-7.86,98.37,-1.22,-2.36,4.01,1.69,0.4,0.38,0.35,0.41,3.01,5.47,0.57
"1981-01-09",105.02,54.12,-67.07,99.41,-19.03,-22.97,1.36,0.51,0.38,0.37,0.35,0.41,104.97,0,-84.89,98.47,-22.1,-24.84,-1.24,-0.51,0.38,0.37,0.35,0.41,105.09,254.66,-20.53,99.93,-16.12,-21.28,3.39,1.37,0.38,0.38,0.35,0.41,0.05,1.39,0.55
"1981-01-10",108.55,20.1,-1.16,99.02,-12.27,-14.75,-1.38,-1.96,0.37,0.37,0.35,0.41,105.09,0,-16.88,96.92,-18.63,-21.68,-1.98,-4.22,0.37,0.37,0.35,0.41,118.87,103.37,7.46,99.9,-5.68,-7.58,-0.51,-0.44,0.38,0.37,0.35,0.41,13.8,1.14,0.54
"1981-01-11",130.13,36.54,-39.52,96.9,-13.24,-17.22,3.55,0.38,0.37,0.37,0.35,0.41,121.7,0,-82.99,96.02,-21.24,-25.53,0.07,-4.6,0.37,0.37,0.35,0.41,131.52,166.62,-4.86,98.35,-5.53,-7.42,4.9,2.84,0.37,0.37,0.35,0.41,13.03,5.04,0.53
"1981-01-12",131.36,59.22,-72.08,99.33,-22.67,-27.04,1.41,0.49,0.37,0.37,0.35,0.41,131.32,0,-86.79,98.46,-25.35,-28.38,-0.71,-1.63,0.36,0.37,0.35,0.41,131.42,264.21,-23.98,99.78,-19.63,-25.34,2.89,1.94,0.37,0.37,0.35,0.41,0.01,1.15,0.52
"1981-01-13",137.19,9.87,2.7,98.41,-17.14,-21.45,0.3,-2.77,0.36,0.36,0.35,0.41,131.33,0,-10.87,97.45,-22.18,-25.91,-1.35,-3.91,0.36,0.36,0.35,0.41,146.79,50.04,13.12,99.71,-13.94,-17.33,2.95,-1.57,0.36,0.37,0.35,0.41,15.51,1.99,0.5
"1981-01-14",147.96,51.65,-48.45,98.4,-15.19,-19.08,2.47,0.2,0.36,0.36,0.35,0.41,147.19,0,-88,97.61,-16.99,-20.33,1.91,-1.59,0.36,0.36,0.35,0.41,148.08,240.23,-2.83,99.05,-11.98,-17.76,3.32,0.97,0.36,0.36,0.35,0.41,1.37,2.6,0.49
"1981-01-15",147.94,60.25,-72.65,99.42,-17.32,-21.19,1.38,-0.25,0.36,0.36,0.34,0.41,147.88,0,-88.96,99.06,-20.29,-23.22,0.25,-1.56,0.36,0.36,0.34,0.41,147.99,266.07,-52.84,99.59,-13.15,-19.26,2.11,0.41,0.36,0.36,0.35,0.41,0,1.96,0.49
"1981-01-16",147.84,60.73,-65.98,99.22,-17.43,-20.97,0.76,-1.19,0.36,0.36,0.34,0.41,147.81,0,-86.69,99.05,-21.37,-24.09,0.05,-1.77,0.36,0.36,0.34,0.41,147.87,267.68,-33.05,99.5,-13.05,-18.26,1.72,-0.47,0.36,0.36,0.34,0.41,0.01,1.8,0.47
