"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",110.76,31.28,-54.64,99.49,-4.98,-8.05,2.5,0.56,0.37,0.36,0.34,0.41,110.62,0,-86.89,98.23,-8.1,-10.32,0.51,-1.49,0.36,0.36,0.34,0.41,110.89,158.97,-18.68,100.64,-3.17,-5.48,3.38,4.08,0.37,0.36,0.34,0.41,0.47,5.78,1.66
"1981-01-02",111.39,13.79,-25.07,100.32,-5.78,-7.54,-1.28,-1.72,0.36,0.36,0.34,0.41,110.71,0,-49.46,99.83,-7.86,-10.03,-2.57,-2.68,0.36,0.36,0.34,0.41,112,68.5,-6.37,100.65,-4.27,-6.24,-0.26,-0.82,0.36,0.36,0.34,0.41,1.34,1.25,1.61
"1981-01-03",118.15,21.62,-35.98,97.83,-3.36,-6.81,-1.53,3.53,0.36,0.36,0.34,0.41,112.01,0,-81.67,97.04,-9.83,-15.37,-7.12,-0.94,0.35,0.36,0.34,0.41,120.36,123.9,-5.71,99.68,0.94,-1.21,3.91,6.1,0.36,0.36,0.34,0.41,8.53,11.65,1.58
"1981-01-04",119.89,27.55,-47.88,98.73,-10.19,-15.39,2.54,4.18,0.35,0.36,0.34,0.41,119.78,0,-73.09,97.89,-12.01,-17.86,-0.07,1.27,0.35,0.35,0.34,0.41,120.28,132.74,-11.83,99.05,-8.96,-12.13,4.14,5.77,0.35,0.36,0.34,0.41,0.93,9.97,1.53
"1981-01-05",122.78,16.3,-36.34,98.47,-10.35,-13.78,1.7,1.71,0.35,0.35,0.34,0.41,120.33,0,-89.18,98.1,-13.12,-17.36,0.34,0.18,0.35,0.35,0.34,0.41,124.38,77.97,-7.04,98.98,-8.56,-11.86,3.6,4.06,0.35,0.35,0.34,0.41,4.37,2.89,1.48
"1981-01-06",124.52,34.74,-71.13,99.57,-8.82,-12.1,3.77,1.06,0.35,0.35,0.34,0.41,124.46,0,-84.24,98.31,-9.62,-12.91,2.22,0.43,0.35,0.35,0.34,0.41,124.57,171.03,-40.96,100.43,-7.23,-11.34,4.9,2.99,0.35,0.35,0.34,0.41,0.25,4.53,1.44
"1981-01-07",124.57,32.61,-45.77,100.81,-6.01,-8.8,0.07,2.67,0.35,0.35,0.34,0.41,124.45,0,-80.41,100.46,-9.53,-12.34,-1.92,1.16,0.35,0.35,0.34,0.41,124.68,160.84,-11.02,101.04,-1.89,-3.85,1.87,4.77,0.35,0.35,0.34,0.41,0.31,2.98,1.41
"1981-01-08",125.94,9.56,-25.23,99.19,0.43,-2.31,-2.04,6.76,0.36,0.35,0.33,0.41,124.72,0,-76.13,98.29,-2.52,-6.85,-4.78,4.35,0.35,0.35,0.33,0.41,127.37,57.83,-5.06,100.62,3.45,1.6,2.66,8.66,0.38,0.35,0.34,0.41,5.24,15.04,1.38
"1981-01-09",126.49,32.2,-68.74,100.14,-7.16,-12.33,2.59,3.6,0.37,0.35,0.33,0.41,126.38,0,-91.79,98.78,-8.83,-14.11,1.53,2.16,0.36,0.35,0.33,0.4,126.88,150.74,-39.31,101.61,-3.53,-8.93,3.98,4.5,0.37,0.35,0.33,0.41,0.48,10.94,1.34
"1981-01-10",126.31,28.87,-43.37,102.01,-7.61,-11.1,-1.26,1.85,0.36,0.35,0.33,0.4,126.22,0,-69.44,101.46,-10.27,-13.26,-5.23,0.56,0.36,0.35,0.33,0.4,126.41,168.76,-6.77,102.32,-3.06,-5.99,1.13,3.3,0.36,0.35,0.33,0.4,0.24,3.64,1.31
"1981-01-11",128.98,12.48,-36.65,99.34,1.42,-1.44,-2.88,5.02,0.39,0.37,0.33,0.4,126.46,0,-99.53,98.55,-3.38,-9.15,-6.95,0.43,0.35,0.35,0.33,0.4,133.5,74.95,4.17,101.21,5.94,4.92,1.91,7.23,0.43,0.39,0.33,0.4,12.27,12.61,1.28
"1981-01-12",125.9,34.33,-78.41,100.77,-5.14,-10.55,1.64,3.73,0.39,0.38,0.33,0.4,125.58,0,-100.87,99.81,-7.57,-11.07,1.03,1.19,0.38,0.38,0.33,0.4,126.37,179.02,-59.44,101.32,-3.68,-9.89,2.59,5.05,0.4,0.39,0.33,0.4,0.03,12.01,1.26
"1981-01-13",127.87,12.11,-26.43,100.7,-7.05,-9.72,-1.52,-1.62,0.38,0.38,0.33,0.4,125.46,0,-79.55,99.09,-11.1,-13.84,-4.46,-3.89,0.37,0.38,0.33,0.4,134.54,67.13,-3.89,101.38,-3.01,-4.23,2.76,1.75,0.38,0.38,0.33,0.4,9.08,2.45,1.23
