"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",45.58,36.02,-37.45,100.93,-20.91,-24.76,-0.7,-0.35,0.35,0.35,0.37,0.41,45.55,0,-62.46,100.37,-26.85,-29.91,-1.37,-1.65,0.35,0.35,0.37,0.41,45.59,165.13,-13.06,101.22,-16.21,-21.19,0.58,1.14,0.35,0.35,0.37,0.41,0,0.16,0.27
"1981-01-02",47.45,17.9,-26.3,99.89,-13.37,-16.62,1.69,0.5,0.34,0.35,0.37,0.41,45.55,0,-85.69,99.49,-21.95,-27.18,-1.57,-0.62,0.34,0.35,0.37,0.41,48.5,89.28,13.52,100.54,-6.88,-9.11,5.26,2.91,0.35,0.35,0.37,0.41,3.08,0.43,0.25
"1981-01-03",48.41,42.01,-77.1,100.89,-29.66,-34.5,3.02,1.14,0.34,0.35,0.37,0.41,48.39,0,-85.86,100.59,-34.98,-38.89,1.82,0.08,0.34,0.35,0.37,0.41,48.45,188.67,-64.88,101.05,-23.16,-28.34,4.58,1.89,0.34,0.35,0.37,0.41,0.01,0.16,0.24
"1981-01-04",48.56,32.71,-32.13,100.97,-33.11,-37.51,2.84,1.62,0.34,0.35,0.37,0.41,48.39,0,-62.41,100.75,-40.16,-43.5,1.88,0.22,0.34,0.35,0.36,0.41,49.22,151.79,0.63,101.19,-24.8,-28.92,3.64,2.35,0.34,0.35,0.37,0.41,0.87,0.11,0.23
"1981-01-05",49.55,36.1,-47.41,101.18,-19.21,-23.17,3.07,2.05,0.34,0.35,0.36,0.41,49.31,0,-76.47,100.76,-23.94,-28.04,1.84,1.77,0.34,0.35,0.36,0.41,49.62,158.16,-3.1,101.47,-15.09,-20.06,3.77,2.51,0.34,0.35,0.36,0.41,0.45,0.33,0.21
"1981-01-06",49.95,29.98,-25.61,100.75,-13.08,-16.46,-0.15,2.07,0.34,0.35,0.36,0.41,49.57,0,-63.32,99.9,-20.58,-23.43,-1.46,1.65,0.34,0.35,0.36,0.41,51.04,139.98,-4.37,101.41,-7.16,-9.78,1.45,2.61,0.34,0.35,0.36,0.41,1.54,0.36,0.2
"1981-01-07",54.99,24.14,-35.81,99.1,-5.95,-8.86,1.21,2.85,0.34,0.35,0.36,0.41,51.49,0,-87.04,98.75,-14.26,-17.61,-1.48,2.27,0.34,0.35,0.36,0.4,56.14,131.12,-8.06,99.78,-1.46,-5.31,5.05,3.62,0.34,0.35,0.36,0.41,5.31,0.86,0.19
"1981-01-08",56.81,36.32,-55.43,100.17,-17.28,-21.83,4.51,2.12,0.34,0.35,0.36,0.4,56.11,0,-84.76,99.12,-20.4,-23.79,2.72,1.36,0.34,0.35,0.36,0.4,57.03,166.17,-13.91,101.28,-14.77,-18.12,5.46,3.71,0.34,0.35,0.36,0.4,1.12,0.73,0.18
"1981-01-09",56.97,36.95,-48.11,101.5,-19.29,-22.93,0.04,1.37,0.34,0.35,0.36,0.4,56.93,0,-76.15,101.35,-23.52,-26.39,-1.8,-0.46,0.34,0.34,0.36,0.4,57.05,183,-27.01,101.67,-14.59,-19.73,2.48,2.03,0.34,0.35,0.36,0.4,0.14,0.18,0.18
"1981-01-10",57.25,38.59,-40.39,101.23,-15.89,-19.03,0.13,-0.05,0.34,0.34,0.36,0.4,57.07,0,-74.61,100.76,-19.46,-21.99,-1.84,-1.29,0.34,0.34,0.35,0.4,57.63,183.97,-20.41,101.41,-12.14,-15.98,3.64,1.41,0.34,0.34,0.36,0.4,0.6,0.19,0.17
"1981-01-11",58.21,31.49,-29.69,100.57,-22.06,-26.41,4.23,2.15,0.34,0.34,0.35,0.4,57.66,0,-45.64,100.3,-24.48,-29.13,3.67,-0.56,0.34,0.34,0.35,0.4,59.08,147.71,-15.87,101.09,-16.64,-20.02,5.07,3.63,0.34,0.34,0.35,0.4,1.65,0.44,0.16
"1981-01-12",59.57,38.33,-45.23,101.63,-23.91,-28.11,1.56,1.97,0.34,0.34,0.35,0.4,59.19,0,-79.13,101.16,-28.14,-30.99,-1.69,0.03,0.34,0.34,0.35,0.4,59.65,171.78,-10.68,101.9,-20.99,-25.95,3.58,2.93,0.34,0.34,0.35,0.4,0.63,0.26,0.16
"1981-01-13",59.63,44.88,-52.19,101.31,-27.22,-30.87,0,-0.01,0.34,0.34,0.35,0.4,59.62,0,-78.84,100.93,-32.7,-35.31,-2.09,-1.79,0.34,0.34,0.35,0.4,59.63,198.29,-32.4,101.84,-21.67,-26.94,1.69,1.57,0.34,0.34,0.35,0.4,0,0.11,0.15
"1981-01-14",59.62,45.47,-52.88,101.07,-24.66,-28.72,0.55,1.44,0.34,0.34,0.35,0.4,59.62,0,-76.63,100.87,-30.11,-32.91,-1.17,0.45,0.34,0.34,0.35,0.4,59.63,196.75,-37.86,101.35,-19.28,-24.55,1.31,2.06,0.34,0.34,0.35,0.4,0,0.15,0.14
"1981-01-15",59.61,45.35,-48.67,101.58,-21.96,-26.01,-1.07,-0.5,0.34,0.34,0.35,0.4,59.61,0,-73.2,101.36,-28.97,-31.7,-1.89,-1.55,0.34,0.34,0.35,0.4,59.62,198.77,-31.3,101.72,-15.63,-21.3,-0.05,1.3,0.34,0.34,0.35,0.4,0,0.18,0.14
"1981-01-16",59.66,36.99,-31.96,101.4,-19.53,-23.1,-0.91,-1.08,0.34,0.34,0.35,0.4,59.61,0,-46.22,101.12,-26.98,-29.34,-1.8,-2.02,0.34,0.34,0.35,0.4,59.81,175.68,-11.53,101.65,-14.02,-18.92,-0.36,-0.24,0.34,0.34,0.35,0.4,0.23,0.2,0.14
