"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",46.14,25.33,-54.17,93.58,-11.33,-15.21,1.78,0.56,0.37,0.36,0.36,0.33,46.09,0,-76.72,93.09,-17.34,-20.09,0.46,-1.42,0.37,0.36,0.36,0.33,46.16,133.74,-41.25,94.2,-4.67,-10.05,2.84,1.49,0.37,0.36,0.36,0.33,0,0.17,NA
"1981-01-02",46.08,22.55,-48.89,93.44,-11.69,-14.07,-0.55,0.26,0.37,0.36,0.36,0.33,46.07,0,-73.67,93.14,-16.79,-18.24,-1.7,-0.94,0.37,0.36,0.36,0.33,46.09,120.84,-30.32,93.68,-6.68,-11.04,2.34,0.77,0.37,0.36,0.36,0.33,0,0,NA
"1981-01-03",46.07,26.88,-51,93.02,-13.23,-16.69,2.06,0.57,0.36,0.36,0.36,0.33,46.06,0,-81.37,92.91,-18.6,-21.53,1.58,0.35,0.36,0.36,0.36,0.33,46.08,142.19,-34.18,93.13,-5.2,-10.32,2.37,0.93,0.37,0.36,0.36,0.33,0,-0.03,NA
"1981-01-04",46.01,22.68,-44.11,93.09,-3,-7.12,2.79,0.24,0.36,0.36,0.36,0.33,45.92,0,-88.5,93.04,-11.83,-14.55,2.2,-0.56,0.36,0.36,0.36,0.33,46.07,124.17,8.49,93.16,3.9,-1.13,3.95,0.79,0.36,0.36,0.36,0.33,0.06,0.74,NA
"1981-01-05",45.76,26.2,-74.33,93.49,-0.11,-3.55,3.25,-0.88,0.36,0.36,0.36,0.33,45.6,0,-98.81,93.13,-8.02,-9.01,1.34,-1.91,0.36,0.36,0.36,0.33,45.96,139.03,-39.21,93.75,2.13,-1.72,4.84,0.59,0.36,0.36,0.36,0.33,0,1.56,NA
"1981-01-06",46.79,9.67,-19.09,92.87,-5.59,-7.52,0.54,0.28,0.36,0.36,0.36,0.33,45.61,0,-65.59,92.22,-11.26,-12.27,-1.76,-2.08,0.36,0.36,0.36,0.33,49.57,57.27,8.98,93.74,2.85,-2.56,4.82,1.17,0.36,0.36,0.36,0.33,3.97,0.4,NA
"1981-01-07",49.43,22.93,-48.61,92.86,-0.65,-3.03,1.72,-0.49,0.36,0.36,0.36,0.33,49.31,0,-77.3,92.47,-3.53,-4.05,-0.76,-2.24,0.36,0.36,0.36,0.33,49.98,129.38,-10.56,93.08,2.09,-2.47,4.69,1.38,0.36,0.36,0.36,0.33,0.67,1,NA
"1981-01-08",51.17,11.29,-10.89,93.32,-5.42,-6.7,-1.25,-0.76,0.36,0.36,0.36,0.33,50.14,0,-19.3,92.82,-9.4,-10.91,-2.79,-1.76,0.36,0.36,0.35,0.33,51.83,65.32,0.14,93.77,-3.42,-4.12,1.3,0.24,0.36,0.36,0.36,0.33,1.99,0.3,NA
"1981-01-09",52.48,20.58,-28.66,93.28,-7.01,-8.84,-0.64,0.49,0.36,0.36,0.35,0.33,51.86,0,-76.79,93.12,-8.6,-10.26,-2.61,-0.32,0.36,0.36,0.35,0.33,52.78,108.42,1.02,93.54,-3.08,-6.31,2.62,1.88,0.36,0.36,0.35,0.33,0.98,0.14,NA
"1981-01-10",52.76,29.17,-54.73,93.71,-7.86,-10.53,1.52,0.99,0.36,0.36,0.35,0.33,52.75,0,-91.59,93.4,-10.83,-12.9,0.08,0.47,0.36,0.36,0.35,0.33,52.78,149.15,-28.69,93.85,-3.24,-8.25,2.73,1.79,0.36,0.36,0.35,0.33,0,-0.01,NA
"1981-01-11",52.74,29.46,-51.75,93.59,-9.21,-11.94,1.64,0.93,0.36,0.35,0.35,0.33,52.7,0,-82.48,93.27,-12.02,-14.48,1.02,0.55,0.36,0.35,0.35,0.33,52.76,150.16,-33.24,93.74,-3.64,-7.66,2.03,1.28,0.36,0.35,0.35,0.33,0,0.14,NA
"1981-01-12",52.65,29.46,-51.46,93.2,-4.76,-8.79,2.16,0.3,0.36,0.35,0.35,0.33,52.53,0,-90.68,92.98,-12.32,-14.9,1.5,-0.26,0.35,0.35,0.35,0.33,52.7,150.51,1.62,93.49,2.94,-3.78,2.68,0.81,0.36,0.35,0.35,0.33,0,0.43,NA
"1981-01-13",52.49,29.85,-56.85,93.68,-6.38,-9.26,1.92,0.3,0.35,0.35,0.35,0.33,52.44,0,-81.11,93.53,-10.83,-13.33,1.21,-0.33,0.35,0.35,0.35,0.33,52.53,151.01,-38.37,93.81,-0.06,-4.6,2.43,0.78,0.35,0.35,0.35,0.33,0,0.26,NA
"1981-01-14",52.44,30.59,-52.84,93.83,-6.47,-9.13,0.67,0.18,0.35,0.35,0.35,0.33,52.43,0,-84.68,93.76,-11.48,-13.31,-1.82,-0.14,0.35,0.35,0.35,0.33,52.45,154.26,-38.94,93.91,0.15,-4.88,2.2,0.55,0.35,0.35,0.35,0.33,0,0.02,NA
"1981-01-15",52.46,23.92,-34.92,93.77,-8.93,-10.45,-1.21,0.3,0.35,0.35,0.35,0.33,52.43,0,-75.1,93.42,-13.65,-15.27,-2,-0.72,0.35,0.35,0.35,0.33,52.48,126.56,5.62,93.94,-3.29,-5.41,-0.34,1.26,0.35,0.35,0.35,0.33,0.04,0.03,NA
"1981-01-16",52.49,24.66,-45.67,93.12,-10.34,-12.33,-0.35,0.34,0.35,0.35,0.35,0.33,52.48,0,-82.01,92.94,-16.29,-18.06,-1.74,-0.84,0.35,0.35,0.35,0.33,52.5,123.95,0.84,93.4,-6.43,-9.6,0.94,0.91,0.35,0.35,0.35,0.33,0.01,0.06,NA
"1981-01-17",52.48,35.39,-59.89,92.47,-12.28,-15.6,0.83,0.6,0.35,0.35,0.35,0.33,52.46,0,-100.24,92.19,-14.97,-17.71,-0.11,-0.13,0.35,0.35,0.35,0.33,52.49,172.9,-36.12,92.84,-7.61,-12.66,2.66,1.07,0.35,0.35,0.35,0.33,0,0.02,NA
"1981-01-18",52.42,33.96,-61.91,92.76,-4.19,-7.82,2.11,1,0.35,0.35,0.35,0.33,52.33,0,-96.14,92.46,-11.13,-15.71,1.19,0.45,0.35,0.35,0.35,0.33,52.46,166.32,-36.15,92.89,2.39,-2.72,3.01,1.64,0.35,0.35,0.35,0.33,0,0.38,NA
"1981-01-19",52.28,33.23,-48.93,92.69,-3.7,-5.99,1.29,1.27,0.35,0.35,0.35,0.33,52.17,0,-78,92.47,-7.72,-9.73,0.74,1,0.35,0.35,0.35,0.33,52.34,164.86,-30.03,92.9,3.1,-0.9,1.69,1.77,0.35,0.35,0.35,0.33,0,0.27,NA
