"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",126.95,5.39,-3.83,88.43,-10.5,-13.69,0.8,0.99,0.21,0.21,0.21,0.25,126.91,0,-28.8,88.23,-13.1,-15.95,0.16,0.59,0.21,0.21,0.21,0.25,127.09,36.66,15.55,88.53,-7.56,-11.17,1.11,1.35,0.21,0.21,0.21,0.25,0.18,-0.01,NA
"1981-01-02",127.25,3.94,-3,88.04,-7.29,-10.42,0.73,0.93,0.21,0.21,0.21,0.25,127.09,0,-25.32,87.91,-9.12,-13.07,0.47,0.29,0.21,0.21,0.21,0.25,127.96,25.05,10.87,88.23,-4.93,-7.46,0.93,1.24,0.21,0.21,0.21,0.25,0.86,-0.03,NA
"1981-01-03",130.02,6.27,-9.92,87.82,-5.53,-7.25,0.71,1.03,0.21,0.21,0.21,0.25,128.02,0,-35.87,87.71,-6.73,-8.22,0.1,0.46,0.21,0.21,0.21,0.25,130.89,41.99,9.54,87.92,-4.58,-5.72,1.16,1.39,0.21,0.21,0.21,0.25,2.92,-0.05,NA
"1981-01-04",131.1,4.98,-31.24,88.08,-5.99,-7.22,1.56,1.45,0.21,0.21,0.21,0.25,130.93,0,-64.68,87.89,-8.67,-9.42,1.02,1.09,0.21,0.21,0.21,0.25,131.33,31.36,0.65,88.47,-2.95,-4.98,2.48,1.85,0.21,0.21,0.21,0.25,0.38,-0.15,NA
"1981-01-05",131.41,6.75,-30.21,88.57,-9.08,-10.19,0.59,0.45,0.22,0.21,0.21,0.25,131.33,0,-61.83,87.99,-10.83,-12.11,-0.87,-0.62,0.21,0.21,0.21,0.25,131.99,43.14,7.57,88.78,-5.81,-7.45,2.41,1.55,0.22,0.21,0.21,0.25,0.65,-0.09,NA
"1981-01-06",136.19,6.11,-16.51,87.57,-10.31,-11.74,0.03,0.42,0.21,0.21,0.21,0.25,132.33,0,-57.55,87.41,-10.98,-12.39,-0.87,-0.58,0.21,0.21,0.21,0.25,137.48,38.16,5.29,87.88,-9.07,-10.72,1.16,1.7,0.21,0.21,0.21,0.25,5.49,-0.02,NA
"1981-01-07",137.82,7,-16.67,87.72,-10.23,-11.47,0.29,0.72,0.21,0.21,0.21,0.25,137.48,0,-38.49,87.61,-11.77,-12.95,-1.26,-0.07,0.21,0.21,0.21,0.25,139.34,43.63,10.41,87.81,-8.7,-10.03,1.27,1.57,0.21,0.21,0.21,0.25,1.84,-0.07,NA
"1981-01-08",140.58,4.81,-8.78,87.91,-11.94,-13.45,-1.09,-0.15,0.21,0.21,0.21,0.25,139.62,0,-17.27,87.57,-13.57,-15.15,-1.36,-0.69,0.21,0.21,0.21,0.25,140.94,30.6,3.19,88.08,-10.08,-11.29,-0.78,0.18,0.21,0.21,0.21,0.25,1.62,0.03,NA
"1981-01-09",142.84,9.05,-23.65,87.43,-12.88,-14.69,-0.38,0.4,0.21,0.21,0.21,0.25,140.97,0,-59.59,87.19,-13.92,-15.53,-0.92,-0.39,0.21,0.21,0.21,0.25,143.78,59.63,6.33,87.72,-11.46,-13.47,0.63,1.34,0.21,0.21,0.21,0.25,2.85,0.02,NA
"1981-01-10",144.57,5.07,-13.47,87.78,-11.54,-13.27,0.3,0.67,0.21,0.21,0.21,0.25,144,0,-47.76,87.69,-13.16,-15.17,-0.32,0.25,0.21,0.21,0.21,0.25,145.19,30.71,23.09,87.84,-10.12,-11.7,0.79,1.37,0.21,0.21,0.21,0.25,1.4,-0.04,NA
"1981-01-11",145.29,8.02,-13.38,87.95,-9.86,-11.39,0.56,0.82,0.21,0.21,0.21,0.25,145.24,0,-37.4,87.79,-12.34,-13.57,0.28,0.38,0.21,0.21,0.21,0.25,145.52,49.62,24.18,88.09,-8.33,-9.97,0.84,1.31,0.21,0.21,0.21,0.25,0.31,-0.07,NA
"1981-01-12",146.03,11,-26.02,88.13,-11.75,-12.85,1.02,0.94,0.21,0.21,0.21,0.25,145.68,0,-53.13,87.82,-14.32,-15.6,0.01,0.06,0.21,0.21,0.21,0.25,146.07,66.68,18.31,88.38,-9.08,-10.45,1.47,1.39,0.21,0.21,0.21,0.25,0.53,-0.07,NA
"1981-01-13",148.13,8.79,-8.46,88.35,-10.11,-11.59,-0.12,0.23,0.21,0.21,0.21,0.25,146.1,0,-37.23,88.18,-11.61,-12.88,-0.73,-0.49,0.21,0.21,0.21,0.25,149.47,55.12,13.54,88.5,-8.12,-9.91,0.54,0.84,0.21,0.21,0.21,0.25,3.39,-0.03,NA
"1981-01-14",150.15,3.25,-7.87,88.32,-6.49,-9.02,0.04,0.62,0.21,0.21,0.21,0.25,149.51,0,-37.16,88.15,-8.91,-10.99,-0.76,0.03,0.21,0.21,0.21,0.25,150.5,16.28,25.23,88.43,-4.51,-7.71,0.52,0.98,0.21,0.21,0.21,0.25,1.02,-0.05,NA
"1981-01-15",150.51,10.65,-32.32,87.8,-7.57,-11.57,0.42,0.79,0.21,0.21,0.21,0.25,150.5,0,-45.53,87.5,-9.32,-13.17,0.26,0.1,0.21,0.21,0.21,0.25,150.52,66.23,-4.22,88.18,-5.63,-8.78,0.62,1.03,0.21,0.21,0.21,0.25,0.01,-0.06,NA
"1981-01-16",150.57,7.75,-4.22,87.45,-5.61,-10.79,0.18,0.62,0.21,0.21,0.21,0.25,150.52,0,-31.02,87.37,-8.27,-12.9,-0.43,0.13,0.21,0.21,0.21,0.25,150.71,45.23,18.7,87.52,-4.32,-9.49,1.1,1.03,0.21,0.21,0.21,0.25,0.19,-0.02,NA
"1981-01-17",150.72,12.11,-31.95,87.27,-9.91,-11.71,0.5,0.61,0.21,0.21,0.21,0.25,150.71,0,-43.67,87.11,-12.44,-13.71,-0.25,-0.13,0.21,0.21,0.21,0.25,150.73,75.04,0.92,87.52,-7.04,-8.64,1.03,0.97,0.21,0.21,0.21,0.25,0,-0.05,NA
