"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",184.08,33.69,-64.23,83.1,-7.55,-10.6,-0.03,-0.29,0.35,0.35,0.36,0.38,184.07,0,-88.5,82.82,-10.43,-13.36,-0.24,-0.41,0.35,0.35,0.36,0.38,184.08,173.58,-41.39,83.38,-5.02,-7.86,0.18,-0.01,0.35,0.35,0.36,0.38,0,0.93,0.88
"1981-01-02",184.09,35.26,-55.87,82.8,-10.21,-14.75,-0.19,-0.15,0.35,0.35,0.36,0.38,184.08,0,-85.36,82.74,-12.47,-16.84,-0.51,-0.34,0.34,0.35,0.36,0.38,184.1,172.55,-36.95,82.91,-6.64,-13.05,0.03,0.05,0.35,0.35,0.36,0.38,0,0.42,0.84
"1981-01-03",184.11,33.18,-42.38,82.81,-10.37,-14.89,-0.16,-0.2,0.34,0.35,0.36,0.38,184.1,0,-70.93,82.67,-12.54,-16.77,-0.32,-0.32,0.34,0.35,0.36,0.38,184.12,164.8,-24.92,82.91,-6.85,-12.8,0.02,-0.07,0.34,0.35,0.36,0.38,0,0.51,0.82
"1981-01-04",184.14,24.71,-20.84,83.12,-9.54,-13.5,-0.08,-0.23,0.34,0.35,0.36,0.38,184.12,0,-56.8,82.92,-11.71,-15.53,-0.28,-0.41,0.34,0.35,0.36,0.38,184.26,108.66,20.29,83.29,-6.92,-11.56,0.13,-0.05,0.34,0.35,0.36,0.38,0.13,0.14,0.84
"1981-01-05",184.29,27.22,-28.88,83.17,-8.59,-11.3,-0.36,-0.18,0.34,0.35,0.36,0.38,184.26,0,-53.69,82.91,-10.65,-13.07,-0.72,-0.36,0.34,0.35,0.36,0.38,184.32,140.54,-8.2,83.33,-6.86,-9.91,0.08,-0.04,0.34,0.35,0.36,0.38,0.01,0.36,0.85
"1981-01-06",186.05,17.47,-23.21,82.63,-7.57,-9.79,-0.42,0.04,0.34,0.35,0.36,0.38,184.32,0,-54.02,82.46,-9.3,-11.19,-0.78,-0.15,0.34,0.35,0.36,0.38,187.73,107.35,13.78,82.88,-4.27,-7.59,0.06,0.32,0.34,0.35,0.36,0.38,3.38,0.32,0.87
"1981-01-07",187.77,15.44,-14.66,82.52,-8.32,-10.4,-0.42,-0.13,0.34,0.35,0.36,0.38,187.73,0,-38.31,82.32,-10.59,-12.57,-0.82,-0.38,0.34,0.35,0.36,0.38,187.84,82.75,9.69,82.72,-5.66,-7.8,0.08,0.17,0.34,0.35,0.36,0.38,0.07,0.31,0.84
"1981-01-08",187.89,25.12,-27.37,82.42,-7.12,-9.27,-0.5,0.05,0.34,0.35,0.35,0.38,187.85,0,-45.48,82.32,-8.97,-10.72,-0.93,-0.28,0.34,0.35,0.35,0.38,188,133.42,-4.76,82.54,-4.25,-8.1,-0.05,0.36,0.34,0.35,0.35,0.38,0.13,0.58,0.86
"1981-01-09",188.13,22.43,-27.15,82.85,-6.09,-8.49,-0.54,0.22,0.34,0.35,0.35,0.38,188.02,0,-59.05,82.5,-7.24,-9.65,-0.73,0.03,0.34,0.34,0.35,0.38,188.28,110.57,0.6,83.2,-4.02,-6.63,-0.38,0.49,0.34,0.35,0.35,0.38,0.25,0.57,0.79
"1981-01-10",188.31,30.2,-40.37,83.24,-6.45,-8.35,-0.73,0.04,0.34,0.34,0.35,0.38,188.29,0,-74.14,83.14,-8.28,-9.37,-0.96,-0.12,0.34,0.34,0.35,0.38,188.31,154.26,-2.63,83.32,-4.44,-7.14,-0.47,0.24,0.34,0.34,0.35,0.38,0.03,0.89,0.77
"1981-01-11",188.32,37.16,-49.23,83.1,-7.71,-10.99,-0.55,0.02,0.34,0.34,0.35,0.38,188.31,0,-73.61,82.86,-10.11,-12.31,-0.87,-0.13,0.34,0.34,0.35,0.38,188.33,179.08,-9.18,83.22,-4.87,-9.56,-0.39,0.23,0.34,0.34,0.35,0.38,0,1.1,0.77
"1981-01-12",188.32,33.52,-34.95,83,-5.57,-10.21,-0.35,-0.03,0.34,0.34,0.35,0.38,188.31,0,-69.33,82.85,-7.54,-11.63,-0.63,-0.2,0.34,0.34,0.35,0.38,188.33,176.88,0.52,83.14,-2.33,-8.79,-0.15,0.19,0.34,0.34,0.35,0.38,0,1.37,0.75
"1981-01-13",188.31,31.2,-43.65,83.22,-6.72,-11.07,-0.25,-0.2,0.34,0.34,0.35,0.38,188.3,0,-66.39,83.13,-8.54,-12.43,-0.54,-0.34,0.34,0.34,0.35,0.38,188.31,144.94,-27.4,83.33,-3.55,-9.54,-0.1,-0.05,0.34,0.34,0.35,0.38,0,1.07,0.73
"1981-01-14",188.31,39.14,-49.75,83.04,-7.68,-12.27,-0.17,-0.29,0.34,0.34,0.35,0.38,188.3,0,-79.25,82.82,-9.98,-13.85,-0.46,-0.37,0.34,0.34,0.35,0.38,188.31,190.7,-33.11,83.19,-3.63,-10.45,0,-0.13,0.34,0.34,0.35,0.38,0,1.05,0.7
"1981-01-15",188.31,41.4,-53.72,82.68,-9.3,-13.62,-0.38,-0.09,0.34,0.34,0.35,0.38,188.31,0,-82.59,82.53,-11.43,-15.06,-0.71,-0.31,0.34,0.34,0.35,0.38,188.31,191.27,-39.92,82.82,-5.68,-11.42,-0.19,0.12,0.34,0.34,0.35,0.38,0,1.24,0.61
"1981-01-16",188.3,42.64,-59.05,82.35,-10.98,-15.5,-0.39,-0.09,0.34,0.34,0.35,0.38,188.28,0,-87.22,82.14,-13.52,-17.09,-0.59,-0.21,0.34,0.34,0.35,0.38,188.31,204.5,-35.96,82.5,-6.42,-13.06,-0.18,0.14,0.34,0.34,0.35,0.38,0,1.51,0.56
"1981-01-17",188.28,38.17,-45.03,82.11,-12.94,-17.2,-0.48,0.07,0.34,0.34,0.35,0.38,188.27,0,-64.14,81.85,-16.39,-19.34,-0.74,-0.17,0.34,0.34,0.35,0.38,188.29,180.4,-9.86,82.47,-8.72,-14.32,-0.28,0.36,0.34,0.34,0.35,0.38,0.02,1.37,0.54
"1981-01-18",188.28,33.75,-18.33,82.65,-9.25,-13.26,-0.8,0.13,0.34,0.34,0.35,0.38,188.28,0,-44.56,82.51,-12.31,-16.29,-1.1,-0.13,0.34,0.34,0.35,0.38,188.29,166.91,3.89,82.76,-5.43,-10.03,-0.5,0.38,0.34,0.34,0.35,0.38,0,1.42,0.57
"1981-01-19",188.28,26.36,-23.26,82.53,-5.98,-8.88,-0.69,0.13,0.34,0.34,0.35,0.38,188.28,0,-42.13,82.39,-7.76,-10.18,-0.87,-0.01,0.34,0.34,0.35,0.38,188.31,121.23,-5.24,82.7,-2.75,-5.96,-0.44,0.3,0.34,0.34,0.35,0.38,0,1.18,0.58
