"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",36.42,40.05,-25.66,99.83,-17.62,-21.65,-0.87,-1.26,0.24,0.24,0.27,0.28,36.29,0,-46.74,99.15,-23.01,-25.75,-1.11,-1.84,0.24,0.24,0.27,0.28,37.07,168.49,9.19,100.3,-13.05,-15.81,-0.51,-0.89,0.24,0.24,0.27,0.28,0.82,1.53,NA
"1981-01-02",39.68,42.74,-42.78,99.34,-14.22,-18.37,2,-1.17,0.24,0.24,0.27,0.28,37.44,0,-95.15,98.78,-22.78,-27.15,-0.22,-1.56,0.24,0.24,0.26,0.28,40.19,210.18,8.48,100.27,-10.28,-14.7,3.71,-0.63,0.24,0.24,0.27,0.28,3.27,3.31,NA
"1981-01-03",40.02,56.54,-79.18,100.24,-27.8,-32.7,0.09,-1.25,0.24,0.24,0.26,0.28,39.98,0,-91.42,100.05,-30.38,-34.55,-0.82,-2.05,0.24,0.24,0.26,0.28,40.06,246.56,-46.42,100.34,-23.94,-27.73,1.72,-0.54,0.24,0.24,0.26,0.28,0.02,0.72,NA
"1981-01-04",40.03,43.41,-50.29,100.55,-29.07,-33.94,1.85,-0.61,0.23,0.24,0.26,0.28,39.98,0,-79.73,100.3,-34.4,-38.55,0.49,-1.86,0.23,0.24,0.26,0.28,40.11,190.83,-14.43,100.71,-23.95,-27.46,2.5,0.42,0.24,0.24,0.26,0.28,0.21,0.59,NA
"1981-01-05",40.11,55.52,-56.4,100.85,-19.61,-23.38,1.62,0.71,0.23,0.24,0.26,0.28,40.06,0,-80.97,100.6,-23.94,-27.18,0.57,0.02,0.23,0.23,0.26,0.28,40.14,245.32,-8,101.09,-15,-18.27,2.24,1.94,0.23,0.24,0.26,0.28,0.12,1.06,NA
"1981-01-06",41.8,22.11,-11.13,99.65,-8.62,-11.36,0.51,2.75,0.23,0.23,0.26,0.28,40.17,0,-17.13,98.62,-15.4,-17.81,-0.01,1.36,0.23,0.23,0.26,0.28,44.7,98.04,2.88,100.54,-5.24,-7.2,1.25,3.69,0.23,0.23,0.26,0.28,4.71,2.71,NA
"1981-01-07",48.11,47.97,-45.24,98.43,-7.83,-11.29,2.52,1.35,0.23,0.23,0.26,0.28,45.26,0,-97.13,97.92,-17.38,-21.94,0.03,-1.12,0.23,0.23,0.26,0.28,48.77,236.01,-8.56,99.29,-3.55,-4.82,4.25,3.3,0.23,0.23,0.26,0.28,4.34,5.2,NA
"1981-01-08",48.63,56.98,-76.88,100.07,-19.38,-23.73,2.43,0.19,0.23,0.23,0.26,0.28,48.56,0,-90.55,99.34,-22.47,-26.37,1.55,-0.52,0.23,0.23,0.26,0.28,48.68,248.82,-53.63,100.7,-15.9,-21.21,3.35,1.53,0.23,0.23,0.26,0.28,0.04,1.73,NA
"1981-01-09",48.77,39.53,-35.71,100.46,-15.22,-18.33,0.28,1.93,0.23,0.23,0.26,0.28,48.56,0,-74.92,100.28,-21,-23.79,-0.25,0.8,0.23,0.23,0.25,0.28,49.36,174.35,-19.34,100.69,-9.72,-12.94,1.68,3.03,0.23,0.23,0.26,0.28,0.86,1.44,NA
"1981-01-10",49.9,52.66,-64.8,100.62,-15.22,-18.91,1.8,-0.95,0.23,0.23,0.25,0.28,49.49,0,-92.46,100.16,-22.94,-26.64,0.36,-2.05,0.23,0.23,0.25,0.28,50.02,224.45,-19.85,101.01,-10.68,-12.29,2.44,1.51,0.23,0.23,0.25,0.28,0.72,2.12,NA
"1981-01-11",49.83,59.11,-77.79,100.55,-25.72,-30.18,2.11,-0.46,0.23,0.23,0.25,0.28,49.78,0,-86.72,100.29,-28.88,-32.88,1.87,-1.66,0.23,0.23,0.25,0.28,49.87,257.88,-65.21,100.79,-22.52,-27.36,2.68,0.44,0.23,0.23,0.25,0.28,0.01,0.86,NA
"1981-01-12",49.79,55.95,-52.2,100.8,-23.91,-28.17,0.41,0.7,0.23,0.23,0.25,0.28,49.77,0,-78.11,100.67,-26.85,-30.09,-1.65,-0.41,0.23,0.23,0.25,0.28,49.82,243.71,-22.24,101.03,-19.87,-25.04,1.71,1.33,0.23,0.23,0.25,0.28,0.05,0.82,NA
