"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",25.81,56.92,-65.72,99.93,-12.72,-17.62,0.61,-0.17,0.4,0.41,0.39,0.41,25.66,0,-91.28,99.55,-16.56,-20.13,-1.27,-1.31,0.4,0.4,0.39,0.41,25.95,257.79,-17.32,100.18,-7.73,-15.08,2.33,0.74,0.41,0.41,0.39,0.41,0,2.89,5.74
"1981-01-02",27.29,49.44,-34.99,99,-7.27,-10.08,-1.6,-0.21,0.4,0.4,0.39,0.41,25.37,0,-80.42,96.28,-13.55,-15.47,-5.59,-1.54,0.39,0.4,0.39,0.41,37.86,241.76,-3.07,99.78,0.32,-0.21,0.88,1.56,0.4,0.4,0.39,0.41,12.55,3.23,4.77
"1981-01-03",39.3,55.19,-69.53,98.28,-11.03,-15.34,4.27,1.95,0.39,0.39,0.39,0.41,38.41,0,-101.68,96.02,-17.68,-21.96,0.15,0.87,0.39,0.39,0.39,0.41,39.47,259.19,-5.22,99.59,0.26,0.06,5.44,2.85,0.39,0.4,0.39,0.41,1.86,6.58,4
"1981-01-04",41.24,16.25,-30.31,99.2,-18.5,-22.45,1.34,-0.87,0.39,0.39,0.39,0.41,39.17,0,-88.47,99,-21.91,-26.34,0.5,-2.51,0.39,0.39,0.39,0.41,42.73,86.99,5.89,99.6,-16.6,-20.5,2.82,1.32,0.39,0.39,0.39,0.41,3.72,1.4,3.37
"1981-01-05",42.78,56.64,-58.76,99.16,-22.12,-25.98,2.04,0.04,0.38,0.39,0.39,0.41,42.74,0,-79.97,98.82,-27.36,-30.54,1.07,-1.18,0.38,0.38,0.38,0.41,42.83,252.78,-13.54,99.69,-17.88,-21.97,3.26,0.78,0.39,0.39,0.39,0.41,0.14,1.03,2.76
"1981-01-06",42.71,55.68,-58,100.15,-15.07,-18.16,1.42,0.68,0.38,0.38,0.38,0.41,42.65,0,-87.36,99.73,-21.31,-23.53,0.91,0.17,0.38,0.38,0.38,0.41,42.75,253.66,-30.59,100.47,-8.46,-13.02,2.04,1.49,0.38,0.38,0.38,0.41,0.01,1.68,2.54
"1981-01-07",42.29,23.31,-13.94,99.83,-1.59,-4.66,-1.47,3.66,0.39,0.38,0.38,0.41,38.98,0,-23.85,98.51,-11.82,-13.92,-3.44,1.02,0.38,0.38,0.38,0.41,43.07,105.67,2.28,100.46,5.92,3.01,0.92,6.96,0.44,0.4,0.38,0.41,4.2,8.86,2.31
"1981-01-08",34.22,41.81,-56.96,98.34,-2.67,-6.97,1.85,4.17,0.42,0.42,0.39,0.41,33.49,0,-102.14,97.26,-10.82,-15.39,-3.88,1.27,0.41,0.4,0.38,0.41,38.13,182.95,-3.32,99.49,7.06,5.27,4.33,8.47,0.44,0.43,0.39,0.41,15.35,12.89,2.83
"1981-01-09",33.32,60.25,-77.06,100.66,-12.86,-18.66,1.38,0.66,0.41,0.41,0.39,0.41,33.19,0,-96.55,99.58,-16.19,-21.01,-0.73,0.21,0.4,0.4,0.39,0.41,33.48,268.32,-27,101.35,-9.79,-15,2.88,1.21,0.41,0.41,0.39,0.41,0,3.16,3.61
"1981-01-10",38,10.05,-2.05,100.01,-3.6,-5.12,-3.61,0.38,0.41,0.4,0.39,0.41,33.19,0,-29.64,97.07,-13.3,-15.93,-6.07,-0.74,0.4,0.4,0.39,0.41,47.66,48.15,14.39,101.33,6.74,6.27,-1,3.32,0.44,0.42,0.39,0.41,24.58,1.86,4.77
"1981-01-11",43.56,51.63,-54.78,98.15,-3.58,-8.14,2.42,4.72,0.42,0.42,0.39,0.41,43.17,0,-103.22,96.28,-8.03,-14.48,-4.53,3.06,0.41,0.41,0.39,0.41,45.4,253,5.46,99.85,7.32,7.08,4.24,6.91,0.44,0.43,0.4,0.41,2.81,12.57,5.8
"1981-01-12",43.07,48.62,-56.93,100.54,-7.64,-12.94,0.79,0.22,0.41,0.41,0.4,0.41,42.92,0,-85.73,99.93,-10.3,-14.51,-1.3,-2.79,0.4,0.4,0.4,0.41,43.17,211.97,-6.73,100.83,-5.13,-11.19,2.68,2.85,0.41,0.41,0.4,0.41,0.32,5.72,8.69
"1981-01-13",54.04,10.41,-5.76,98.41,-2.77,-4.16,-1.19,-0.5,0.4,0.4,0.4,0.41,43.08,0,-24.68,97.3,-8.01,-10.78,-3.03,-4.69,0.4,0.4,0.4,0.41,59.95,60.04,0.53,100.38,2.67,2.48,3.5,5.68,0.4,0.4,0.4,0.41,17.73,2.68,8.37
"1981-01-14",59.77,50.64,-60.89,99.56,-7.9,-11.22,2.68,2.12,0.4,0.4,0.4,0.41,59.64,0,-90.67,98.28,-10.05,-12.85,1.49,1.4,0.39,0.4,0.39,0.41,59.93,237.15,-19.33,100.28,-4.18,-9.16,3.61,3.08,0.4,0.4,0.4,0.41,0.16,5.17,6.96
"1981-01-15",59.62,38.36,-48.17,100.58,-5.66,-8.16,0.82,0.37,0.39,0.39,0.39,0.41,59.53,0,-70.63,100.3,-8.24,-10.3,-1.49,-1.4,0.39,0.39,0.39,0.41,59.68,179.62,-14.77,100.72,-1.05,-5.13,2.43,1.64,0.39,0.4,0.39,0.41,0.21,2.79,5.34
"1981-01-16",65.07,55.5,-43.1,100.1,-8.57,-10.99,0.3,-1.98,0.39,0.39,0.39,0.41,59.97,0,-88.23,99.9,-15.85,-17.63,-1.28,-2.76,0.38,0.39,0.39,0.41,66.09,263.62,-3.72,100.4,-5.54,-6.61,1.12,-1.2,0.39,0.39,0.39,0.41,6.48,2.91,3.99
