"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",24.23,54.6,-65.05,100.32,-12.65,-17.43,0.71,-0.1,0.41,0.41,0.4,0.42,24.09,0,-98.86,99.9,-16.41,-20.12,-1.2,-1.3,0.4,0.41,0.4,0.42,24.37,246.49,-9.76,100.57,-8.15,-13.94,2.51,0.99,0.41,0.41,0.4,0.42,0,1.79,8.11
"1981-01-02",25.49,48.2,-33.97,99.41,-6.73,-9.42,-1.73,0.15,0.4,0.4,0.4,0.41,23.8,0,-83.14,96.77,-12.32,-14.35,-6.99,-1.09,0.4,0.4,0.4,0.41,35.36,245.51,-0.19,100.17,0.43,-0.23,1.12,1.7,0.4,0.41,0.4,0.42,11.59,2.13,6.58
"1981-01-03",36.12,53.94,-72.13,98.58,-10.42,-14.9,4.14,2.33,0.4,0.4,0.4,0.41,35.77,0,-105.98,96.26,-17.78,-22.25,-4.21,1.12,0.39,0.4,0.4,0.41,36.32,248.73,-0.74,99.97,0.87,0.59,6.56,3.58,0.4,0.4,0.4,0.41,1.11,4.49,5.87
"1981-01-04",38.06,15.13,-28.7,99.59,-17.94,-21.68,1.49,-0.75,0.39,0.4,0.4,0.41,35.94,0,-89.21,99.39,-20.46,-24.7,0.51,-2.74,0.39,0.39,0.4,0.41,39.67,87.42,7.23,99.99,-16.54,-19.81,2.89,1.64,0.39,0.4,0.4,0.41,3.88,0.79,5.1
"1981-01-05",39.78,55.37,-56.27,99.54,-21.77,-25.72,2.13,0.24,0.39,0.39,0.4,0.41,39.69,0,-81.29,99.19,-26.56,-30.03,1.38,-1.05,0.39,0.39,0.4,0.41,39.84,249.01,-14.75,100.06,-18.44,-23.02,3.31,1.2,0.39,0.39,0.4,0.41,0.2,0.67,4.72
"1981-01-06",39.71,54.71,-56.3,100.53,-15.84,-18.91,1.26,0.88,0.39,0.39,0.4,0.41,39.66,0,-93.67,100.1,-21.78,-23.99,0.37,0.4,0.39,0.39,0.4,0.41,39.75,249.34,-27.78,100.87,-9,-13.67,1.99,1.58,0.39,0.39,0.4,0.41,0.01,1.02,4.2
"1981-01-07",39.32,24.46,-14.01,100.28,-2.55,-5.49,-1.67,3.75,0.39,0.39,0.4,0.41,36.44,0,-30.15,99,-13.35,-15.46,-3.66,1.38,0.38,0.39,0.39,0.41,40.02,119.16,4.2,100.86,5.64,2.5,0.78,7.28,0.43,0.4,0.4,0.41,2.89,5.49,3.86
"1981-01-08",31.53,41.59,-58.27,98.71,-2.24,-6.55,1.48,4.55,0.42,0.42,0.4,0.41,30.67,0,-104.64,97.62,-11.08,-15.32,-4.35,1.48,0.41,0.4,0.39,0.41,35.69,184.6,-4.49,99.86,7.18,5.11,4.08,9.27,0.43,0.43,0.4,0.41,14.64,8.41,6.1
"1981-01-09",30.54,59.43,-76.21,101.05,-13.15,-18.79,1.17,0.68,0.41,0.41,0.4,0.41,30.42,0,-101.85,99.95,-16.32,-21.28,-1.36,0.13,0.4,0.41,0.4,0.41,30.67,264.99,-21.25,101.77,-9.11,-15.05,2.64,1.3,0.41,0.41,0.4,0.41,0,1.71,5.91
"1981-01-10",34.36,11.77,-1.94,100.48,-3.64,-5.2,-3.87,0.55,0.41,0.41,0.4,0.41,30.42,0,-28.02,97.58,-11.98,-15.32,-6.63,-0.64,0.4,0.4,0.4,0.41,42.49,58.35,14.63,101.75,6.37,5.96,-0.97,3.18,0.43,0.43,0.4,0.41,23,1.25,4.1
"1981-01-11",38.2,50.54,-54.43,98.53,-3.02,-7.66,2.03,5.15,0.42,0.42,0.41,0.41,37.74,0,-105.2,96.72,-7.49,-14.06,-5.13,3.26,0.41,0.42,0.4,0.41,40.36,260.07,4.91,100.23,7.45,7.13,3.83,7.61,0.43,0.43,0.41,0.41,3.78,8.11,7.15
"1981-01-12",37.64,45.74,-53.02,100.95,-7.09,-12.36,0.78,0.2,0.41,0.41,0.41,0.41,37.49,0,-82.66,100.32,-9.72,-14.42,-1.24,-2.88,0.4,0.41,0.41,0.41,37.73,213.52,-5.81,101.24,-4.47,-10.39,2.5,3.04,0.41,0.42,0.41,0.41,0.35,3.49,6.92
"1981-01-13",47.84,10.37,-6.61,98.82,-1.87,-3.24,-1.56,-0.06,0.41,0.41,0.41,0.41,37.71,0,-26.17,97.71,-7.44,-10.01,-4.08,-4.86,0.4,0.4,0.41,0.41,53.66,57.79,3.32,100.82,3.65,3.1,3.39,6.85,0.42,0.41,0.41,0.41,16.52,1.93,4.29
"1981-01-14",52.35,51.55,-65.13,99.91,-7.73,-11.11,2.54,2.31,0.4,0.4,0.41,0.41,52.22,0,-98.68,98.55,-10.19,-12.86,1.31,1.39,0.4,0.4,0.41,0.41,52.56,226.2,-20.14,100.66,-3.92,-9.16,3.77,3.96,0.41,0.41,0.41,0.41,0.09,3.24,3
"1981-01-15",52.21,36.33,-48.42,100.98,-6.12,-8.62,0.68,0.29,0.4,0.4,0.41,0.41,52.14,0,-76.75,100.68,-8.94,-10.95,-1.44,-1.62,0.4,0.4,0.41,0.41,52.25,158.27,-10.24,101.13,-1.49,-5.4,2.1,1.88,0.4,0.4,0.41,0.41,0.15,1.66,2.34
"1981-01-16",57.71,51.72,-39.86,100.48,-8.32,-10.41,0.72,-2.07,0.39,0.4,0.41,0.41,52.43,0,-88.78,100.27,-14.63,-16.22,-1.17,-3.07,0.39,0.4,0.4,0.41,58.85,243.19,-3.01,100.81,-5.49,-6.55,1.69,-1.22,0.4,0.4,0.41,0.41,6.67,1.65,1.96
"1981-01-17",61.2,24.94,-10.94,99.77,-10.02,-12.03,-1,-1.84,0.39,0.39,0.4,0.41,58.69,0,-35.89,98.34,-14.88,-16.52,-2.31,-4.53,0.39,0.39,0.4,0.41,70.76,119.42,-0.28,100.53,-4.49,-5.96,0.99,-0.67,0.39,0.4,0.4,0.41,12.1,0.84,1.79
"1981-01-18",86.87,19.24,-14.57,97.3,-7.63,-9.52,2.64,-4.91,0.39,0.39,0.4,0.41,72.84,0,-51.83,96.92,-12.14,-15.11,-1.8,-6.53,0.39,0.39,0.4,0.41,93.42,91.36,-6.27,98.08,-4.28,-5.66,5.49,-2.64,0.39,0.39,0.4,0.41,22.93,2.24,1.69
