"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",27.16,49.6,-61.87,100.21,-12.59,-16.76,0.88,-0.64,0.4,0.4,0.39,0.41,26.99,0,-91.22,99.92,-16.06,-18.85,-0.54,-1.99,0.39,0.4,0.39,0.41,27.28,219.36,-41.25,100.47,-8.1,-14.46,2.16,0.37,0.4,0.41,0.39,0.41,0,2.28,4.64
"1981-01-02",29.7,42.77,-37.34,99.2,-9.08,-11.65,-0.67,-1.06,0.39,0.4,0.39,0.41,26.85,0,-79.46,97.19,-16.39,-18.37,-3.13,-3.99,0.39,0.39,0.39,0.41,45.16,236.14,-4.27,100.07,-2.33,-4.07,4.12,1.52,0.39,0.4,0.39,0.41,18.39,2.32,4.06
"1981-01-03",47.16,48.26,-54.81,98.89,-11.86,-16.23,4.6,0.77,0.39,0.39,0.39,0.41,46.31,0,-79.59,97.33,-16.69,-21.3,2.72,-2.16,0.38,0.39,0.39,0.41,47.28,228.08,-5.7,99.92,-4.92,-6.57,5.53,2.11,0.39,0.39,0.39,0.41,2.37,5.87,3.48
"1981-01-04",48.47,29.68,-37.08,99.48,-18.46,-22.25,1.34,-1.35,0.38,0.39,0.39,0.41,47.11,0,-81.75,99.31,-21.25,-24.49,0.54,-2.52,0.38,0.39,0.38,0.41,49.28,158.05,3.87,99.9,-16.6,-19.96,2.38,0.48,0.38,0.39,0.39,0.41,2.31,1.4,3.13
"1981-01-05",49.27,51.04,-64.23,99.52,-20.19,-23.63,2.16,-0.48,0.38,0.38,0.38,0.41,49.26,0,-80.2,99.18,-26.01,-28.96,1.41,-1.58,0.38,0.38,0.38,0.41,49.29,227.28,-43.49,100.04,-14.98,-17.95,3.26,0.47,0.38,0.39,0.38,0.41,0.04,0.97,2.9
"1981-01-06",49.25,40.59,-39.14,100.43,-11.72,-14.47,1.57,0.49,0.38,0.38,0.38,0.41,49.21,0,-70.11,100.08,-15.99,-17.93,0.29,-0.39,0.37,0.38,0.38,0.41,49.27,185.66,-12.46,100.65,-7.5,-10.25,2.38,1.5,0.38,0.38,0.38,0.41,0.02,1.52,2.67
"1981-01-07",48.74,14.89,-13.19,99.74,0.58,-2.37,-1.87,4.66,0.39,0.38,0.38,0.41,44.35,0,-28.19,98.15,-7.76,-9.87,-3.4,1.61,0.37,0.38,0.38,0.41,50.26,70.2,-4.74,100.63,6.34,3.83,-0.23,7.87,0.44,0.41,0.38,0.41,9.52,9.39,2.43
"1981-01-08",41.23,46.54,-59.48,98.59,-4.18,-8.09,2.79,3.32,0.41,0.42,0.39,0.41,40.94,0,-95.06,97.52,-11.6,-14.53,-3.26,0.48,0.4,0.41,0.38,0.41,43.37,199.52,-3.94,99.85,6.66,4.64,4.73,8.71,0.44,0.44,0.4,0.41,14.47,9.94,7.77
"1981-01-09",40.85,57.65,-71.48,100.95,-13.02,-16.77,1.2,0.33,0.4,0.41,0.4,0.41,40.78,0,-91.79,99.96,-16.58,-19.45,-1.71,-0.33,0.39,0.4,0.4,0.41,40.93,256.95,-18.24,101.51,-9.62,-14.81,2.84,1.01,0.4,0.41,0.4,0.41,0.01,1.86,5
"1981-01-10",46.55,10.81,-0.06,99.95,-2.66,-4,-3.14,-0.44,0.4,0.4,0.4,0.41,40.79,0,-17.79,96.82,-11.33,-14.12,-5.2,-2.27,0.39,0.4,0.4,0.41,56.25,53.69,11.53,101.44,6.01,5.87,-1.86,3.54,0.44,0.44,0.4,0.41,30.11,1,4.86
"1981-01-11",53.4,52.1,-55.96,98.43,-5.38,-9.4,3.39,3.66,0.42,0.42,0.41,0.41,53.16,0,-94.55,96.37,-9.55,-14,-3.36,2.33,0.41,0.41,0.4,0.41,53.82,243.75,8.48,100.11,6.08,6.02,5.78,4.84,0.44,0.43,0.41,0.41,2.05,9.32,8.87
"1981-01-12",53.19,56.24,-66.89,100.74,-10.15,-13.65,0.81,-0.36,0.4,0.41,0.41,0.41,53.13,0,-91.36,100.18,-12.48,-14.72,-1.1,-3.32,0.4,0.41,0.41,0.41,53.24,249.29,-0.86,101.04,-7.46,-12.24,2.6,2.6,0.41,0.41,0.41,0.41,0.26,3.03,8
"1981-01-13",61.72,13.3,0.35,98.67,-7.28,-9.46,0.31,-3.18,0.39,0.4,0.41,0.41,53.41,0,-11.05,97.41,-10.46,-13.12,-2.26,-5.57,0.39,0.4,0.41,0.41,67.39,59.84,7.52,100.47,-2.61,-3.92,4.19,1.1,0.4,0.41,0.41,0.41,14.33,3.01,6.2
"1981-01-14",67.44,43.48,-44.19,99.9,-7.37,-10.75,2.65,1.68,0.39,0.4,0.41,0.41,67.39,0,-73.34,98.86,-10.05,-12.83,1.63,1.22,0.39,0.39,0.41,0.41,67.48,222.67,-13.54,100.55,-4.3,-8.49,3.65,2.02,0.39,0.4,0.41,0.41,0.25,4.34,4.93
"1981-01-15",67.37,44.51,-39.69,100.79,-4.84,-7.06,0.63,0.03,0.38,0.39,0.4,0.41,67.27,0,-75.67,100.57,-6.75,-8.54,-1.13,-1.84,0.38,0.39,0.4,0.41,67.69,215.86,-13.44,100.98,-0.97,-4.99,1.53,1.64,0.39,0.39,0.41,0.41,0.47,2.58,4.12
"1981-01-16",72.19,59.88,-50.54,100.37,-7.96,-10.63,0.3,-1.94,0.38,0.39,0.4,0.41,68.25,0,-92.99,100.21,-12.91,-14.91,-0.64,-2.39,0.38,0.38,0.4,0.41,72.82,267.84,-1.49,100.58,-5.51,-7.26,1.06,-1.19,0.38,0.39,0.4,0.41,5.19,3.02,3.36
"1981-01-17",76.54,19.41,-5.7,99.46,-10.01,-12.3,-1.12,-2.5,0.38,0.38,0.4,0.41,72.6,0,-36.6,98.21,-14,-15.83,-1.47,-5.2,0.37,0.38,0.4,0.41,85.38,107.71,5.58,100.36,-7.05,-9.32,-0.62,-0.77,0.38,0.38,0.4,0.41,12.86,1.69,3.01
"1981-01-18",92.27,30.04,-31.63,97.71,-9.45,-12.72,2.23,-4.2,0.37,0.38,0.4,0.41,86.4,0,-92.83,97.59,-13.62,-17.56,-0.94,-6.02,0.37,0.38,0.4,0.41,93.86,136.96,-2.69,98.03,-6.6,-8.82,3.67,-1.72,0.37,0.38,0.4,0.41,8.71,5.23,2.67
