"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",51.97,9.88,-23.79,94.72,-17.48,-19.8,-0.12,0.32,0.35,0.31,0.3,0.31,51.95,0,-45.68,94.27,-20.25,-22.4,-1.13,-1.45,0.35,0.31,0.3,0.31,51.97,54.12,-8.54,95.36,-13.07,-16.33,1.56,1.61,0.35,0.31,0.3,0.31,0.02,-0.02,NA
"1981-01-02",51.98,9.52,-9.72,94.4,-14.72,-17.64,-0.47,1.1,0.35,0.31,0.3,0.31,51.96,0,-35.59,93.89,-21.56,-23.91,-0.99,-0.21,0.35,0.31,0.3,0.31,51.99,60.75,27.91,94.84,-9.21,-11.98,0.96,1.52,0.35,0.31,0.3,0.31,0.02,0.28,NA
"1981-01-03",51.97,13.25,-30.07,93.85,-9.85,-12.45,1.46,1.19,0.35,0.31,0.3,0.31,51.96,0,-53.39,93.77,-12.49,-14.42,0.75,0.81,0.35,0.31,0.3,0.31,51.97,78.82,-12.68,93.95,-5.99,-8.45,1.94,1.66,0.35,0.31,0.3,0.31,0,-0.06,NA
"1981-01-04",51.98,14.01,-35.82,93.88,-2.66,-4.81,2.16,1.03,0.35,0.31,0.3,0.31,51.96,0,-63.07,93.73,-5.55,-7.63,1.87,0.48,0.35,0.31,0.3,0.31,51.99,81.44,-0.02,94.01,0.03,-2.93,2.7,1.46,0.35,0.31,0.3,0.31,0,0.56,NA
"1981-01-05",51.85,13.78,-54.82,94.57,-1.68,-3.89,1.58,-0.36,0.35,0.31,0.3,0.31,51.78,0,-81.87,94.05,-6.4,-7.04,-0.64,-1.17,0.35,0.31,0.3,0.31,51.96,83.44,-14.35,94.89,1.36,-1.91,3.2,0.71,0.35,0.31,0.3,0.31,0.04,2.52,NA
"1981-01-06",54.14,4.12,-12.27,93.86,-5.71,-7.39,0.35,0.5,0.35,0.31,0.3,0.31,51.79,0,-50.65,93.28,-8.8,-9.77,-1.13,-1.91,0.35,0.31,0.3,0.31,56.58,22.8,4.52,94.69,-3.19,-4.62,2.61,1.9,0.35,0.31,0.3,0.31,4.88,0.83,NA
"1981-01-07",56.84,9.26,-22.48,94.23,-9.76,-11.35,0.26,-0.56,0.35,0.31,0.3,0.31,56.63,0,-45.15,93.9,-11.87,-13.77,-0.95,-1.26,0.34,0.31,0.3,0.31,57.58,55.29,0.62,94.52,-7.07,-8.86,2.02,0.16,0.35,0.32,0.3,0.31,1.08,0.38,NA
"1981-01-08",58.15,13.55,-32.67,94.9,-16.3,-18.43,-1,-0.23,0.34,0.32,0.3,0.31,57.79,0,-50.94,94.53,-18.37,-20.55,-1.45,-1.75,0.34,0.32,0.3,0.31,58.21,78.55,-1.76,95.1,-12.61,-14.59,-0.24,1.29,0.34,0.32,0.3,0.31,0.69,0.14,NA
"1981-01-09",59.01,7.98,-26.41,94.15,-12.59,-14.73,-0.48,1.33,0.34,0.32,0.3,0.31,58.19,0,-62.58,93.87,-18.36,-20.5,-1.58,0.94,0.34,0.32,0.3,0.31,59.62,56.2,8.82,94.71,-7.97,-9.62,2.13,1.84,0.34,0.32,0.3,0.31,1.42,0.09,NA
"1981-01-10",59.62,15.53,-52.54,94.34,-5.53,-8.36,1.68,2.01,0.34,0.32,0.3,0.31,59.56,0,-65.74,94.18,-10.33,-11.79,1.3,0.87,0.34,0.32,0.3,0.31,59.64,87.89,-29.37,94.46,-0.19,-4.36,2.03,2.76,0.34,0.32,0.3,0.31,0,1.52,NA
"1981-01-11",59.45,16.69,-58.99,94.33,-1.61,-4.43,1.41,1.78,0.34,0.32,0.3,0.31,59.34,0,-71.44,94.1,-5.14,-7.21,0.83,1.22,0.34,0.32,0.3,0.31,59.55,92.99,-42.19,94.45,0.34,-3.55,1.92,2.08,0.34,0.32,0.3,0.31,0,2.59,NA
"1981-01-12",59.16,17.97,-58.97,94.04,-1.53,-5.72,2.12,1.37,0.34,0.32,0.3,0.31,59.01,0,-84.12,93.73,-5.79,-8.44,0.82,0.39,0.34,0.32,0.3,0.31,59.33,99.87,-20.51,94.43,1.54,-3.65,3.11,2.18,0.34,0.32,0.3,0.31,0,4.19,NA
"1981-01-13",58.98,17.37,-55.37,94.65,-6.04,-7.63,1.39,0.72,0.34,0.32,0.3,0.31,58.96,0,-73.95,94.45,-8.69,-10.07,0.67,-0.44,0.34,0.32,0.3,0.31,59.01,98.28,-18.96,94.89,-3.34,-5.64,1.92,1.39,0.34,0.32,0.3,0.31,0,0.04,NA
"1981-01-14",58.95,17.25,-41.25,94.86,-10.29,-11.94,0.19,1.45,0.34,0.32,0.3,0.31,58.94,0,-62.63,94.8,-13.13,-14.6,-0.67,1,0.34,0.32,0.3,0.31,58.96,98.43,-7.81,94.94,-7.13,-9.34,1.03,1.85,0.34,0.32,0.3,0.31,0,0.01,NA
"1981-01-15",58.93,19.55,-51.62,94.35,-3.85,-6.53,0.17,2.29,0.34,0.32,0.3,0.31,58.86,0,-74.55,93.99,-8.67,-10.09,-0.23,1.92,0.34,0.32,0.3,0.31,58.95,105.99,-22.89,94.76,1.13,-3.91,0.49,2.47,0.34,0.32,0.3,0.31,0,0.91,NA
